symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd
XAGUSD,1h,30,1,14,12,182,2.765,2.206,0.295
XAGUSD,1h,100,1,14,12,320,2.1,1.657,0.504
XAGUSD,1h,30,10,14,8,1880,1.534,1.25,2.962
ETHUSDT,1h,100,1,26,12,984,1.348,1.102,0.423
GBPUSD,4h,100,1,7,6,203,1.173,1.071,0.321
USDJPY,4h,30,10,7,4,923,1.192,0.984,1.459
XAUUSD,1h,100,1,7,4,169,1.211,0.973,0.269
USDJPY,5m,100,10,7,3,2987,1.135,0.967,4.702
AUDUSD,15m,30,1,7,2,118,1.054,0.938,0.185
XAGUSD,30m,100,1,14,6,574,1.155,0.931,0.903
SOLUSDT,1h,30,1,17,5,192,1.115,0.921,0.111
NZDUSD,1h,100,1,7,3,253,1.224,0.919,0.401
GBPUSD,4h,100,10,7,4,2203,1.006,0.895,3.473
XAGUSD,1h,100,10,14,10,5164,1.093,0.895,8.099
EURUSD,15m,30,1,7,4,101,0.997,0.887,0.162
ETHUSDT,4h,100,10,25,11,7630,1.008,0.882,3.235
SOLUSDT,15m,100,10,19,8,7616,1.016,0.873,4.397
AUDUSD,1h,30,1,7,5,75,1.004,0.873,0.126
XAUUSD,1h,30,10,7,5,853,1.058,0.871,1.355
NZDUSD,5m,30,1,7,4,113,1.105,0.87,0.186
SOLUSDT,4h,100,1,19,7,634,0.948,0.868,0.367
ETHUSDT,15m,30,1,26,11,389,1.03,0.867,0.165
ETHUSDT,15m,100,1,26,13,894,1.024,0.861,0.378
SOLUSDT,4h,100,10,19,8,5847,0.94,0.855,3.374
USDJPY,4h,30,1,5,3,95,1.007,0.853,0.161
XAUUSD,5m,30,1,7,3,132,1.08,0.842,0.212
ETHUSDT,30m,30,1,26,14,308,1.02,0.832,0.13
USDCHF,15m,100,1,7,3,228,1.117,0.832,0.358
XAGUSD,4h,100,10,14,4,4334,0.929,0.831,6.806
GBPUSD,30m,30,1,7,3,58,0.954,0.815,0.094
USDJPY,30m,30,1,7,4,95,1.064,0.81,0.149
XAGUSD,30m,100,10,14,8,6106,0.987,0.807,9.58
ETHUSDT,15m,30,10,26,9,4388,0.955,0.806,1.857
XAGUSD,15m,30,1,14,4,258,0.922,0.804,0.413
ETHUSDT,1h,100,10,26,7,9740,0.952,0.801,4.106
ETHUSDT,15m,100,10,26,8,10009,0.943,0.8,4.219
XAGUSD,4h,30,10,14,4,1766,0.884,0.795,2.789
GBPUSD,4h,30,10,7,2,967,0.908,0.784,1.531
XAUUSD,4h,100,1,7,3,250,0.926,0.783,0.395
ETHUSDT,4h,100,1,24,15,663,0.878,0.781,0.281
EURUSD,1h,30,10,7,2,606,0.94,0.781,0.951
SOLUSDT,15m,30,10,19,7,4526,0.894,0.775,2.614
GBPUSD,5m,100,10,7,2,2771,0.876,0.773,4.345
USDJPY,5m,100,1,7,4,352,0.923,0.768,0.554
GBPUSD,5m,100,1,7,3,235,0.85,0.762,0.37
BTCUSDT,4h,100,1,27,10,831,0.896,0.761,0.304
XAGUSD,15m,100,1,14,8,492,0.905,0.759,0.779
USDJPY,30m,100,10,7,4,2473,0.905,0.754,3.88
USDJPY,30m,100,1,7,4,300,0.932,0.751,0.474
BTCUSDT,30m,30,1,30,17,504,0.903,0.748,0.187
XAUUSD,1h,100,10,7,3,1928,0.945,0.746,3.026
XAUUSD,15m,30,10,7,2,1365,0.86,0.743,2.149
BTCUSDT,30m,30,10,30,14,5422,0.913,0.743,1.986
XAGUSD,30m,30,10,14,6,3262,0.906,0.742,5.123
