book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,weighting,combo,tag
5m+15m [equal],2,4866,1.717,110.46,9.5,0.1782,7.85,0.3416,0.0227,0.0075,0.7765,145.0,186.7,70.8,0.0,0.0,equal,5m+15m,real
5m+15m [sig_cost],2,4866,1.838,125.01,9.26,0.2016,7.85,0.3416,0.0257,0.0075,0.7862,144.0,183.2,61.1,0.0,0.0,sig_cost,5m+15m,real
5m+15m [by_r],2,4866,1.807,121.4,9.32,0.1958,7.85,0.3416,0.0249,0.0075,0.7862,145.0,184.4,64.4,0.0,0.0,by_r,5m+15m,real
5m+30m [equal],2,4492,1.671,99.85,10.71,0.1611,7.25,0.3517,0.0222,0.005,0.7701,190.0,246.7,135.8,0.0,0.0,equal,5m+30m,real
5m+30m [sig_cost],2,4492,1.835,121.55,10.75,0.196,7.25,0.3517,0.0271,0.005,0.7701,180.0,233.7,97.9,0.0,0.0,sig_cost,5m+30m,real
5m+30m [by_r],2,4492,1.827,120.46,10.75,0.1943,7.25,0.3517,0.0268,0.005,0.7701,180.0,233.7,99.0,0.0,0.0,by_r,5m+30m,real
5m+1h [equal],2,2453,1.981,102.06,12.76,0.1649,3.96,0.3746,0.0416,0.005,0.7536,194.5,258.1,135.2,0.0,0.0,equal,5m+1h,real
5m+1h [sig_cost],2,2453,2.01,130.68,11.12,0.2111,3.96,0.3746,0.0533,0.005,0.7697,178.0,231.3,86.8,0.0,0.0,sig_cost,5m+1h,real
5m+1h [by_r],2,2453,2.001,120.31,11.37,0.1944,3.96,0.3746,0.049,0.005,0.7681,181.0,235.6,105.7,0.0,0.0,by_r,5m+1h,real
5m+4h [equal],2,2504,1.849,96.41,8.0,0.1557,4.05,0.3814,0.0385,0.01,0.8986,90.0,100.2,46.9,0.0,0.0,equal,5m+4h,real
5m+4h [sig_cost],2,2504,1.925,115.19,8.76,0.1861,4.05,0.3814,0.046,0.0075,0.8905,128.0,143.7,58.7,0.0,0.0,sig_cost,5m+4h,real
5m+4h [by_r],2,2504,1.946,121.12,9.06,0.1957,4.05,0.3814,0.0484,0.0075,0.8905,126.0,141.5,57.6,0.0,0.0,by_r,5m+4h,real
15m+30m [equal],2,4742,1.405,65.09,9.76,0.105,7.65,0.3176,0.0137,0.0075,0.8875,140.5,158.3,90.9,0.0,0.0,equal,15m+30m,real
15m+30m [sig_cost],2,4742,1.409,65.89,9.65,0.1063,7.65,0.3176,0.0139,0.0075,0.8891,136.0,153.0,87.6,0.0,0.0,sig_cost,15m+30m,real
15m+30m [by_r],2,4742,1.414,66.82,9.74,0.1078,7.65,0.3176,0.0141,0.0075,0.8907,134.0,150.4,86.5,0.0,0.0,by_r,15m+30m,real
15m+1h [equal],2,2703,1.58,67.3,16.41,0.1086,4.36,0.3126,0.0249,0.0025,0.2637,253.5,961.3,313.5,0.0,0.0,equal,15m+1h,real
