book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,tf,floor,topn,tag
15m floor30 top1,1,129,1.679,70.32,17.78,0.117,0.21,0.2791,0.5451,0.0025,0.5249,242.5,462.0,252.0,0.0,0.0,15m,30,1,null
15m floor100 top1,1,263,1.251,61.67,40.03,0.1019,0.43,0.1901,0.2345,0.0025,0.1664,135.0,811.3,164.3,0.5387,0.0,15m,100,1,null
1h floor100 top1,1,188,1.15,23.93,54.58,0.0407,0.32,0.234,0.1273,0.0025,0.0798,100.0,1253.1,346.2,0.3701,0.0,1h,100,1,null
5m floor30 top1,1,184,0.873,-21.19,83.58,-0.0351,0.3,0.2065,-0.1152,0.0025,0.1041,369.0,3544.7,303.2,0.081,0.0,5m,30,1,null
1h floor100 top10,1,2037,1.181,29.16,15.46,0.048,3.36,0.2523,0.0143,0.005,0.0115,106.0,9217.4,308.5,0.0,0.0,1h,100,10,null
15m floor30 top10,1,1357,1.076,7.69,19.61,0.0127,2.24,0.2867,0.0057,0.0025,0.0,,,,0.0,0.0,15m,30,10,null
15m floor100 top10,1,2652,1.168,38.3,19.72,0.0632,4.38,0.2259,0.0144,0.0025,0.0,,,1239.8,0.0,0.0,15m,100,10,null
1h floor30 top1,1,63,1.453,16.8,10.6,0.028,0.1,0.3651,0.2667,0.0025,0.0,,,,0.0,0.0,1h,30,1,null
1h floor30 top10,1,655,1.043,1.57,7.86,0.0026,1.08,0.374,0.0024,0.0025,0.0,,,,0.0,0.0,1h,30,10,null
30m floor30 top1,1,91,1.002,0.12,25.55,0.0002,0.15,0.3297,0.0014,0.0025,0.0,,,,0.0,0.0,30m,30,1,null
30m floor30 top10,1,998,0.795,-14.67,21.74,-0.0244,1.66,0.2806,-0.0147,0.0025,0.0,,,,0.0,0.0,30m,30,10,null
30m floor100 top1,1,304,0.711,-82.16,88.92,-0.1362,0.5,0.1875,-0.2702,0.0025,0.0,,,,0.8791,0.0,30m,100,1,null
30m floor100 top10,1,2860,0.975,-5.35,24.47,-0.0088,4.71,0.2759,-0.0019,0.0025,0.0,,,,0.0,0.0,30m,100,10,null
4h floor30 top1,1,73,1.342,7.38,11.7,0.0126,0.12,0.4247,0.1011,0.0025,0.0,,,,0.0,0.0,4h,30,1,null
4h floor30 top10,1,686,1.222,5.13,7.85,0.0085,1.14,0.4534,0.0075,0.0025,0.0,,,,0.0,0.0,4h,30,10,null
4h floor100 top1,1,250,0.649,-44.9,47.71,-0.0748,0.42,0.304,-0.1796,0.0025,0.0,,,,0.3256,0.0,4h,100,1,null
4h floor100 top10,1,2729,0.549,-48.4,51.1,-0.08,4.51,0.3313,-0.0177,0.0025,0.0,,,,0.4587,0.0,4h,100,10,null
5m floor30 top10,1,1975,1.107,18.7,19.54,0.0309,3.26,0.2223,0.0095,0.0025,0.0,,,1709.3,0.0,0.0,5m,30,10,null
5m floor100 top1,1,290,0.672,-107.71,113.94,-0.1786,0.48,0.0931,-0.3714,0.0025,0.0,,,1969.0,0.7405,0.0,5m,100,1,null
5m floor100 top10,1,3182,0.943,-17.83,35.09,-0.0294,5.25,0.1631,-0.0056,0.0025,0.0,,,4734.8,0.4868,0.0,5m,100,10,null
