tf,floor,topn,trades,zero_vol_trades,zero_vol_share,r_all,r_zero_vol,r_share,pf_all,pf_clean,flat_bar_trades
15m,30,1,132,15,0.1136,35.21,16.38,0.4652,1.486,1.291,15
15m,30,10,1252,67,0.0535,37.87,1.21,0.032,1.479,1.488,67
15m,100,1,318,20,0.0629,-2.95,-4.03,1.3659,0.985,1.006,20
15m,100,10,2663,102,0.0383,52.43,-0.45,-0.0085,1.28,1.291,102
1h,30,1,67,4,0.0597,21.21,-0.22,-0.0104,1.567,1.627,4
1h,30,10,783,36,0.046,16.57,0.95,0.0576,1.354,1.351,36
1h,100,1,157,12,0.0764,46.25,-2.95,-0.0639,1.596,1.677,12
1h,100,10,2001,78,0.039,40.73,1.84,0.0451,1.434,1.422,78
30m,30,1,78,6,0.0769,2.39,-2.98,-1.2427,1.044,1.111,6
30m,30,10,1064,41,0.0385,10.7,-1.93,-0.18,1.131,1.163,41
30m,100,1,190,5,0.0263,-6.89,-5.85,0.8486,0.954,0.993,5
30m,100,10,2284,23,0.0101,33.19,-0.62,-0.0186,1.19,1.196,23
4h,30,1,105,1,0.0095,33.35,-0.03,-0.0009,1.943,1.944,1
4h,30,10,832,22,0.0264,14.24,-0.29,-0.0204,1.436,1.449,22
4h,100,1,203,8,0.0394,33.98,2.4,0.0706,1.353,1.341,8
4h,100,10,2044,94,0.046,25.27,3.82,0.151,1.348,1.305,94
5m,30,1,110,12,0.1091,43.46,-4.88,-0.1122,1.822,2.041,12
5m,30,10,1203,92,0.0765,47.2,-1.8,-0.038,1.763,1.855,92
5m,100,1,211,8,0.0379,115.36,5.75,0.0498,1.83,1.801,8
5m,100,10,2422,50,0.0206,124.75,-0.29,-0.0023,1.777,1.798,50
