book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,weighting,combo,tag
5m+15m [equal],2,2468,1.482,73.61,11.34,0.1193,4.0,0.2326,0.0298,0.005,0.2557,244.5,956.2,261.8,0.0,0.0,equal,5m+15m,null_fixed
5m+15m [sig_cost],2,2468,1.501,74.94,11.61,0.1215,4.0,0.2326,0.0304,0.005,0.2589,251.5,971.4,263.3,0.0,0.0,sig_cost,5m+15m,null_fixed
5m+15m [by_r],2,2468,1.572,79.34,12.65,0.1286,4.0,0.2326,0.0321,0.0025,0.0307,197.0,6416.9,1548.9,0.0,0.0,by_r,5m+15m,null_fixed
5m+30m [equal],2,442,1.372,64.76,21.34,0.1055,0.72,0.2489,0.1465,0.0025,0.1526,252.5,1654.7,365.3,0.0,0.0,equal,5m+30m,null_fixed
5m+30m [sig_cost],2,442,1.646,83.25,21.06,0.1356,0.72,0.2489,0.1884,0.0025,0.0503,216.0,4294.2,916.0,0.0,0.0,sig_cost,5m+30m,null_fixed
5m+30m [by_r],2,442,1.552,78.1,19.96,0.1272,0.72,0.2489,0.1767,0.0025,0.0649,238.5,3674.9,860.5,0.0,0.0,by_r,5m+30m,null_fixed
5m+1h [equal],2,345,1.446,63.32,19.52,0.1028,0.56,0.2464,0.1835,0.0025,0.0243,259.0,10658.4,2015.3,0.0,0.0,equal,5m+1h,null_fixed
5m+1h [sig_cost],2,345,1.692,81.82,18.37,0.1328,0.56,0.2464,0.2372,0.0025,0.0308,253.0,8214.3,1408.5,0.0,0.0,sig_cost,5m+1h,null_fixed
5m+1h [by_r],2,345,1.639,78.34,18.59,0.1272,0.56,0.2464,0.2271,0.0025,0.0308,253.0,8214.3,1416.9,0.0,0.0,by_r,5m+1h,null_fixed
5m+4h [equal],2,192,1.732,47.52,14.42,0.078,0.32,0.3542,0.2475,0.005,0.0443,205.0,4627.5,734.0,0.0,0.0,equal,5m+4h,null_fixed
5m+4h [sig_cost],2,192,1.916,92.66,23.11,0.1522,0.32,0.3542,0.4826,0.0025,0.0197,207.5,10533.0,1260.2,0.0,0.0,sig_cost,5m+4h,null_fixed
5m+4h [by_r],2,192,1.918,93.29,23.23,0.1532,0.32,0.3542,0.4859,0.0025,0.0197,207.5,10533.0,1260.2,0.0,0.0,by_r,5m+4h,null_fixed
15m+30m [equal],2,2648,1.197,44.21,19.68,0.0717,4.29,0.2304,0.0167,0.0025,0.1602,291.0,1816.5,462.3,0.0,0.0,equal,15m+30m,null_fixed
15m+30m [sig_cost],2,2648,1.233,49.42,12.09,0.0801,4.29,0.2304,0.0187,0.005,0.2605,222.0,852.2,210.2,0.0,0.0,sig_cost,15m+30m,null_fixed
15m+30m [by_r],2,2648,1.209,45.99,16.8,0.0745,4.29,0.2304,0.0174,0.0025,0.0485,306.5,6319.6,613.1,0.0,0.0,by_r,15m+30m,null_fixed
15m+1h [equal],2,2551,1.222,42.77,14.82,0.0693,4.13,0.2293,0.0168,0.005,0.2816,281.5,999.6,220.8,0.0,0.0,equal,15m+1h,null_fixed
15m+1h [sig_cost],2,2551,1.244,48.5,13.0,0.0786,4.13,0.2293,0.019,0.005,0.3528,319.5,905.6,259.1,0.0,0.0,sig_cost,15m+1h,null_fixed
15m+1h [by_r],2,2551,1.232,45.25,13.85,0.0733,4.13,0.2293,0.0177,0.005,0.3269,290.0,887.1,219.3,0.0,0.0,by_r,15m+1h,null_fixed
15m+4h [equal],2,2398,1.234,26.97,7.1,0.0437,3.89,0.2369,0.0112,0.01,0.4337,216.5,499.2,183.0,0.0,0.0,equal,15m+4h,null_fixed
15m+4h [sig_cost],2,2398,1.26,52.12,14.64,0.0845,3.89,0.2369,0.0217,0.005,0.3074,272.0,884.8,240.9,0.0,0.0,sig_cost,15m+4h,null_fixed
15m+4h [by_r],2,2398,1.26,52.22,14.67,0.0846,3.89,0.2369,0.0218,0.005,0.3091,272.0,880.0,239.7,0.0,0.0,by_r,15m+4h,null_fixed
30m+1h [equal],2,525,1.159,33.92,19.95,0.0551,0.85,0.2305,0.0646,0.0025,0.0065,395.5,60846.2,451.2,0.0,0.0,equal,30m+1h,null_fixed
30m+1h [sig_cost],2,525,1.16,33.85,19.96,0.055,0.85,0.2305,0.0645,0.0025,0.0,,,421.3,0.0,0.0,sig_cost,30m+1h,null_fixed
30m+1h [by_r],2,525,1.158,33.98,19.95,0.0552,0.85,0.2305,0.0647,0.0025,0.0081,396.0,48888.9,445.3,0.0,0.0,by_r,30m+1h,null_fixed
30m+4h [equal],2,372,1.133,18.12,19.68,0.0295,0.61,0.2796,0.0487,0.0025,0.0,,,1309.1,0.0,0.0,equal,30m+4h,null_fixed
