book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,tf,floor,topn,tag
5m floor100 top10,1,2342,2.003,139.85,9.82,0.2263,3.79,0.3898,0.0597,0.0075,0.7855,101.0,128.6,53.4,0.0,0.0,5m,100,10,real_fixed
15m floor30 top10,1,954,1.929,53.15,4.61,0.086,1.54,0.3889,0.0557,0.015,0.8984,157.0,174.8,69.2,0.0,0.0,15m,30,10,real_fixed
4h floor30 top1,1,80,2.117,31.27,4.79,0.059,0.15,0.5875,0.3909,0.015,0.7011,129.0,184.0,90.6,0.0,0.0,4h,30,1,real_fixed
1h floor100 top10,1,1788,1.603,51.06,10.1,0.0832,2.91,0.3842,0.0286,0.0075,0.761,167.0,219.4,138.0,0.0,0.0,1h,100,10,real_fixed
5m floor30 top10,1,1233,1.922,56.27,5.81,0.0916,2.01,0.4485,0.0456,0.0125,0.7577,174.0,229.6,84.5,0.0,0.0,5m,30,10,real_fixed
30m floor100 top10,1,2142,1.377,57.16,10.76,0.0925,3.47,0.3119,0.0267,0.005,0.6968,216.5,310.7,169.1,0.0,0.0,30m,100,10,real_fixed
15m floor100 top10,1,2389,1.481,80.59,13.2,0.1304,3.87,0.3278,0.0337,0.005,0.7532,240.0,318.6,90.0,0.0,0.0,15m,100,10,real_fixed
1h floor30 top10,1,770,1.576,21.92,5.28,0.0358,1.26,0.4299,0.0285,0.015,0.6525,208.5,319.5,234.8,0.0,0.0,1h,30,10,real_fixed
4h floor30 top10,1,783,1.653,19.15,5.06,0.0312,1.28,0.5096,0.0245,0.015,0.6423,216.0,336.3,216.5,0.0,0.0,4h,30,10,real_fixed
30m floor30 top10,1,926,1.468,29.62,8.67,0.0482,1.51,0.3261,0.032,0.0075,0.6483,224.5,346.3,283.1,0.0,0.0,30m,30,10,real_fixed
5m floor100 top1,1,216,1.826,111.75,21.06,0.1823,0.35,0.3796,0.5174,0.0025,0.6488,258.0,397.7,216.0,0.0,0.0,5m,100,1,real_fixed
15m floor30 top1,1,75,2.553,77.36,10.92,0.1252,0.12,0.36,1.0314,0.005,0.4968,221.5,445.9,201.1,0.0,0.0,15m,30,1,real_fixed
5m floor30 top1,1,103,2.104,49.55,10.83,0.0819,0.17,0.4854,0.4811,0.005,0.5453,265.0,486.0,276.8,0.0,0.0,5m,30,1,real_fixed
1h floor30 top1,1,75,1.917,30.3,7.82,0.0501,0.12,0.5067,0.404,0.01,0.5248,275.5,525.0,161.6,0.0,0.0,1h,30,1,real_fixed
30m floor30 top1,1,51,2.931,62.33,7.5,0.1025,0.08,0.3922,1.2222,0.01,0.4754,264.5,556.4,237.7,0.0,0.0,30m,30,1,real_fixed
4h floor100 top10,1,1970,1.289,18.75,5.74,0.0303,3.19,0.4838,0.0095,0.0125,0.2274,186.0,817.9,223.7,0.0,0.0,4h,100,10,real_fixed
4h floor100 top1,1,190,1.406,33.71,9.59,0.0549,0.31,0.4526,0.1774,0.0075,0.3214,272.5,847.9,171.2,0.0,0.0,4h,100,1,real_fixed
15m floor100 top1,1,213,1.303,46.94,40.48,0.076,0.34,0.3146,0.2204,0.0025,0.1939,249.5,1286.7,284.4,0.3473,0.0,15m,100,1,real_fixed
1h floor100 top1,1,140,1.799,56.29,20.55,0.0918,0.23,0.3429,0.4021,0.0025,0.1626,231.5,1423.7,340.8,0.0,0.0,1h,100,1,real_fixed
30m floor100 top1,1,160,1.309,34.2,30.51,0.056,0.26,0.3,0.2137,0.0025,0.0,,,306.8,0.0,0.0,30m,100,1,real_fixed
