symbol,tf,risk,fit_pf,pf_oos,pf_all,trades_all,trades_oos,tpd,total_return,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,open,median_days_pass,p25_days_pass,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars
AUDUSD,15m,0.0025,1.683,1.584,1.663,291,102,0.266,0.3367,0.1017,-0.0662,1.52,0.8397,0.0,0.0,0.1603,206.0,153.25,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.005,1.683,1.584,1.663,291,102,0.266,0.6734,0.1876,-0.1249,1.52,0.8211,0.0565,0.0,0.1223,100.0,53.0,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.0075,1.683,1.584,1.663,291,102,0.266,1.0101,0.2625,-0.1774,1.52,0.6599,0.1075,0.1844,0.0482,60.0,29.0,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.01,1.683,1.584,1.663,291,102,0.266,1.3469,0.3295,-0.2246,1.52,0.6543,0.2095,0.1131,0.0232,46.0,27.0,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.015,1.683,1.584,1.663,291,102,0.266,2.0203,0.4463,-0.3059,1.52,0.4717,0.1446,0.3605,0.0232,27.0,21.0,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.02,1.683,1.584,1.663,291,102,0.266,2.6937,0.5469,-0.3735,1.52,0.2475,0.1372,0.5922,0.0232,23.0,18.0,-1,384,1,1,2.5,1,2.0,0,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.0025,1.591,1.461,1.561,318,110,0.291,0.3151,0.0958,-0.0561,1.58,0.6515,0.0,0.0,0.3485,241.0,161.0,-1,384,1,1,2.5,1,2.0,2,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.005,1.591,1.461,1.561,318,110,0.291,0.6302,0.1772,-0.1051,1.58,0.8647,0.0399,0.0,0.0955,122.0,60.0,-1,384,1,1,2.5,1,2.0,2,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.0075,1.591,1.461,1.561,318,110,0.291,0.9453,0.2488,-0.1483,1.58,0.6108,0.1872,0.1677,0.0343,50.0,26.0,-1,384,1,1,2.5,1,2.0,2,0.0,0,0.0,0.699999988079071,0.0,8
AUDUSD,15m,0.01,1.591,1.461,1.561,318,110,0.291,1.2603,0.3129,-0.1866,1.58,0.5663,0.2567,0.1511,0.0259,39.0,23.0,-1,384,1,1,2.5,1,2.0,2,0.0,0,0.0,0.699999988079071,0.0,8
