legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
BTCUSDT 1h,1,8%,0.005,0.0,0.137,0.1765,-0.0623,1.09,0.6222,0.0175,0.0,92.0,43.0,0.0,0.0055,0.0735
BTCUSDT 1h,1,5%,0.005,0.0,0.137,0.1765,-0.0623,1.09,0.6636,0.0175,0.0,55.0,35.0,0.0,0.011,0.1222
BTCUSDT 1h,1,8%,0.0075,0.0,0.137,0.248,-0.078,1.09,0.5515,0.25,0.0,52.0,35.0,0.0,0.0101,0.0974
BTCUSDT 1h,1,5%,0.0075,0.0,0.137,0.248,-0.078,1.09,0.6719,0.2151,0.0,47.0,32.0,0.0,0.011,0.1535
BTCUSDT 1h,1,8%,0.01,0.0,0.137,0.3122,-0.0892,1.09,0.5772,0.3097,0.0,44.0,30.0,0.0,0.011,0.1461
BTCUSDT 1h,1,5%,0.01,0.0,0.137,0.3122,-0.0892,1.09,0.6425,0.2996,0.0,44.0,30.0,0.0,0.011,0.1618
BTCUSDT 1h,1,8%,0.015,0.0,0.137,0.4246,-0.1042,1.09,0.4219,0.5285,0.0175,35.0,26.0,0.0,0.011,0.1572
BTCUSDT 1h,1,5%,0.015,0.0,0.137,0.4246,-0.1042,1.09,0.4494,0.5046,0.0175,32.0,26.0,0.0,0.011,0.193
BTCUSDT 1h,1,8%,0.02,0.0,0.137,0.5218,-0.1138,1.09,0.2721,0.4761,0.2233,33.0,26.0,0.0,0.0092,0.1103
BTCUSDT 1h,1,5%,0.02,0.0,0.137,0.5218,-0.1138,1.09,0.3033,0.4449,0.2233,34.0,26.25,0.0,0.0092,0.1149
BTCUSDT 1h,1,8%,0.03,0.0,0.137,0.6861,-0.1522,1.09,0.1232,0.2142,0.6342,34.0,28.0,0.0,0.0,0.045
BTCUSDT 1h,1,5%,0.03,0.0,0.137,0.6861,-0.1522,1.09,0.1232,0.2142,0.6342,34.0,28.0,0.0,0.0,0.045
EURUSD 5m,1,8%,0.005,0.0,0.097,0.2712,-0.3422,0.68,0.1425,0.6783,0.0772,33.0,20.0,0.0,0.0138,0.0662
EURUSD 5m,1,5%,0.005,0.0,0.097,0.2712,-0.3422,0.68,0.1443,0.6774,0.0763,32.0,20.0,0.0,0.0165,0.068
EURUSD 5m,1,8%,0.0075,0.0,0.097,0.3721,-0.4598,0.68,0.1241,0.4596,0.3143,28.0,19.0,0.0,0.0156,0.0671
EURUSD 5m,1,5%,0.0075,0.0,0.097,0.3721,-0.4598,0.68,0.1379,0.4458,0.3143,26.0,16.0,0.0009,0.0285,0.0809
EURUSD 5m,1,8%,0.01,0.0,0.097,0.4602,-0.5552,0.68,0.0846,0.4403,0.3824,34.0,20.0,0.0,0.0101,0.0368
EURUSD 5m,1,5%,0.01,0.0,0.097,0.4602,-0.5552,0.68,0.0873,0.4375,0.3824,33.0,19.0,0.0,0.0129,0.0395
AUDUSD 1h,1,8%,0.005,0.0,0.132,0.0822,-0.0587,1.32,0.5607,0.0,0.0,209.0,138.25,0.0,0.0,0.0
AUDUSD 1h,1,5%,0.005,0.0,0.132,0.0822,-0.0587,1.32,0.8548,0.0,0.0,141.0,75.0,0.0,0.0,0.0211
AUDUSD 1h,1,8%,0.0075,0.0,0.132,0.119,-0.0806,1.32,0.7583,0.1673,0.0,143.0,79.0,0.0,0.0,0.0193
AUDUSD 1h,1,5%,0.0075,0.0,0.132,0.119,-0.0806,1.32,0.9062,0.0506,0.0,87.0,50.0,0.0,0.0,0.0699
AUDUSD 1h,1,8%,0.01,0.0,0.132,0.1536,-0.0991,1.32,0.7904,0.1664,0.0,94.0,55.0,0.0,0.0,0.0414
AUDUSD 1h,1,5%,0.01,0.0,0.132,0.1536,-0.0991,1.32,0.8336,0.1232,0.0,73.0,40.0,0.0,0.0,0.1057
AUDUSD 1h,1,8%,0.015,0.0,0.132,0.2172,-0.1286,1.32,0.6149,0.3419,0.0,54.0,35.0,0.0,0.0,0.1039
AUDUSD 1h,1,5%,0.015,0.0,0.132,0.2172,-0.1286,1.32,0.6213,0.3355,0.0,45.0,33.0,0.0,0.0028,0.1259
AUDUSD 1h,1,8%,0.02,0.0,0.132,0.2749,-0.1561,1.32,0.421,0.2629,0.273,41.0,30.0,0.0,0.0028,0.1112
AUDUSD 1h,1,5%,0.02,0.0,0.132,0.2749,-0.1561,1.32,0.4853,0.2243,0.2472,38.0,28.0,0.0,0.0028,0.1553
AUDUSD 1h,1,8%,0.03,0.0,0.132,0.3768,-0.2174,1.32,0.4145,0.3244,0.2178,36.0,27.0,0.0,0.0028,0.1489
AUDUSD 1h,1,5%,0.03,0.0,0.132,0.3768,-0.2174,1.32,0.4164,0.3226,0.2178,35.0,26.0,0.0,0.0028,0.1526
XAUUSD 1h,1,8%,0.005,0.0,0.145,0.0539,-0.0214,1.41,0.3768,0.0,0.0,309.5,262.25,0.0,0.0,0.0
XAUUSD 1h,1,5%,0.005,0.0,0.145,0.0539,-0.0214,1.41,0.5441,0.0,0.0,168.5,108.0,0.0,0.0,0.0064
XAUUSD 1h,1,8%,0.0075,0.0,0.145,0.079,-0.0316,1.41,0.5441,0.0,0.0,181.5,113.75,0.0,0.0,0.0037
XAUUSD 1h,1,5%,0.0075,0.0,0.145,0.079,-0.0316,1.41,0.5579,0.0,0.0,138.0,75.5,0.0,0.0018,0.0221
XAUUSD 1h,1,8%,0.01,0.0,0.145,0.1029,-0.0415,1.41,0.5533,0.0,0.0,153.0,84.25,0.0,0.0018,0.0138
XAUUSD 1h,1,5%,0.01,0.0,0.145,0.1029,-0.0415,1.41,0.6949,0.0,0.0,113.5,65.0,0.0,0.0028,0.0432
XAUUSD 1h,1,8%,0.015,0.0,0.145,0.1479,-0.0604,1.41,0.6278,0.0,0.0,112.0,62.0,0.0,0.0018,0.0368
XAUUSD 1h,1,5%,0.015,0.0,0.145,0.1479,-0.0604,1.41,0.7665,0.0,0.0,66.0,35.0,0.0,0.0028,0.1232
XAUUSD 1h,1,8%,0.02,0.0,0.145,0.1897,-0.0782,1.41,0.4081,0.148,0.3116,50.0,35.0,0.0,0.0018,0.0708
XAUUSD 1h,1,5%,0.02,0.0,0.145,0.1897,-0.0782,1.41,0.648,0.0873,0.1415,47.0,30.0,0.0,0.0055,0.1654
