symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAUUSD,4h,2024-09-01,30,1,2.344,63,9886,23,1.562,1.304,3.658,0.256,0.4783,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-09-01,30,10,2.344,63,9886,152,1.35,1.105,1.278,1.692,0.5395,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-09-01,100,1,1.813,128,3279,41,1.294,1.118,10.375,0.456,0.2439,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-09-01,100,10,1.813,128,3279,275,1.445,1.231,5.647,3.061,0.4327,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,30,1,2.119,38,9970,13,0.002,0.0,-16.978,0.145,0.0769,8,0,1,1,2.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,30,10,2.119,38,9970,132,0.447,0.308,-4.984,1.469,0.2955,8,0,1,1,2.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,100,1,2.053,100,3729,24,1.283,1.073,2.286,0.267,0.4583,-1,24,2,1,2.0,1,1.0,0,0.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,100,10,2.053,100,3729,258,1.358,1.123,3.066,2.872,0.4612,-1,24,2,1,2.0,1,1.0,0,0.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-03-01,30,1,2.377,85,9643,27,1.789,1.59,7.588,0.301,0.5926,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,30,10,2.377,85,9643,39,0.704,0.587,-0.725,0.434,0.4103,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,100,1,1.907,102,3710,28,1.816,1.61,7.846,0.312,0.6071,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-03-01,100,10,1.907,102,3710,170,1.228,1.065,1.463,1.892,0.5235,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-06-01,30,1,2.233,47,8883,14,2.387,2.187,4.509,0.152,0.7143,-1,24,3,1,1.5,1,2.0,3,1.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
