symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
EURUSD,4h,2024-09-01,30,1,3.378,32,6781,12,0.013,0.001,-12.132,0.134,0.0833,0,0,2,1,2.5,0,1.0,1,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2024-09-01,30,10,3.378,32,6781,126,0.037,0.015,-6.764,1.403,0.2222,0,0,2,1,2.5,0,1.0,1,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2024-09-01,100,1,1.539,115,1715,36,0.85,0.706,-1.478,0.401,0.4167,0,0,0,1,2.0,0,6.0,3,2.0,0,1.5,0.0,0.0,2,2.0,rvol>1.5
EURUSD,4h,2024-09-01,100,10,1.539,115,1715,360,0.96,0.805,-0.208,4.007,0.4167,0,0,0,1,2.0,0,6.0,3,2.0,0,1.5,0.0,0.0,2,2.0,rvol>1.5
EURUSD,4h,2024-12-01,30,1,3.463,33,7218,11,0.658,0.506,-1.279,0.122,0.3636,-1,24,1,1,2.5,0,1.0,3,3.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2024-12-01,30,10,3.463,33,7218,110,0.535,0.422,-1.288,1.224,0.3636,-1,24,1,1,2.5,0,1.0,3,3.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2024-12-01,100,1,1.575,122,1616,23,1.021,0.861,0.031,0.256,0.6087,-1,24,0,1,2.0,0,6.0,3,2.0,3,1.5,0.0,0.0,2,2.0,rvol>1.5
EURUSD,4h,2024-12-01,100,10,1.575,122,1616,196,0.781,0.653,-0.291,2.182,0.5918,-1,24,0,1,2.0,0,6.0,3,2.0,3,1.5,0.0,0.0,2,2.0,rvol>1.5
EURUSD,4h,2025-03-01,30,1,3.19,33,7514,19,0.895,0.691,-0.644,0.212,0.4737,-1,24,1,1,2.5,0,1.0,1,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-03-01,30,10,3.19,33,7514,180,1.007,0.8,0.034,2.004,0.4333,-1,24,1,1,2.5,0,1.0,1,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-03-01,100,1,1.484,112,1671,51,0.413,0.354,-31.099,0.568,0.098,-1,24,1,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-03-01,100,10,1.484,112,1671,546,0.524,0.458,-13.654,6.078,0.3077,-1,24,1,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-06-01,30,1,2.584,34,7694,7,3.769,3.437,3.195,0.076,0.5714,-1,24,1,1,2.5,1,2.0,1,0.0,0,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-06-01,30,10,2.584,34,7694,68,2.319,1.803,4.167,0.74,0.5294,-1,24,1,1,2.5,1,2.0,1,0.0,0,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-06-01,100,1,1.384,101,2126,31,1.787,1.481,2.598,0.338,0.5161,0,0,3,1,1.5,1,2.0,3,2.0,3,0.0,0.0,0.0,2,2.0,none
EURUSD,4h,2025-06-01,100,10,1.384,101,2126,310,1.76,1.439,3.313,3.376,0.4903,0,0,3,1,1.5,1,2.0,3,2.0,3,0.0,0.0,0.0,2,2.0,none
EURUSD,4h,2025-09-01,30,1,2.954,46,6952,4,8.71,6.032,2.209,0.044,0.5,-1,24,1,1,2.5,1,1.0,0,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-09-01,30,10,2.954,46,6952,62,1.459,1.184,0.615,0.683,0.4194,-1,24,1,1,2.5,1,1.0,0,0.0,1,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2025-09-01,100,1,1.953,100,2262,22,0.77,0.581,-0.648,0.242,0.5,0,0,3,1,2.0,1,2.0,3,2.0,0,0.0,0.0,0.0,2,2.0,none
EURUSD,4h,2025-09-01,100,10,1.953,100,2262,220,0.809,0.607,-0.613,2.422,0.5,0,0,3,1,2.0,1,2.0,3,2.0,0,0.0,0.0,0.0,2,2.0,none
EURUSD,4h,2025-12-01,30,1,3.208,32,7347,12,0.868,0.716,-0.521,0.135,0.4167,0,0,2,1,1.5,1,1.0,3,2.0,0,2.0,0.0,0.0,2,2.0,rvol>2.0
EURUSD,4h,2025-12-01,30,10,3.208,32,7347,102,0.66,0.51,-1.321,1.148,0.3333,0,0,2,1,1.5,1,1.0,3,2.0,0,2.0,0.0,0.0,2,2.0,rvol>2.0
EURUSD,4h,2025-12-01,100,1,1.299,130,2058,6,1.396,1.06,0.181,0.068,0.6667,0,0,2,1,1.5,1,2.0,3,1.0,1,0.0,0.7,0.0,2,2.0,ATRrank>0.7
EURUSD,4h,2025-12-01,100,10,1.299,130,2058,169,0.746,0.596,-1.127,1.902,0.5089,0,0,2,1,1.5,1,2.0,3,1.0,1,0.0,0.7,0.0,2,2.0,ATRrank>0.7
EURUSD,4h,2026-03-01,30,1,4.257,41,7886,12,0.441,0.347,-1.015,0.131,0.4167,8,0,2,1,2.0,1,2.0,3,1.0,3,0.0,0.7,0.0,2,2.0,ATRrank>0.7
EURUSD,4h,2026-03-01,30,10,4.257,41,7886,122,0.603,0.488,-0.712,1.328,0.4262,8,0,2,1,2.0,1,2.0,3,1.0,3,0.0,0.7,0.0,2,2.0,ATRrank>0.7
EURUSD,4h,2026-03-01,100,1,1.732,100,1962,23,0.914,0.746,-0.269,0.25,0.4783,8,0,2,1,1.5,1,2.0,3,1.0,3,0.0,0.5,0.0,2,2.0,ATRrank>0.5
EURUSD,4h,2026-03-01,100,10,1.732,100,1962,370,0.617,0.457,-6.748,4.029,0.3784,8,0,2,1,1.5,1,2.0,3,1.0,3,0.0,0.5,0.0,2,2.0,ATRrank>0.5
XAUUSD,4h,2024-09-01,30,1,3.462,46,7455,13,0.727,0.64,-1.851,0.145,0.3846,8,0,2,1,2.5,1,1.0,3,2.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-09-01,30,10,3.462,46,7455,112,0.845,0.752,-0.899,1.247,0.3929,8,0,2,1,2.5,1,1.0,3,2.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-09-01,100,1,1.603,100,1847,31,0.723,0.625,-3.287,0.345,0.3226,0,0,2,1,2.0,1,1.0,0,0.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-09-01,100,10,1.603,100,1847,334,0.942,0.829,-0.236,3.718,0.491,0,0,2,1,2.0,1,1.0,0,0.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-12-01,30,1,3.71,33,7815,6,0.0,0.0,-8.249,0.067,0.0,0,0,2,1,1.5,0,0.5,0,0.0,0,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2024-12-01,30,10,3.71,33,7815,60,0.042,0.026,-3.002,0.668,0.2,0,0,2,1,1.5,0,0.5,0,0.0,0,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2024-12-01,100,1,2.041,117,1653,32,1.704,1.483,1.077,0.356,0.5312,-1,24,0,1,2.0,0,6.0,0,0.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2024-12-01,100,10,2.041,117,1653,288,2.066,1.833,3.363,3.206,0.5521,-1,24,0,1,2.0,0,6.0,0,0.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-03-01,30,1,2.952,30,8000,8,0.957,0.86,-0.061,0.089,0.5,0,0,2,1,1.5,1,2.0,0,0.0,3,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2025-03-01,30,10,2.952,30,8000,141,1.146,1.048,0.7,1.57,0.461,0,0,2,1,1.5,1,2.0,0,0.0,3,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2025-03-01,100,1,1.879,103,2192,47,1.129,1.026,2.28,0.523,0.4894,-1,24,4,1,2.0,1,1.0,3,3.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-03-01,100,10,1.879,103,2192,375,1.31,1.082,6.547,4.174,0.4133,-1,24,4,1,2.0,1,1.0,3,3.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-06-01,30,1,3.296,31,7704,5,0.006,0.0,-4.159,0.054,0.2,-1,24,2,1,1.5,1,1.0,0,0.0,0,2.5,0.0,0.0,2,3.0,rvol>2.5
XAUUSD,4h,2025-06-01,30,10,3.296,31,7704,82,0.885,0.668,-0.465,0.893,0.378,-1,24,2,1,1.5,1,1.0,0,0.0,0,2.5,0.0,0.0,2,3.0,rvol>2.5
XAUUSD,4h,2025-06-01,100,1,2.177,122,2508,34,0.618,0.538,-1.047,0.37,0.4706,-1,24,0,1,2.0,0,6.0,0,0.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-06-01,100,10,2.177,122,2508,294,1.382,1.212,1.575,3.201,0.5068,-1,24,0,1,2.0,0,6.0,0,0.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-09-01,30,1,2.777,52,7584,11,0.692,0.49,-2.46,0.121,0.1818,0,0,2,1,1.5,0,0.5,1,0.0,1,1.5,0.0,0.0,2,3.0,rvol>1.5
