symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAGUSD,4h,2024-09-01,30,1,4.782,47,6929,7,4.177,3.49,1.45,0.079,0.2857,0,0,2,1,2.5,1,2.0,0,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-09-01,30,10,4.782,47,6929,75,2.404,1.749,4.665,0.844,0.3333,0,0,2,1,2.5,1,2.0,0,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-09-01,100,1,1.742,114,1758,18,3.017,2.789,27.483,0.203,0.2222,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-09-01,100,10,1.742,114,1758,269,1.812,1.597,5.059,3.028,0.487,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-12-01,30,1,4.005,40,7122,0,,,0.0,0.0,,0,0,2,1,2.5,1,2.0,0,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-12-01,30,10,4.005,40,7122,0,,,0.0,0.0,,0,0,2,1,2.5,1,2.0,0,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-12-01,100,1,1.898,109,1720,2,0.81,0.61,-0.111,0.023,0.5,0,0,2,1,1.5,0,0.5,1,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-12-01,100,10,1.898,109,1720,83,0.556,0.394,-0.228,0.934,0.4699,0,0,2,1,1.5,0,0.5,1,0.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2025-03-01,30,1,7.402,44,6740,17,1.414,1.25,0.848,0.189,0.5294,0,0,2,1,2.0,1,2.0,3,1.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2025-03-01,30,10,7.402,44,6740,165,1.109,1.011,0.326,1.837,0.4848,0,0,2,1,2.0,1,2.0,3,1.0,1,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2025-03-01,100,1,1.654,140,1120,42,1.068,0.891,0.293,0.468,0.4286,0,0,2,1,1.5,1,2.0,3,1.0,1,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-03-01,100,10,1.654,140,1120,382,0.6,0.44,-6.597,4.252,0.3508,0,0,2,1,1.5,1,2.0,3,1.0,1,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-06-01,30,1,3.437,31,6466,6,1.929,1.74,0.715,0.065,0.3333,-1,24,1,1,2.0,1,2.0,3,3.0,3,0.0,0.7,0.0,2,5.0,ATRrank>0.7
XAGUSD,4h,2025-06-01,30,10,3.437,31,6466,74,1.583,1.376,0.539,0.806,0.3514,-1,24,1,1,2.0,1,2.0,3,3.0,3,0.0,0.7,0.0,2,5.0,ATRrank>0.7
XAGUSD,4h,2025-06-01,100,1,1.512,113,1018,29,0.554,0.483,-6.075,0.316,0.4483,-1,24,4,1,2.0,1,1.0,3,1.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-06-01,100,10,1.512,113,1018,332,1.803,1.549,8.631,3.615,0.512,-1,24,4,1,2.0,1,1.0,3,1.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-09-01,30,1,4.442,41,6248,11,0.0,0.0,-11.638,0.122,0.0,-1,24,3,1,1.5,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-09-01,30,10,4.442,41,6248,178,1.076,0.932,0.181,1.981,0.4101,-1,24,3,1,1.5,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-09-01,100,1,1.894,132,1024,42,0.877,0.716,-3.166,0.468,0.381,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-09-01,100,10,1.894,132,1024,331,0.898,0.749,-2.161,3.685,0.3535,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-12-01,30,1,4.304,31,6476,15,0.21,0.185,-11.125,0.169,0.1333,0,0,4,1,2.0,0,1.0,0,0.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-12-01,30,10,4.304,31,6476,198,0.868,0.798,-0.671,2.229,0.3838,0,0,4,1,2.0,0,1.0,0,0.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-12-01,100,1,1.938,134,1074,53,0.715,0.639,-13.273,0.597,0.1887,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-12-01,100,10,1.938,134,1074,530,0.722,0.658,-4.853,5.966,0.3925,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2026-03-01,30,1,5.339,34,7171,0,,,0.0,0.0,,0,0,4,1,2.0,1,2.0,0,0.0,3,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,4h,2026-03-01,30,10,5.339,34,7171,0,,,0.0,0.0,,0,0,4,1,2.0,1,2.0,0,0.0,3,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,4h,2026-03-01,100,1,1.561,167,1584,50,2.415,2.113,49.86,0.544,0.34,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2026-03-01,100,10,1.561,167,1584,528,1.973,1.761,11.042,5.75,0.4886,0,0,4,1,2.0,0,1.0,0,0.0,3,0.0,0.0,0.0,2,5.0,none
XAUUSD,4h,2024-09-01,30,1,4.696,30,6502,7,0.436,0.319,-0.918,0.078,0.2857,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-09-01,30,10,4.696,30,6502,105,1.147,0.871,0.218,1.169,0.5238,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-09-01,100,1,1.537,102,1677,19,0.968,0.842,-0.278,0.212,0.4211,-1,24,4,1,2.0,0,1.0,3,3.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-09-01,100,10,1.537,102,1677,224,0.807,0.695,-1.359,2.494,0.4554,-1,24,4,1,2.0,0,1.0,3,3.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,30,1,2.815,35,6249,6,1.846,1.161,0.399,0.067,0.5,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-12-01,30,10,2.815,35,6249,74,0.333,0.22,-1.356,0.824,0.3784,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-12-01,100,1,1.907,105,1806,16,0.295,0.236,-5.446,0.178,0.3125,-1,24,4,1,2.0,0,1.0,3,3.0,1,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2024-12-01,100,10,1.907,105,1806,160,0.314,0.252,-4.197,1.781,0.3125,-1,24,4,1,2.0,0,1.0,3,3.0,1,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-03-01,30,1,3.627,38,6305,15,1.102,0.841,1.509,0.167,0.2667,0,0,2,1,2.0,0,1.0,0,0.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,30,10,3.627,38,6305,154,1.064,0.817,0.666,1.714,0.3117,0,0,2,1,2.0,0,1.0,0,0.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,100,1,1.882,117,1803,40,0.655,0.584,-12.494,0.445,0.125,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-03-01,100,10,1.882,117,1803,456,0.594,0.524,-5.106,5.076,0.3048,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-06-01,30,1,2.544,32,6423,14,1.362,1.107,0.508,0.152,0.2857,0,0,1,1,2.5,1,2.0,2,0.0,1,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-06-01,30,10,2.544,32,6423,99,0.817,0.607,-0.675,1.078,0.2828,0,0,1,1,2.5,1,2.0,2,0.0,1,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-06-01,100,1,1.803,107,1813,29,0.661,0.582,-8.355,0.316,0.1724,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-06-01,100,10,1.803,107,1813,389,0.389,0.307,-13.717,4.236,0.2545,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-09-01,30,1,3.271,35,6855,8,1.659,1.527,0.809,0.088,0.75,-1,24,1,1,2.5,1,2.0,0,0.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-09-01,30,10,3.271,35,6855,87,1.222,1.079,0.411,0.958,0.5977,-1,24,1,1,2.5,1,2.0,0,0.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-09-01,100,1,1.626,270,1958,85,0.656,0.572,-8.773,0.936,0.3412,0,0,0,1,2.0,0,6.0,0,0.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-09-01,100,10,1.626,270,1958,624,0.541,0.471,-10.399,6.87,0.2997,0,0,0,1,2.0,0,6.0,0,0.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-12-01,30,1,2.191,36,6931,13,1.564,1.342,1.346,0.146,0.4615,8,0,4,1,2.0,1,1.0,3,2.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-12-01,30,10,2.191,36,6931,115,1.3,1.198,0.962,1.295,0.4957,8,0,4,1,2.0,1,1.0,3,2.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-12-01,100,1,1.381,175,2235,40,1.384,1.202,2.584,0.45,0.5,8,0,0,1,2.0,0,6.0,0,0.0,0,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-12-01,100,10,1.381,175,2235,600,0.595,0.513,-7.194,6.754,0.4267,8,0,0,1,2.0,0,6.0,0,0.0,0,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2026-03-01,30,1,2.844,32,7351,11,1.486,1.387,0.929,0.12,0.4545,-1,24,4,1,2.0,1,2.0,3,3.0,1,2.0,0.0,0.0,2,3.0,rvol>2.0
