symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAGUSD,4h,2024-09-01,30,1,4.893,35,9439,30,2.387,1.93,2.775,0.338,0.5667,0,0,4,1,2.0,1,2.0,3,1.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2024-09-01,30,10,4.893,35,9439,300,2.35,1.915,2.801,3.377,0.58,0,0,4,1,2.0,1,2.0,3,1.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2024-09-01,100,1,1.663,106,3381,3,0.05,0.033,-1.957,0.034,0.3333,8,0,2,1,1.5,1,2.0,3,2.0,3,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,4h,2024-09-01,100,10,1.663,106,3381,94,0.486,0.409,-1.3,1.058,0.4255,8,0,2,1,1.5,1,2.0,3,2.0,3,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,4h,2024-12-01,30,1,7.481,34,9921,5,1.136,1.06,0.226,0.056,0.2,0,0,4,1,2.0,1,2.0,0,0.0,0,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2024-12-01,30,10,7.481,34,9921,50,0.991,0.917,-0.014,0.563,0.24,0,0,4,1,2.0,1,2.0,0,0.0,0,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2024-12-01,100,1,1.896,148,3596,31,0.823,0.66,-0.711,0.349,0.5161,0,0,4,1,2.0,1,2.0,3,3.0,0,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2024-12-01,100,10,1.896,148,3596,316,0.859,0.694,-0.581,3.557,0.5063,0,0,4,1,2.0,1,2.0,3,3.0,0,0.0,0.5,0.0,2,5.0,ATRrank>0.5
XAGUSD,4h,2025-03-01,30,1,3.719,36,9044,5,2.04,1.769,0.491,0.056,0.6,0,0,4,1,2.0,1,2.0,3,2.0,3,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2025-03-01,30,10,3.719,36,9044,50,2.04,1.769,0.589,0.557,0.6,0,0,4,1,2.0,1,2.0,3,2.0,3,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2025-03-01,100,1,1.66,145,3691,25,0.667,0.591,-1.935,0.278,0.32,-1,24,2,1,1.5,1,2.0,0,0.0,1,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-03-01,100,10,1.66,145,3691,350,0.648,0.537,-2.008,3.896,0.4,-1,24,2,1,1.5,1,2.0,0,0.0,1,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-06-01,30,1,2.909,34,8513,15,1.077,0.918,0.45,0.163,0.5333,-1,24,3,1,2.5,1,1.0,3,1.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-06-01,30,10,2.909,34,8513,151,0.798,0.626,-0.632,1.644,0.5695,-1,24,3,1,2.5,1,1.0,3,1.0,3,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-06-01,100,1,1.544,107,3130,27,1.041,0.917,0.631,0.294,0.2593,-1,24,2,1,1.5,0,1.0,0,0.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-06-01,100,10,1.544,107,3130,249,0.487,0.391,-6.656,2.711,0.2651,-1,24,2,1,1.5,0,1.0,0,0.0,3,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-09-01,30,1,3.086,31,8235,11,0.752,0.603,-3.207,0.122,0.0909,0,0,2,1,2.0,0,0.5,0,0.0,3,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2025-09-01,30,10,3.086,31,8235,118,1.071,0.892,0.67,1.314,0.2966,0,0,2,1,2.0,0,0.5,0,0.0,3,2.0,0.0,0.0,2,5.0,rvol>2.0
XAGUSD,4h,2025-09-01,100,1,1.465,114,2529,28,0.848,0.801,-0.554,0.312,0.3571,-1,24,0,1,2.0,1,6.0,3,3.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-09-01,100,10,1.465,114,2529,380,0.835,0.69,-2.904,4.23,0.3263,-1,24,0,1,2.0,1,6.0,3,3.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,4h,2025-12-01,30,1,2.039,34,8154,9,2.527,2.026,13.976,0.101,0.2222,0,0,1,1,2.5,0,0.5,0,0.0,0,0.0,0.0,0.0,2,5.0,none
XAGUSD,4h,2025-12-01,30,10,2.039,34,8154,258,2.073,1.8,3.771,2.904,0.4961,0,0,1,1,2.5,0,0.5,0,0.0,0,0.0,0.0,0.0,2,5.0,none
