symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAUUSD,4h,2024-09-01,30,1,2.526,31,10710,1,0.0,0.0,-0.017,0.011,0.0,-1,24,2,1,2.0,1,2.0,0,0.0,0,0.0,0.0,0.5,2,3.0,ATRrank<0.5
XAUUSD,4h,2024-09-01,30,10,2.526,31,10710,109,0.679,0.475,-1.74,1.213,0.422,-1,24,2,1,2.0,1,2.0,0,0.0,0,0.0,0.0,0.5,2,3.0,ATRrank<0.5
XAUUSD,4h,2024-09-01,100,1,1.76,103,3297,21,1.26,1.044,4.614,0.234,0.2857,-1,24,4,1,2.0,0,0.5,0,0.0,0,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-09-01,100,10,1.76,103,3297,256,1.194,0.979,2.229,2.85,0.4023,-1,24,4,1,2.0,0,0.5,0,0.0,0,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-12-01,30,1,2.423,31,10648,5,1.415,1.185,0.834,0.056,0.2,-1,24,3,1,2.0,0,1.0,3,3.0,3,2.5,0.0,0.0,2,3.0,rvol>2.5
XAUUSD,4h,2024-12-01,30,10,2.423,31,10648,55,0.466,0.375,-0.587,0.612,0.1273,-1,24,3,1,2.0,0,1.0,3,3.0,3,2.5,0.0,0.0,2,3.0,rvol>2.5
XAUUSD,4h,2024-12-01,100,1,1.864,103,4196,26,1.203,0.991,1.978,0.289,0.4615,-1,24,2,1,2.0,0,1.0,3,3.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-12-01,100,10,1.864,103,4196,268,1.432,1.19,3.774,2.983,0.4851,-1,24,2,1,2.0,0,1.0,3,3.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-03-01,30,1,2.43,79,10192,26,1.795,1.599,7.617,0.289,0.6154,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,30,10,2.43,79,10192,122,1.79,1.601,3.571,1.358,0.5984,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,100,1,1.687,100,4102,27,1.822,1.619,7.875,0.301,0.6296,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-03-01,100,10,1.687,100,4102,258,1.578,1.381,4.662,2.872,0.5853,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2025-06-01,30,1,2.242,45,9535,13,2.676,2.474,5.452,0.142,0.6923,-1,24,3,1,1.5,1,2.0,3,2.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-06-01,30,10,2.242,45,9535,132,1.281,1.115,1.336,1.437,0.5227,-1,24,3,1,1.5,1,2.0,3,2.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-06-01,100,1,1.864,106,3725,31,0.894,0.723,-1.217,0.338,0.4194,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-06-01,100,10,1.864,106,3725,343,0.742,0.603,-3.458,3.735,0.4257,-1,24,2,1,2.0,0,1.0,3,2.0,3,0.0,0.5,0.0,2,3.0,ATRrank>0.5
XAUUSD,4h,2025-09-01,30,1,3.038,34,8364,10,4.381,4.166,9.048,0.11,0.7,-1,24,2,1,2.5,1,2.0,3,3.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-09-01,30,10,3.038,34,8364,100,5.304,5.023,11.952,1.101,0.7,-1,24,2,1,2.5,1,2.0,3,3.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-09-01,100,1,1.952,105,3384,24,1.854,1.645,3.05,0.264,0.5417,-1,24,2,1,1.5,1,2.0,3,2.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-09-01,100,10,1.952,105,3384,276,1.759,1.586,3.941,3.039,0.587,-1,24,2,1,1.5,1,2.0,3,2.0,3,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-12-01,30,1,3.097,38,7564,10,7.012,6.651,9.098,0.113,0.8,-1,24,2,1,2.5,1,2.0,3,2.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-12-01,30,10,3.097,38,7564,123,4.602,4.217,5.951,1.385,0.6911,-1,24,2,1,2.5,1,2.0,3,2.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-12-01,100,1,1.825,100,3478,27,1.72,1.581,3.691,0.304,0.5926,-1,24,2,1,1.5,1,2.0,0,0.0,1,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-12-01,100,10,1.825,100,3478,300,1.351,1.243,1.297,3.377,0.4733,-1,24,2,1,1.5,1,2.0,0,0.0,1,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2026-03-01,30,1,4.83,39,7300,17,0.597,0.574,-3.949,0.185,0.3529,-1,24,2,1,2.5,1,2.0,3,3.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
