symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAUUSD,4h,2024-09-01,30,1,3.462,35,5214,8,0.0,0.0,-8.09,0.089,0.0,-1,24,1,1,1.5,0,0.5,2,0.0,0,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2024-09-01,30,10,3.462,35,5214,113,0.572,0.485,-2.286,1.258,0.2655,-1,24,1,1,1.5,0,0.5,2,0.0,0,2.0,0.0,0.0,2,3.0,rvol>2.0
XAUUSD,4h,2024-09-01,100,1,1.625,113,1428,24,0.338,0.254,-4.402,0.267,0.375,-1,24,2,1,2.0,0,1.0,3,2.0,1,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-09-01,100,10,1.625,113,1428,208,0.408,0.313,-2.646,2.315,0.3558,-1,24,2,1,2.0,0,1.0,3,2.0,1,0.0,0.0,0.0,2,3.0,none
XAUUSD,4h,2024-12-01,30,1,2.788,30,5446,4,86.006,6.163,0.677,0.045,0.75,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-12-01,30,10,2.788,30,5446,55,3.175,2.456,3.203,0.612,0.5818,-1,24,2,1,2.5,0,1.0,3,2.0,1,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2024-12-01,100,1,1.515,118,1139,27,1.006,0.951,0.023,0.301,0.4815,-1,24,0,1,2.0,0,6.0,3,1.0,0,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2024-12-01,100,10,1.515,118,1139,278,1.105,0.978,0.579,3.095,0.5036,-1,24,0,1,2.0,0,6.0,3,1.0,0,1.5,0.0,0.0,2,3.0,rvol>1.5
XAUUSD,4h,2025-03-01,30,1,4.538,31,5211,11,1.632,1.203,6.286,0.122,0.3636,0,0,2,1,2.0,0,1.0,0,0.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,30,10,4.538,31,5211,118,1.415,1.129,1.692,1.314,0.4746,0,0,2,1,2.0,0,1.0,0,0.0,0,0.0,0.7,0.0,2,3.0,ATRrank>0.7
XAUUSD,4h,2025-03-01,100,1,1.824,107,1136,29,1.07,0.948,1.732,0.323,0.2069,-1,24,2,1,1.5,0,0.5,0,0.0,0,0.0,0.5,0.0,2,3.0,ATRrank>0.5
