symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
XAUUSD,4h,30,1,7,6,105,1.943,1.762,0.5524,0.3176,33.35,0.167,-5.03,2.423
XAUUSD,5m,100,1,7,5,211,1.83,1.616,0.3555,0.5467,115.36,0.334,-23.6,1.757
XAUUSD,5m,30,1,7,6,110,1.822,1.524,0.4364,0.3951,43.46,0.176,-10.49,2.444
XAUUSD,5m,100,10,7,5,2422,1.777,1.551,0.3584,0.0515,124.75,3.804,-12.95,1.757
XAUUSD,5m,30,10,7,5,1203,1.763,1.487,0.4389,0.0392,47.2,1.903,-8.3,2.444
XAGUSD,1h,30,1,7,5,37,1.651,1.457,0.4054,0.2961,10.96,0.059,-4.9,2.74
XAUUSD,1h,100,1,7,5,157,1.596,1.446,0.3185,0.2946,46.25,0.249,-22.69,1.64
XAUUSD,1h,30,1,7,4,67,1.567,1.376,0.4478,0.3165,21.21,0.106,-9.58,2.526
XAUUSD,15m,30,1,7,5,132,1.486,1.282,0.2348,0.2668,35.21,0.21,-12.36,2.242
EURUSD,1h,30,1,7,4,103,1.482,1.273,0.2913,0.3673,37.83,0.17,-18.04,2.458
XAUUSD,15m,30,10,7,4,1252,1.479,1.263,0.3211,0.0302,37.87,1.977,-7.13,2.242
EURUSD,30m,100,1,7,7,211,1.469,1.254,0.3744,0.2745,57.93,0.334,-35.59,1.783
EURUSD,1h,100,1,7,5,188,1.462,1.273,0.383,0.2668,50.17,0.298,-13.71,1.773
XAGUSD,1h,30,10,7,3,333,1.436,1.28,0.4414,0.0183,6.08,0.523,-4.41,2.74
XAUUSD,4h,30,10,7,4,832,1.436,1.257,0.4772,0.0171,14.24,1.32,-5.21,2.423
XAUUSD,1h,100,10,7,5,2001,1.434,1.268,0.3698,0.0204,40.73,3.152,-10.57,1.64
XAUUSD,1h,30,10,7,4,783,1.354,1.137,0.4061,0.0212,16.57,1.241,-8.51,2.526
XAUUSD,4h,100,1,7,6,203,1.353,1.177,0.4236,0.1674,33.98,0.322,-8.58,1.934
XAUUSD,4h,100,10,7,6,2044,1.348,1.176,0.4643,0.0124,25.27,3.211,-6.13,1.934
EURUSD,15m,100,1,7,6,206,1.34,1.161,0.3835,0.2123,43.73,0.329,-18.84,1.707
XAUUSD,15m,100,10,7,5,2663,1.28,1.076,0.2978,0.0197,52.43,4.197,-21.32,1.744
USDJPY,1h,100,1,7,4,304,1.275,1.016,0.273,0.2208,67.12,0.481,-53.37,1.763
BTCUSDT,30m,30,1,30,15,345,1.211,0.992,0.3246,0.1459,50.32,0.126,-26.62,2.938
BTCUSDT,1h,100,1,30,16,878,1.2,0.943,0.32,0.1283,112.64,0.322,-39.15,1.801
XAUUSD,30m,100,10,7,4,2284,1.19,0.993,0.3135,0.0145,33.19,3.586,-21.36,1.688
EURUSD,4h,100,10,7,4,2040,1.189,1.04,0.4113,0.0053,10.75,3.242,-10.54,1.586
USDJPY,1h,30,1,7,3,86,1.151,1.012,0.3605,0.0845,7.27,0.143,-13.41,2.509
EURUSD,30m,30,1,7,3,88,1.144,0.961,0.4318,0.0753,6.62,0.14,-8.33,2.187
XAUUSD,30m,30,10,7,5,1064,1.131,0.963,0.2876,0.0101,10.7,1.705,-8.71,2.41
USDCHF,1h,30,1,7,4,69,1.127,0.925,0.4638,0.063,4.34,0.111,-10.32,2.81
EURUSD,15m,30,1,7,3,115,1.125,0.907,0.3826,0.0729,8.39,0.184,-20.64,2.114
EURUSD,4h,100,1,7,3,183,1.123,0.959,0.3552,0.0615,11.25,0.291,-26.09,1.586
BTCUSDT,1h,100,10,30,16,9527,1.12,0.899,0.3267,0.007,67.0,3.482,-41.68,1.801
BTCUSDT,15m,30,1,30,17,425,1.119,0.895,0.3012,0.0894,37.99,0.156,-40.56,2.744
USDCHF,1h,30,10,7,3,700,1.117,0.906,0.4657,0.0061,4.24,1.124,-8.46,2.81
BTCUSDT,4h,100,1,30,13,892,1.112,0.902,0.4204,0.041,36.57,0.326,-51.99,1.683
BTCUSDT,4h,100,10,30,12,9179,1.109,0.905,0.4273,0.0033,30.48,3.354,-23.37,1.683
EURUSD,30m,100,10,7,5,2535,1.107,0.924,0.3456,0.007,17.86,4.002,-13.54,1.783
BTCUSDT,4h,30,10,30,15,3455,1.1,0.889,0.4507,0.0029,9.96,1.263,-6.64,3.092
BTCUSDT,30m,100,10,30,12,9535,1.097,0.874,0.285,0.0072,68.54,3.484,-68.07,1.865
EURUSD,30m,30,10,7,5,1109,1.095,0.933,0.3778,0.0055,6.14,1.751,-8.2,2.187
AUDUSD,1h,30,10,7,2,979,1.076,0.923,0.3739,0.0045,4.41,1.542,-5.99,2.217
GBPUSD,1h,100,1,7,4,264,1.073,0.875,0.3523,0.0494,13.05,0.416,-23.81,1.657
