symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
BTCUSDT,4h,30,1,30,22,350,2.789,2.346,0.52,0.5929,207.52,0.129,-16.35,5.791
BTCUSDT,4h,30,10,30,21,3665,2.391,2.025,0.5162,0.0396,145.27,1.35,-6.29,5.791
BTCUSDT,1h,100,1,30,28,1077,2.059,1.554,0.4773,0.5146,554.2,0.399,-44.79,2.792
BTCUSDT,30m,100,10,30,29,13209,2.026,1.51,0.453,0.0542,715.7,4.835,-11.93,2.534
BTCUSDT,1h,100,10,30,29,10771,2.022,1.569,0.4799,0.0476,512.53,3.942,-11.92,2.792
BTCUSDT,30m,100,1,30,28,1246,1.946,1.452,0.4414,0.5369,669.03,0.458,-32.45,2.534
BTCUSDT,1h,30,10,30,24,3920,1.858,1.437,0.4793,0.0463,181.41,1.437,-10.08,4.291
BTCUSDT,30m,30,10,30,28,3951,1.848,1.386,0.4229,0.0572,226.14,1.451,-8.52,3.828
BTCUSDT,30m,30,1,30,24,342,1.747,1.302,0.4094,0.5354,183.12,0.126,-20.7,3.828
BTCUSDT,1h,30,1,30,20,379,1.728,1.362,0.4934,0.3485,132.09,0.139,-17.85,4.291
XAUUSD,5m,100,10,7,7,2320,1.728,1.533,0.3832,0.045,104.41,3.657,-10.99,1.567
XAUUSD,5m,30,10,7,5,1481,1.723,1.507,0.4463,0.0368,54.43,2.339,-5.32,2.21
XAUUSD,5m,100,1,7,6,223,1.686,1.502,0.3677,0.4301,95.91,0.353,-18.06,1.567
BTCUSDT,15m,100,10,30,25,13466,1.685,1.237,0.3584,0.0496,667.26,4.922,-22.4,2.143
XAUUSD,30m,100,1,7,5,182,1.645,1.33,0.2582,0.5857,106.59,0.289,-33.04,1.504
XAUUSD,5m,30,1,7,6,128,1.642,1.426,0.4297,0.3457,44.26,0.203,-8.54,2.21
BTCUSDT,15m,100,1,30,22,1319,1.623,1.179,0.3366,0.5113,674.41,0.483,-43.74,2.143
BTCUSDT,4h,100,1,30,23,763,1.621,1.364,0.4653,0.2136,162.95,0.283,-35.33,1.627
XAGUSD,1h,30,1,7,4,30,1.613,1.411,0.3333,0.4599,13.8,0.056,-7.82,2.646
BTCUSDT,15m,30,1,30,19,571,1.494,1.08,0.2925,0.4568,260.82,0.209,-45.34,2.72
BTCUSDT,4h,100,10,30,23,7686,1.483,1.258,0.467,0.015,115.33,2.808,-11.92,1.627
BTCUSDT,15m,30,10,30,20,6090,1.474,1.092,0.3291,0.0381,231.88,2.229,-16.36,2.72
XAGUSD,1h,30,10,7,5,404,1.45,1.296,0.3465,0.0301,12.17,0.64,-4.96,2.646
XAUUSD,30m,100,10,7,6,2092,1.436,1.189,0.2868,0.0342,71.48,3.291,-16.36,1.504
XAGUSD,1h,100,1,7,5,179,1.412,1.173,0.2961,0.3017,54.01,0.282,-27.31,1.52
XAUUSD,30m,30,1,7,5,78,1.312,1.04,0.3333,0.2239,17.47,0.125,-24.57,3.084
XAUUSD,30m,30,10,7,3,802,1.236,1.012,0.3579,0.0154,12.36,1.285,-10.31,3.084
XAGUSD,15m,100,1,7,4,421,1.153,1.026,0.2542,0.0571,24.04,0.664,-30.99,1.57
XAGUSD,15m,30,1,7,4,106,1.049,0.953,0.2358,0.0367,3.89,0.175,-23.01,2.089
XAGUSD,1h,100,10,7,4,2047,0.974,0.831,0.32,-0.0014,-2.88,3.222,-16.12,1.52
XAGUSD,15m,30,10,7,3,1407,0.893,0.801,0.2601,-0.0065,-9.21,2.219,-24.34,2.089
XAGUSD,15m,100,10,7,2,2371,0.832,0.74,0.2636,-0.0109,-25.78,3.723,-37.13,1.57
