symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
XAUUSD,5m,100,1,7,5,276,1.317,1.045,0.1703,0.3159,87.18,0.436,-54.02,1.429
BTCUSDT,4h,30,10,30,17,3390,1.096,0.949,0.4469,0.0029,9.71,1.239,-11.57,2.154
XAGUSD,15m,100,1,7,3,308,1.09,0.949,0.1948,0.0785,24.18,0.484,-108.79,1.746
BTCUSDT,15m,100,1,30,14,1026,1.086,0.911,0.2446,0.0662,67.93,0.378,-51.46,1.351
XAGUSD,1h,100,10,7,4,2565,1.036,0.862,0.2846,0.0023,5.93,4.027,-16.32,1.959
XAGUSD,1h,30,10,7,3,1303,1.033,0.814,0.2586,0.0027,3.56,2.046,-23.63,2.967
BTCUSDT,4h,30,1,30,13,324,0.999,0.87,0.4691,-0.0003,-0.1,0.118,-22.59,2.154
XAUUSD,5m,100,10,7,2,2987,0.97,0.799,0.2052,-0.0027,-7.97,4.686,-57.91,1.429
XAGUSD,1h,100,1,7,3,280,0.935,0.75,0.2571,-0.0429,-12.01,0.44,-33.36,1.959
BTCUSDT,15m,30,1,30,10,420,0.935,0.799,0.2952,-0.0461,-19.35,0.154,-52.78,1.721
BTCUSDT,15m,30,10,30,9,4973,0.918,0.772,0.2741,-0.0063,-31.48,1.821,-69.06,1.721
BTCUSDT,15m,100,10,30,9,11788,0.901,0.751,0.2632,-0.0074,-86.9,4.312,-120.17,1.351
BTCUSDT,4h,100,1,30,11,945,0.892,0.776,0.4053,-0.0328,-30.97,0.346,-46.87,1.329
XAUUSD,5m,30,10,7,3,1855,0.877,0.717,0.2097,-0.0111,-20.56,2.91,-43.66,1.608
BTCUSDT,30m,100,10,30,7,11590,0.869,0.706,0.3069,-0.008,-92.47,4.236,-96.9,1.39
XAGUSD,15m,100,10,7,3,3100,0.866,0.746,0.2032,-0.0117,-36.13,4.863,-78.42,1.746
BTCUSDT,4h,100,10,30,9,9726,0.865,0.749,0.3995,-0.0043,-41.36,3.555,-57.16,1.329
BTCUSDT,1h,100,10,30,9,11110,0.857,0.715,0.3639,-0.0067,-74.22,4.063,-85.67,1.32
XAGUSD,15m,30,10,7,3,1953,0.85,0.734,0.2273,-0.0122,-23.79,3.066,-40.55,1.864
BTCUSDT,1h,100,1,30,11,1070,0.834,0.688,0.328,-0.0831,-88.87,0.393,-117.29,1.32
BTCUSDT,30m,100,1,30,7,991,0.789,0.649,0.2825,-0.1508,-149.42,0.363,-170.02,1.39
XAGUSD,1h,30,1,7,4,126,0.756,0.596,0.2143,-0.2297,-28.94,0.206,-62.7,2.967
BTCUSDT,30m,30,10,30,6,5483,0.741,0.593,0.2847,-0.0194,-106.54,2.005,-110.16,1.683
XAGUSD,15m,30,1,7,1,157,0.662,0.565,0.2102,-0.2787,-43.76,0.252,-51.39,1.864
XAUUSD,30m,100,10,7,1,3089,0.642,0.529,0.2444,-0.0292,-90.13,4.848,-93.71,1.645
BTCUSDT,1h,30,10,30,3,3857,0.63,0.515,0.357,-0.0224,-86.44,1.413,-90.11,1.954
XAUUSD,5m,30,1,7,1,119,0.608,0.492,0.3025,-0.3121,-37.14,0.19,-44.62,1.608
BTCUSDT,1h,30,1,30,8,408,0.602,0.485,0.3529,-0.2549,-104.0,0.149,-111.86,1.954
XAUUSD,30m,30,10,7,1,1467,0.591,0.484,0.2672,-0.0319,-46.75,2.305,-46.75,2.328
BTCUSDT,30m,30,1,30,6,477,0.583,0.45,0.2411,-0.3529,-168.34,0.175,-184.78,1.683
XAUUSD,30m,100,1,7,2,299,0.565,0.45,0.2609,-0.3482,-104.13,0.474,-108.69,1.645
XAUUSD,30m,30,1,7,2,125,0.479,0.392,0.256,-0.4073,-50.91,0.203,-55.54,2.328
