symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
USDJPY,5m,100,1,7,4,210,1.608,1.264,0.1762,0.6521,136.94,0.336,-32.85,1.782
XAUUSD,30m,30,10,7,5,832,1.415,1.21,0.2704,0.0329,27.35,1.311,-11.86,2.975
USDCAD,1h,30,1,7,4,103,1.387,0.935,0.3204,0.2416,24.88,0.17,-20.12,2.271
XAUUSD,15m,30,1,7,6,74,1.317,1.068,0.2297,0.2975,22.02,0.119,-22.98,3.052
XAUUSD,30m,100,1,7,4,223,1.315,1.056,0.2377,0.2933,65.4,0.352,-25.28,2.133
GBPUSD,4h,30,1,7,4,68,1.203,1.021,0.5,0.0503,3.42,0.108,-5.22,3.094
GBPUSD,4h,100,1,7,3,273,1.135,0.988,0.4505,0.0532,14.51,0.431,-15.84,1.476
XAUUSD,30m,100,10,7,5,2595,1.115,0.886,0.2266,0.0108,28.08,4.073,-17.61,2.133
EURUSD,15m,30,1,7,3,96,1.072,0.884,0.3438,0.0482,4.63,0.152,-17.69,2.332
XAUUSD,30m,30,1,7,3,69,1.061,0.884,0.2174,0.0532,3.67,0.109,-15.61,2.975
USDJPY,5m,100,10,7,4,3716,1.047,0.844,0.2185,0.0044,16.4,5.852,-46.49,1.782
USDJPY,30m,30,1,7,1,94,1.047,0.85,0.3298,0.0368,3.46,0.149,-19.73,1.89
USDJPY,1h,30,1,7,4,69,1.042,0.92,0.4203,0.0176,1.21,0.114,-10.98,2.406
AUDUSD,5m,30,1,7,4,104,1.037,0.784,0.2212,0.0368,3.83,0.165,-27.94,2.34
BTCUSDT,4h,30,1,30,14,281,1.025,0.809,0.4235,0.0077,2.16,0.105,-21.27,2.702
USDJPY,5m,30,10,7,2,1379,1.013,0.84,0.2821,0.001,1.34,2.186,-39.74,2.156
USDCAD,1h,30,10,7,3,1307,1.009,0.704,0.3366,0.0004,0.53,2.073,-13.09,2.271
XAUUSD,4h,100,10,7,4,2231,1.003,0.807,0.4299,0.0001,0.23,3.523,-16.26,1.962
USDJPY,1h,30,10,7,4,864,0.987,0.846,0.4572,-0.0006,-0.5,1.364,-7.68,2.406
USDCAD,5m,100,1,7,3,275,0.973,0.717,0.2473,-0.0265,-7.29,0.436,-77.55,1.29
USDJPY,30m,30,10,7,1,1267,0.97,0.791,0.341,-0.0022,-2.8,1.988,-13.45,1.89
XAUUSD,15m,30,10,7,4,982,0.968,0.796,0.224,-0.0028,-2.76,1.564,-26.55,3.052
XAUUSD,1h,100,10,7,3,2346,0.968,0.765,0.2886,-0.0025,-5.83,3.679,-39.7,1.793
EURUSD,30m,100,10,7,3,2523,0.965,0.785,0.3405,-0.0023,-5.74,3.975,-22.17,1.721
BTCUSDT,4h,30,10,30,13,3269,0.959,0.769,0.4359,-0.0011,-3.73,1.195,-16.15,2.702
XAUUSD,15m,100,1,7,4,347,0.942,0.728,0.1643,-0.061,-21.18,0.547,-81.59,1.9
USDCAD,15m,30,10,7,1,1350,0.919,0.689,0.2378,-0.0074,-9.95,2.127,-28.2,1.755
USDCAD,1h,100,10,7,3,3018,0.919,0.673,0.3519,-0.0021,-6.39,4.747,-16.36,1.802
USDCAD,30m,100,1,7,2,281,0.901,0.714,0.2705,-0.0738,-20.74,0.443,-68.23,1.418
USDCHF,5m,100,1,7,3,225,0.901,0.707,0.3022,-0.0831,-18.69,0.354,-46.36,1.255
BTCUSDT,1h,100,1,30,5,1109,0.899,0.687,0.3805,-0.0601,-66.61,0.405,-110.52,1.595
XAUUSD,15m,100,10,7,3,3925,0.898,0.696,0.1834,-0.0103,-40.6,6.157,-68.38,1.9
GBPUSD,30m,30,1,7,4,80,0.895,0.714,0.2875,-0.0856,-6.85,0.128,-28.69,2.632
USDCAD,1h,100,1,7,3,251,0.891,0.655,0.3904,-0.0251,-6.29,0.398,-14.78,1.802
XAUUSD,1h,100,1,7,2,220,0.881,0.675,0.3136,-0.0879,-19.35,0.348,-58.22,1.793
BTCUSDT,1h,100,10,30,8,11030,0.875,0.67,0.3729,-0.0073,-80.96,4.031,-94.34,1.595
USDJPY,5m,30,1,7,3,125,0.869,0.734,0.28,-0.1,-12.5,0.207,-53.88,2.156
BTCUSDT,4h,100,1,30,11,799,0.867,0.709,0.4343,-0.0444,-35.48,0.293,-51.45,1.552
NZDUSD,5m,30,10,7,4,860,0.863,0.683,0.3535,-0.0094,-8.06,1.367,-15.16,2.068
EURUSD,30m,30,1,7,3,92,0.86,0.701,0.3587,-0.0925,-8.51,0.152,-24.13,1.915
