symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
USDCHF,4h,30,1,7,5,41,2.435,2.025,0.5122,0.3272,13.41,0.07,-3.46,3.013
XAGUSD,1h,30,1,7,3,40,1.561,1.33,0.5,0.2188,8.75,0.064,-4.32,3.059
XAUUSD,15m,30,1,7,5,145,1.448,1.178,0.2759,0.391,56.7,0.229,-20.82,2.399
XAGUSD,4h,100,1,7,3,236,1.394,1.227,0.3347,0.2331,55.01,0.373,-29.55,1.742
XAGUSD,4h,30,10,7,4,690,1.342,1.148,0.4058,0.0073,5.04,1.275,-2.2,4.442
XAUUSD,1h,30,1,7,4,66,1.265,0.992,0.3636,0.1699,11.21,0.106,-12.47,3.294
USDCAD,30m,30,1,7,5,75,1.249,0.903,0.44,0.1265,9.49,0.12,-7.0,1.983
XAGUSD,1h,100,1,7,2,165,1.236,0.944,0.2303,0.221,36.47,0.259,-67.39,2.1
NZDUSD,15m,30,1,7,4,99,1.217,0.964,0.2424,0.1904,18.85,0.156,-32.82,1.936
BTCUSDT,30m,100,1,30,18,1044,1.211,0.994,0.2893,0.1328,138.62,0.389,-54.69,1.556
XAGUSD,1h,30,10,7,5,600,1.2,1.009,0.4117,0.0106,6.39,0.945,-9.39,3.059
XAUUSD,4h,30,1,7,6,74,1.193,0.944,0.4054,0.0619,4.58,0.12,-13.52,2.844
XAGUSD,4h,100,10,7,3,2455,1.13,0.954,0.4305,0.0044,10.89,3.864,-11.19,1.742
XAUUSD,4h,30,10,7,5,739,1.083,0.865,0.4208,0.0029,2.17,1.171,-9.18,2.844
USDJPY,1h,100,1,7,4,203,1.078,0.869,0.33,0.0429,8.71,0.319,-56.12,2.047
XAUUSD,15m,100,1,7,4,284,1.062,0.816,0.1901,0.064,18.19,0.448,-46.18,2.056
GBPUSD,5m,30,1,7,5,148,1.057,0.846,0.2838,0.0482,7.13,0.235,-25.6,1.689
XAUUSD,15m,100,10,7,3,2871,1.047,0.819,0.2243,0.0044,12.6,4.503,-25.47,2.056
USDCHF,1h,30,1,7,3,63,1.044,0.772,0.5556,0.0161,1.01,0.1,-5.93,2.433
USDCAD,4h,100,1,7,4,252,1.042,0.787,0.4603,0.006,1.51,0.4,-7.32,1.371
EURUSD,30m,30,1,7,2,69,1.038,0.857,0.2754,0.028,1.93,0.11,-25.75,2.02
