symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
XAGUSD,1h,30,10,7,4,366,1.452,1.221,0.3224,0.0347,12.69,0.58,-5.53,3.083
XAGUSD,4h,30,1,7,5,77,1.402,1.155,0.4156,0.1741,13.41,0.142,-13.79,3.256
XAGUSD,15m,30,1,7,5,339,1.365,1.223,0.2507,0.1095,37.13,0.535,-17.56,2.374
XAGUSD,4h,30,10,7,4,966,1.19,1.014,0.4855,0.0047,4.49,1.543,-8.0,3.256
XAGUSD,1h,100,1,7,4,183,1.185,0.956,0.2404,0.1592,29.14,0.288,-31.45,1.871
XAGUSD,15m,100,1,7,4,431,1.11,0.98,0.2413,0.0423,18.21,0.68,-36.81,1.852
XAGUSD,30m,100,1,7,4,258,1.091,0.911,0.2093,0.0802,20.69,0.408,-46.57,1.864
XAGUSD,1h,100,10,7,3,2337,1.036,0.843,0.258,0.0027,6.41,3.678,-33.88,1.871
XAGUSD,1h,30,1,7,4,35,1.019,0.769,0.2286,0.0199,0.7,0.065,-21.79,3.083
XAGUSD,5m,100,10,7,4,2555,0.99,0.863,0.2552,-0.0008,-2.04,4.038,-36.0,1.845
XAGUSD,5m,100,1,7,4,266,0.988,0.859,0.2782,-0.0087,-2.31,0.422,-40.37,1.845
XAGUSD,15m,30,10,7,3,1408,0.865,0.768,0.2628,-0.0083,-11.75,2.221,-25.41,2.374
XAGUSD,30m,30,10,7,2,1142,0.831,0.699,0.2137,-0.0145,-16.57,1.796,-26.12,2.809
XAGUSD,5m,30,10,7,3,1534,0.831,0.731,0.2412,-0.0137,-20.96,2.424,-29.39,1.994
XAGUSD,30m,100,10,7,1,2495,0.83,0.696,0.2529,-0.0138,-34.41,3.946,-46.68,1.864
XAGUSD,15m,100,10,7,3,2477,0.793,0.685,0.2499,-0.0147,-36.38,3.89,-49.93,1.852
XAGUSD,4h,100,10,7,1,2078,0.754,0.652,0.3874,-0.0081,-16.92,3.267,-18.28,1.66
XAGUSD,4h,100,1,7,2,201,0.707,0.648,0.3483,-0.1132,-22.75,0.317,-26.21,1.66
XAGUSD,30m,30,1,7,1,90,0.7,0.583,0.1778,-0.2591,-23.32,0.146,-42.21,2.809
XAGUSD,5m,30,1,7,1,106,0.557,0.486,0.1698,-0.3863,-40.95,0.168,-53.93,1.994
