symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
XAUUSD,30m,30,1,7,3,55,2.553,2.138,0.3636,1.0349,56.92,0.088,-8.18,2.273
XAUUSD,15m,30,1,7,4,79,2.212,1.93,0.3418,0.8731,68.98,0.125,-12.07,2.242
XAUUSD,4h,30,1,7,5,82,1.973,1.818,0.5732,0.3425,28.08,0.13,-5.03,2.526
XAUUSD,5m,30,1,7,7,105,1.929,1.614,0.4857,0.4282,44.96,0.167,-12.1,2.536
XAUUSD,5m,100,10,7,5,2470,1.741,1.523,0.3684,0.0477,117.9,3.879,-10.85,1.757
XAUUSD,5m,30,10,7,4,1280,1.681,1.43,0.425,0.0366,46.83,2.022,-6.7,2.536
XAUUSD,15m,30,10,7,5,1012,1.657,1.395,0.3745,0.0429,43.43,1.599,-5.09,2.242
XAUUSD,5m,100,1,7,4,228,1.586,1.397,0.3553,0.3959,90.26,0.361,-23.6,1.757
XAUUSD,1h,30,1,7,4,80,1.544,1.324,0.475,0.2738,21.91,0.129,-8.53,2.526
XAUUSD,1h,100,1,7,5,152,1.526,1.379,0.3158,0.2849,43.31,0.241,-21.58,1.678
XAUUSD,4h,30,10,7,4,811,1.522,1.337,0.4969,0.0203,16.45,1.287,-5.21,2.526
XAUUSD,1h,100,10,7,6,1922,1.423,1.251,0.3652,0.0207,39.75,3.027,-12.84,1.678
XAUUSD,1h,30,10,7,4,814,1.33,1.107,0.4103,0.018,14.62,1.294,-6.89,2.526
XAUUSD,30m,30,10,7,4,973,1.325,1.148,0.3145,0.0233,22.69,1.559,-9.09,2.273
XAUUSD,15m,100,10,7,5,2497,1.282,1.078,0.3156,0.0213,53.19,3.935,-20.35,1.744
XAUUSD,30m,100,10,7,5,2257,1.213,1.013,0.3026,0.0162,36.49,3.544,-18.2,1.679
XAUUSD,4h,100,1,7,5,200,1.197,1.04,0.425,0.0952,19.05,0.317,-12.91,1.864
XAUUSD,30m,100,1,7,4,170,1.144,0.976,0.2765,0.1081,18.38,0.268,-32.12,1.679
XAUUSD,15m,100,1,7,5,221,1.132,0.92,0.3032,0.1045,23.1,0.35,-49.7,1.744
XAUUSD,4h,100,10,7,5,2055,1.132,0.98,0.4657,0.0047,9.69,3.238,-6.38,1.864
