symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
XAUUSD,5m,30,1,7,4,139,2.043,1.553,0.2806,0.9093,126.4,0.22,-26.84,2.152
XAUUSD,15m,100,10,7,5,2510,1.186,0.921,0.2382,0.0175,43.8,3.935,-17.53,2.163
XAUUSD,30m,30,1,7,2,88,1.119,0.913,0.25,0.0929,8.18,0.142,-21.51,2.659
XAUUSD,15m,30,1,7,4,140,1.117,0.867,0.3714,0.0798,11.17,0.221,-13.31,2.602
XAUUSD,15m,100,1,7,4,243,1.077,0.816,0.2346,0.0746,18.12,0.383,-36.31,2.163
XAUUSD,15m,30,10,7,3,1297,1.049,0.849,0.2884,0.0039,5.12,2.039,-15.96,2.602
XAUUSD,30m,100,1,7,3,327,1.045,0.811,0.2324,0.042,13.72,0.513,-61.71,1.874
XAUUSD,5m,30,10,7,3,1553,1.037,0.803,0.2415,0.0035,5.37,2.447,-25.54,2.152
XAUUSD,1h,100,1,7,2,223,0.996,0.767,0.2377,-0.0036,-0.81,0.354,-29.9,2.129
XAUUSD,1h,30,10,7,3,876,0.96,0.78,0.3562,-0.0026,-2.27,1.378,-13.55,2.712
XAUUSD,1h,100,10,7,1,2244,0.928,0.726,0.2919,-0.0052,-11.61,3.52,-22.71,2.129
XAUUSD,30m,100,10,7,3,3679,0.913,0.71,0.2411,-0.0078,-28.74,5.773,-51.99,1.874
XAUUSD,1h,30,1,7,4,96,0.9,0.71,0.3854,-0.055,-5.28,0.154,-15.78,2.712
XAUUSD,4h,100,1,7,3,261,0.877,0.764,0.3985,-0.0399,-10.41,0.414,-17.35,1.625
XAUUSD,4h,30,1,7,3,63,0.84,0.65,0.4286,-0.0818,-5.15,0.1,-15.29,3.097
XAUUSD,5m,100,10,7,2,3611,0.796,0.598,0.1185,-0.0246,-88.98,5.666,-120.29,1.946
XAUUSD,5m,100,1,7,2,303,0.752,0.551,0.0759,-0.3415,-103.47,0.478,-221.91,1.946
XAUUSD,30m,30,10,7,2,905,0.749,0.606,0.232,-0.0199,-17.99,1.437,-20.38,2.659
XAUUSD,4h,100,10,7,2,2799,0.703,0.59,0.3987,-0.0071,-19.89,4.423,-20.77,1.625
XAUUSD,4h,30,10,7,2,741,0.7,0.545,0.3806,-0.0157,-11.61,1.166,-15.23,3.097
