floor,topn,legs,risk,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pass_rate,fail_max,fail_daily,open,median_days_pass,p25_days_pass
30,1,6,0.0075,1.476,572,0.861,6.02,5.39,0.4336,0.0486,-7.87,-0.0591,1.683,250.0,13049.0,0.7158,0.0,0.0,0.2842,159.0,104.0
30,1,6,0.01,1.476,572,0.861,6.02,5.39,0.4336,0.0486,-7.87,-0.0591,1.683,250.0,13049.0,0.7579,0.0,0.0,0.2421,125.0,79.0
30,1,6,0.015,1.476,572,0.861,6.02,5.39,0.4336,0.0486,-7.87,-0.0591,1.683,250.0,13049.0,0.7038,0.0767,0.0,0.2195,78.5,46.0
30,10,6,0.0075,1.456,6615,9.909,69.37,5.29,0.4068,0.0051,-5.67,-0.0425,2.636,209.6,611548.7,0.6871,0.0,0.0,0.3129,151.0,96.0
30,10,6,0.01,1.456,6615,9.909,69.37,5.29,0.4068,0.0051,-5.67,-0.0425,2.636,209.6,611548.7,0.7171,0.0,0.0,0.2829,117.0,78.5
30,10,6,0.015,1.456,6615,9.909,69.37,5.29,0.4068,0.0051,-5.67,-0.0425,2.636,209.6,611548.7,0.7665,0.1482,0.0,0.0853,72.0,44.0
100,1,6,0.0075,1.441,1621,2.43,17.01,4.99,0.3344,0.0573,-13.2,-0.099,2.285,68.2,612.6,0.8219,0.1257,0.0,0.0524,56.0,31.0
100,1,6,0.01,1.441,1621,2.43,17.01,4.99,0.3344,0.0573,-13.2,-0.099,2.285,68.2,612.6,0.8159,0.1362,0.0,0.0479,34.0,20.0
100,1,6,0.015,1.441,1621,2.43,17.01,4.99,0.3344,0.0573,-13.2,-0.099,2.285,68.2,612.6,0.6332,0.3308,0.0,0.0359,21.0,12.0
100,10,6,0.0075,1.432,15794,23.661,165.63,6.11,0.3649,0.0051,-7.47,-0.056,3.233,88.3,14325.1,0.8458,0.0,0.0,0.1542,65.0,42.0
100,10,6,0.01,1.432,15794,23.661,165.63,6.11,0.3649,0.0051,-7.47,-0.056,3.233,88.3,14325.1,0.8518,0.0,0.0,0.1482,50.0,32.0
100,10,6,0.015,1.432,15794,23.661,165.63,6.11,0.3649,0.0051,-7.47,-0.056,3.233,88.3,14325.1,0.8189,0.1302,0.0,0.0509,35.0,22.0
