symbol,tf,floor,topn,quarters,q_above_1,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pf_2x
BTCUSDT,4h,30,1,30,22,2.745,353,0.13,0.91,7.43,0.5156,0.5727,-16.35,-0.1226,1.33,107.3,429.6,2.305
BTCUSDT,30m,100,1,30,29,2.355,1209,0.444,3.11,2.86,0.4367,0.8743,-26.38,-0.1979,2.475,16.6,41.7,1.699
BTCUSDT,4h,30,10,30,20,2.325,3604,1.327,9.29,5.33,0.5003,0.0426,-10.35,-0.0776,1.799,181.9,5157.2,1.928
BTCUSDT,30m,100,10,30,28,2.073,13043,4.775,33.42,4.2,0.4359,0.0667,-14.3,-0.1073,3.499,30.0,283.7,1.5
BTCUSDT,1h,100,10,30,28,1.945,10784,3.941,27.58,3.92,0.4554,0.0531,-22.39,-0.1679,3.227,48.3,886.9,1.469
BTCUSDT,30m,30,10,30,27,1.93,4060,1.488,10.42,4.47,0.4145,0.0665,-10.62,-0.0796,1.825,92.7,663.1,1.414
BTCUSDT,1h,30,10,30,25,1.904,4119,1.51,10.57,5.37,0.4644,0.0546,-16.18,-0.1213,1.986,121.5,1991.2,1.426
BTCUSDT,1h,100,1,30,28,1.879,1093,0.405,2.83,3.31,0.4172,0.5623,-44.79,-0.3359,2.054,31.0,91.5,1.382
BTCUSDT,30m,30,1,30,24,1.801,360,0.133,0.93,4.98,0.4444,0.5438,-20.7,-0.1552,1.185,100.1,311.5,1.29
BTCUSDT,15m,30,1,30,21,1.798,575,0.211,1.48,4.46,0.3096,0.7641,-37.38,-0.2803,1.224,27.8,47.9,1.268
USDJPY,15m,30,1,7,5,1.78,81,0.131,0.92,2.49,0.3086,0.6589,-19.16,-0.1437,0.923,54.4,97.0,1.339
BTCUSDT,15m,100,1,30,23,1.681,1327,0.485,3.4,3.83,0.3406,0.5814,-60.32,-0.4524,1.633,16.1,27.9,1.181
XAUUSD,5m,100,10,7,7,1.66,2389,3.766,26.36,14.64,0.3633,0.0425,-10.99,-0.0824,1.898,48.9,182.8,1.461
BTCUSDT,15m,100,10,30,25,1.655,14611,5.341,37.38,4.37,0.3567,0.0512,-23.27,-0.1745,2.395,27.6,94.0,1.176
EURUSD,30m,100,1,7,7,1.579,203,0.322,2.25,8.15,0.3596,0.395,-30.34,-0.2276,1.074,34.7,59.0,1.289
BTCUSDT,4h,100,1,30,22,1.57,814,0.302,2.11,4.31,0.4656,0.1964,-35.33,-0.2649,1.055,120.1,360.1,1.305
BTCUSDT,15m,30,10,30,23,1.516,7259,2.661,18.62,5.37,0.3473,0.042,-19.73,-0.148,1.742,75.9,371.2,1.084
XAUUSD,5m,30,10,7,4,1.504,1323,2.093,14.65,9.54,0.4157,0.0274,-6.98,-0.0524,1.38,159.8,1119.4,1.257
EURUSD,1h,30,1,7,5,1.481,72,0.119,0.83,18.69,0.375,0.3133,-8.51,-0.0638,0.761,171.2,425.6,1.246
XAUUSD,5m,100,1,7,5,1.439,218,0.345,2.41,12.41,0.289,0.3201,-18.11,-0.1358,1.045,42.6,76.0,1.243
USDCHF,30m,100,1,7,3,1.432,239,0.379,2.65,4.64,0.2678,0.339,-34.97,-0.2623,0.775,19.9,26.2,1.081
BTCUSDT,4h,100,10,30,20,1.418,7550,2.759,19.31,7.28,0.4593,0.0142,-13.68,-0.1026,1.273,247.9,2777.2,1.178
BTCUSDT,1h,30,1,30,19,1.407,411,0.151,1.06,5.07,0.4672,0.2331,-38.31,-0.2873,0.78,192.0,525.6,1.052
XAUUSD,30m,100,10,7,5,1.394,2276,3.573,25.01,6.51,0.2289,0.038,-19.99,-0.15,1.356,43.0,95.0,1.091
XAUUSD,5m,30,1,7,4,1.375,122,0.195,1.36,9.03,0.377,0.2213,-17.95,-0.1346,0.671,113.7,209.9,1.139
EURUSD,1h,100,1,7,5,1.361,182,0.287,2.01,20.31,0.3132,0.2661,-22.86,-0.1715,0.863,60.8,107.5,1.166
XAUUSD,4h,100,1,7,6,1.333,230,0.365,2.55,9.93,0.4348,0.1509,-8.58,-0.0644,0.913,114.3,277.5,1.164
XAUUSD,30m,30,1,7,5,1.312,78,0.125,0.88,9.53,0.3333,0.2239,-24.57,-0.1843,0.466,139.0,218.8,1.04
XAUUSD,30m,100,1,7,3,1.297,236,0.375,2.63,5.76,0.161,0.3132,-47.22,-0.3541,0.722,20.8,27.0,1.025
XAUUSD,15m,30,10,7,4,1.289,1385,2.187,15.31,12.89,0.2585,0.0216,-12.42,-0.0932,0.89,141.8,379.4,1.083
USDJPY,15m,30,10,7,6,1.288,949,1.491,10.44,4.02,0.3277,0.021,-6.68,-0.0501,0.817,242.5,842.5,1.043
XAUUSD,4h,100,10,7,6,1.283,2035,3.198,22.39,9.05,0.4644,0.0111,-6.17,-0.0463,1.114,263.2,2053.3,1.119
EURUSD,1h,30,10,7,6,1.28,773,1.239,8.67,16.13,0.3635,0.0183,-5.73,-0.0429,0.946,424.2,4276.3,1.068
XAUUSD,1h,100,10,7,4,1.247,2046,3.232,22.62,9.5,0.3275,0.0159,-11.34,-0.0851,0.982,138.6,415.9,1.049
EURUSD,4h,100,10,7,5,1.239,1827,2.899,20.29,13.3,0.4165,0.0069,-5.76,-0.0432,0.722,420.8,1948.1,1.077
XAUUSD,15m,100,10,7,5,1.237,2661,4.194,29.36,12.52,0.2533,0.0182,-18.82,-0.1412,1.008,75.3,163.6,1.046
XAUUSD,30m,30,10,7,3,1.232,784,1.256,8.79,8.49,0.3571,0.0154,-9.69,-0.0726,0.592,361.9,1045.6,0.998
EURUSD,4h,100,1,7,3,1.218,147,0.234,1.64,15.07,0.3946,0.0737,-16.29,-0.1222,0.309,171.8,237.6,1.036
EURUSD,30m,100,10,7,5,1.205,2389,3.769,26.38,7.23,0.3098,0.0138,-13.71,-0.1028,1.027,142.1,463.9,0.968
XAUUSD,15m,100,1,7,5,1.199,276,0.437,3.06,13.19,0.2101,0.1492,-31.74,-0.2381,0.54,37.8,49.2,1.03
AUDUSD,1h,30,1,7,4,1.174,73,0.118,0.82,23.32,0.3562,0.1165,-16.2,-0.1215,0.334,295.0,474.9,1.035
USDCHF,1h,30,1,7,4,1.142,80,0.129,0.9,10.32,0.4125,0.0938,-13.6,-0.102,0.31,329.8,525.6,0.911
USDCAD,30m,30,1,7,5,1.139,59,0.094,0.66,14.72,0.4407,0.0878,-13.69,-0.1027,0.359,777.3,1938.7,0.887
XAUUSD,15m,30,1,7,5,1.131,150,0.238,1.67,13.72,0.2067,0.0876,-29.19,-0.2189,0.312,122.8,161.6,0.921
AUDUSD,15m,30,1,7,2,1.095,94,0.15,1.05,8.32,0.2979,0.0659,-28.26,-0.212,0.128,100.1,110.3,0.922
XAUUSD,4h,30,1,7,4,1.095,102,0.164,1.15,9.41,0.5196,0.0384,-17.62,-0.1321,0.259,788.8,1472.6,0.837
USDJPY,1h,30,10,7,4,1.09,919,1.452,10.16,5.62,0.3221,0.0067,-10.55,-0.0791,0.354,581.6,1236.9,0.884
GBPUSD,4h,100,1,7,3,1.085,206,0.326,2.28,16.45,0.3835,0.0325,-18.01,-0.1351,0.269,330.9,492.7,0.957
USDCHF,1h,30,10,7,2,1.078,951,1.524,10.67,10.09,0.3943,0.0047,-11.6,-0.087,0.239,555.2,885.0,0.852
EURUSD,30m,30,10,7,4,1.073,969,1.531,10.71,9.18,0.3529,0.0048,-7.22,-0.0541,0.345,889.4,2290.1,0.899
USDJPY,1h,100,1,7,4,1.066,130,0.213,1.49,8.15,0.3,0.0507,-24.06,-0.1804,0.147,109.0,122.5,0.891
EURUSD,4h,30,10,7,4,1.065,781,1.241,8.69,9.95,0.4302,0.0021,-4.48,-0.0336,0.206,2609.5,6913.7,0.925
NZDUSD,1h,100,1,7,3,1.058,210,0.332,2.33,15.61,0.3429,0.0303,-26.96,-0.2022,0.18,182.4,220.3,0.877
XAUUSD,1h,100,1,7,3,1.056,191,0.302,2.12,5.46,0.3089,0.0443,-27.93,-0.2095,0.181,106.3,122.7,0.84
USDJPY,30m,100,1,7,5,1.055,221,0.355,2.49,2.87,0.2172,0.0527,-60.64,-0.4548,0.161,44.2,48.0,0.842
AUDUSD,4h,100,1,7,3,1.055,214,0.341,2.39,7.81,0.5,0.0123,-10.0,-0.075,0.204,1121.8,2004.3,0.889
USDCHF,15m,30,1,7,3,1.045,106,0.169,1.18,19.81,0.2925,0.0312,-19.84,-0.1488,0.109,250.8,286.2,0.881
AUDUSD,4h,30,1,7,3,1.042,83,0.133,0.93,8.14,0.5663,0.0115,-5.04,-0.0378,0.111,2654.7,4271.9,0.842
GBPUSD,15m,30,10,7,4,1.031,1326,2.098,14.69,9.42,0.3688,0.002,-13.17,-0.0988,0.127,503.9,629.2,0.842
XAUUSD,1h,30,1,7,3,1.027,60,0.097,0.68,9.7,0.3667,0.0175,-11.29,-0.0847,0.046,454.0,489.2,0.91
GBPUSD,15m,30,1,7,3,1.023,131,0.207,1.45,10.13,0.3817,0.0155,-15.3,-0.1147,0.072,302.4,332.6,0.811
USDCHF,5m,100,1,7,3,1.021,221,0.349,2.44,15.1,0.2308,0.0179,-56.95,-0.4271,0.047,35.6,36.3,0.815
EURUSD,5m,100,10,7,4,1.02,2682,4.221,29.55,11.17,0.2099,0.0019,-22.44,-0.1683,0.11,115.0,125.7,0.818
USDCHF,15m,30,10,7,4,1.017,1318,2.081,14.56,12.54,0.3384,0.0011,-17.81,-0.1336,0.077,646.8,751.4,0.827
EURUSD,1h,100,10,7,4,1.009,2409,3.784,26.49,11.38,0.3321,0.0005,-16.61,-0.1246,0.061,550.5,613.9,0.841
GBPUSD,5m,30,10,7,4,1.007,1688,2.668,18.68,7.53,0.3134,0.0006,-15.63,-0.1172,0.041,424.1,451.7,0.798
USDJPY,4h,30,1,7,3,1.001,87,0.139,0.97,0.6,0.4253,0.0005,-15.96,-0.1197,0.003,1008.5,1014.9,0.795
USDCHF,1h,100,10,7,3,0.983,2352,3.708,25.95,8.12,0.4235,-0.0005,-9.32,-0.0699,-0.089,1829.8,1406.8,0.787
AUDUSD,5m,100,1,7,3,0.976,206,0.326,2.28,12.18,0.2573,-0.0199,-30.96,-0.2322,-0.075,84.7,80.6,0.806
USDCHF,30m,100,10,7,2,0.969,2592,4.079,28.55,7.13,0.255,-0.0023,-25.91,-0.1944,-0.14,145.7,129.0,0.733
USDCHF,30m,30,1,7,4,0.967,68,0.109,0.76,8.66,0.2206,-0.0343,-23.22,-0.1742,-0.053,130.9,125.1,0.714
EURUSD,15m,100,1,7,3,0.954,220,0.347,2.43,9.63,0.3136,-0.036,-32.3,-0.2423,-0.177,134.2,115.9,0.759
EURUSD,5m,100,1,7,4,0.952,204,0.327,2.29,15.37,0.2304,-0.0461,-55.29,-0.4147,-0.162,76.7,69.2,0.75
NZDUSD,4h,30,10,7,2,0.949,748,1.194,8.36,13.15,0.4037,-0.0022,-9.83,-0.0738,-0.161,3126.6,1762.4,0.806
EURUSD,5m,30,10,7,2,0.934,1908,3.014,21.1,11.93,0.2144,-0.0062,-27.28,-0.2046,-0.309,196.2,145.8,0.734
USDJPY,5m,100,1,7,2,0.927,292,0.458,3.21,5.21,0.1849,-0.0721,-69.53,-0.5215,-0.257,40.0,35.6,0.733
AUDUSD,4h,30,10,7,3,0.921,865,1.385,9.7,10.17,0.4948,-0.0026,-4.82,-0.0362,-0.344,18108.9,2576.0,0.774
USDCAD,30m,100,1,7,4,0.921,209,0.33,2.31,14.86,0.3062,-0.0561,-32.37,-0.2428,-0.283,165.3,128.5,0.705
XAUUSD,1h,30,10,7,3,0.916,663,1.057,7.4,7.11,0.3741,-0.0053,-10.08,-0.0756,-0.274,2305.6,1048.0,0.793
AUDUSD,15m,100,1,7,2,0.916,238,0.38,2.66,15.8,0.1891,-0.0778,-55.54,-0.4166,-0.272,57.0,49.2,0.784
USDJPY,5m,100,10,7,4,0.913,3040,4.773,33.41,5.93,0.2289,-0.0077,-39.02,-0.2927,-0.585,211.8,122.6,0.736
EURUSD,15m,30,10,7,4,0.91,1534,2.423,16.96,10.26,0.2953,-0.0066,-19.2,-0.144,-0.58,1604.3,470.5,0.748
GBPUSD,30m,30,10,7,3,0.908,847,1.34,9.38,5.4,0.3636,-0.0061,-14.2,-0.1065,-0.406,2928.9,901.6,0.706
AUDUSD,15m,100,10,7,2,0.905,2698,4.243,29.7,13.52,0.2024,-0.0086,-44.62,-0.3347,-0.558,187.5,114.0,0.763
AUDUSD,4h,100,10,7,3,0.901,1857,2.92,20.44,8.5,0.4378,-0.0032,-10.15,-0.0761,-0.609,10265.8,1022.0,0.745
USDJPY,30m,30,10,7,3,0.899,1026,1.62,11.34,3.59,0.308,-0.0079,-12.62,-0.0946,-0.448,1276.5,506.4,0.712
USDJPY,1h,100,10,7,1,0.894,2644,4.156,29.09,5.96,0.3302,-0.0066,-22.68,-0.1701,-0.743,871.7,268.9,0.725
GBPUSD,5m,30,1,7,3,0.887,163,0.258,1.81,9.43,0.2577,-0.0966,-37.32,-0.2799,-0.4,195.4,134.2,0.72
USDJPY,30m,100,10,7,2,0.886,2405,3.779,26.45,6.02,0.2574,-0.0094,-26.95,-0.2022,-0.785,532.2,192.4,0.723
NZDUSD,15m,30,10,7,3,0.885,1128,1.786,12.5,9.75,0.2633,-0.0098,-29.64,-0.2223,-0.496,781.6,343.0,0.686
NZDUSD,4h,100,1,7,1,0.878,217,0.345,2.42,17.7,0.3594,-0.0359,-19.41,-0.1456,-0.35,676.6,378.9,0.721
USDCHF,30m,30,10,7,3,0.862,1172,1.854,12.98,5.29,0.244,-0.0127,-24.88,-0.1866,-0.499,385.8,208.1,0.649
USDCHF,4h,100,1,7,1,0.855,222,0.353,2.47,10.2,0.4144,-0.0195,-6.48,-0.0486,-0.612,36035.7,1488.0,0.668
EURUSD,15m,30,1,7,2,0.854,127,0.202,1.41,12.64,0.3307,-0.0913,-14.92,-0.1119,-0.473,601.3,295.1,0.742
USDCHF,4h,100,10,7,1,0.847,1991,3.137,21.96,8.52,0.3988,-0.0036,-13.47,-0.101,-0.747,16102.4,892.7,0.676
USDCHF,1h,100,1,7,3,0.846,233,0.368,2.58,7.35,0.4034,-0.0511,-20.98,-0.1573,-0.45,497.4,264.9,0.638
GBPUSD,4h,30,10,7,3,0.842,645,1.044,7.31,6.57,0.4217,-0.0069,-6.56,-0.0492,-0.571,19172.9,1369.6,0.714
USDJPY,4h,100,10,7,3,0.841,1899,2.991,20.93,4.8,0.3765,-0.007,-21.94,-0.1645,-0.86,3515.7,445.2,0.661
NZDUSD,1h,100,10,7,2,0.839,2359,3.726,26.08,12.47,0.3268,-0.01,-32.4,-0.243,-1.326,4332.2,270.0,0.686
USDJPY,5m,30,10,7,2,0.837,1290,2.026,14.18,8.16,0.2605,-0.0128,-26.0,-0.195,-0.798,1327.6,314.6,0.694
NZDUSD,4h,30,1,7,3,0.834,75,0.122,0.85,22.4,0.44,-0.0755,-19.22,-0.1442,-0.475,3747.4,887.4,0.693
USDJPY,15m,100,1,7,1,0.834,328,0.523,3.66,6.63,0.2165,-0.1377,-65.73,-0.493,-0.672,65.8,45.6,0.656
AUDUSD,15m,30,10,7,1,0.828,1114,1.767,12.37,8.09,0.2594,-0.0136,-27.52,-0.2064,-0.773,1458.9,340.5,0.684
AUDUSD,5m,100,10,7,2,0.826,2910,4.577,32.04,12.3,0.2385,-0.0153,-68.52,-0.5139,-1.14,297.4,100.6,0.663
AUDUSD,30m,100,1,7,4,0.825,228,0.364,2.55,7.5,0.2018,-0.1804,-58.8,-0.441,-0.696,87.7,57.0,0.64
XAUUSD,4h,30,10,7,4,0.824,728,1.157,8.1,12.02,0.4148,-0.0084,-9.04,-0.0678,-0.749,31940.0,1067.4,0.688
GBPUSD,1h,100,10,7,2,0.818,2485,3.911,27.38,8.43,0.3252,-0.013,-42.72,-0.3204,-1.389,1744.5,188.1,0.665
USDCAD,15m,30,1,7,4,0.815,97,0.154,1.07,9.47,0.268,-0.1702,-18.33,-0.1375,-0.499,306.1,175.1,0.591
