symbol,tf,floor,topn,risk,pf,tpd,total_return,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,open,median_days_pass,p25_days_pass
BTCUSDT,4h,30,1,0.005,2.745,0.13,1.0108,0.0987,-0.0433,1.33,0.4135,0.0,0.0,0.5865,129.0,75.0
BTCUSDT,4h,30,1,0.0075,2.745,0.13,1.5161,0.1324,-0.0525,1.33,0.5658,0.1287,0.0,0.3054,121.0,69.0
BTCUSDT,4h,30,1,0.01,2.745,0.13,2.0215,0.1607,-0.0589,1.33,0.5861,0.2707,0.0,0.1431,115.0,57.0
BTCUSDT,4h,30,1,0.02,2.745,0.13,4.043,0.2437,-0.0718,1.33,0.7425,0.1689,0.0166,0.0719,92.0,52.0
BTCUSDT,30m,100,1,0.005,2.355,0.444,5.285,0.2796,-0.1114,2.48,0.9486,0.0224,0.0,0.029,55.0,27.0
BTCUSDT,30m,100,1,0.0075,2.355,0.444,7.9275,0.3413,-0.1551,2.48,0.8267,0.1652,0.0,0.0081,36.0,18.0
BTCUSDT,30m,100,1,0.01,2.355,0.444,10.5701,0.3888,-0.193,2.48,0.7728,0.1296,0.0903,0.0073,29.0,16.0
BTCUSDT,30m,100,1,0.02,2.355,0.444,21.1401,0.5151,-0.3042,2.48,0.5723,0.1057,0.3172,0.0048,21.0,13.0
BTCUSDT,4h,30,10,0.005,2.325,1.327,0.7681,0.0797,-0.0315,1.8,0.3987,0.0,0.0,0.6013,155.0,98.0
BTCUSDT,4h,30,10,0.0075,2.325,1.327,1.1522,0.1086,-0.0396,1.8,0.5538,0.0,0.0,0.4462,133.0,72.0
BTCUSDT,4h,30,10,0.01,2.325,1.327,1.5363,0.1334,-0.0453,1.8,0.6856,0.1086,0.0,0.2058,142.0,65.0
BTCUSDT,4h,30,10,0.02,2.325,1.327,3.0726,0.2079,-0.0581,1.8,0.7872,0.1388,0.0,0.074,74.0,42.0
BTCUSDT,30m,100,10,0.005,2.073,4.775,4.3497,0.2514,-0.0433,3.5,0.9652,0.0,0.0,0.0348,54.0,31.0
BTCUSDT,30m,100,10,0.0075,2.073,4.775,6.5246,0.3099,-0.0607,3.5,0.9199,0.0494,0.0,0.0307,33.0,19.0
BTCUSDT,30m,100,10,0.01,2.073,4.775,8.6994,0.3551,-0.076,3.5,0.9096,0.0439,0.0179,0.0285,25.0,15.0
BTCUSDT,30m,100,10,0.02,2.073,4.775,17.3988,0.4762,-0.1221,3.5,0.7698,0.1292,0.0918,0.0091,13.0,8.0
BTCUSDT,1h,100,10,0.005,1.945,3.941,2.8615,0.1977,-0.0606,3.23,0.9529,0.0285,0.0,0.0186,81.0,43.0
BTCUSDT,1h,100,10,0.0075,1.945,3.941,4.2923,0.2491,-0.0876,3.23,0.9543,0.0365,0.0,0.0091,54.0,29.0
BTCUSDT,1h,100,10,0.01,1.945,3.941,5.723,0.2897,-0.1125,3.23,0.9313,0.0332,0.0274,0.008,40.0,22.0
BTCUSDT,1h,100,10,0.02,1.945,3.941,11.446,0.4002,-0.1967,3.23,0.8061,0.0982,0.0902,0.0055,19.0,11.0
BTCUSDT,30m,30,10,0.005,1.93,1.488,1.3502,0.1212,-0.029,1.83,0.7812,0.0,0.0,0.2188,154.0,98.0
BTCUSDT,30m,30,10,0.0075,1.93,1.488,2.0254,0.1598,-0.0357,1.83,0.8695,0.0,0.0,0.1305,109.0,70.0
BTCUSDT,30m,30,10,0.01,1.93,1.488,2.7005,0.1915,-0.0405,1.83,0.7959,0.0923,0.0,0.1118,81.0,46.0
BTCUSDT,30m,30,10,0.02,1.93,1.488,5.401,0.2822,-0.0725,1.83,0.7549,0.1554,0.0733,0.0165,41.0,23.0
