symbol,tf,f30_n1,f30_n10,f100_n1,f100_n10,worst,median,quarters
BTCUSDT,30m,1.801,1.93,2.355,2.073,1.801,1.93,30
BTCUSDT,15m,1.798,1.516,1.681,1.655,1.516,1.655,30
BTCUSDT,4h,2.745,2.325,1.57,1.418,1.418,1.57,30
BTCUSDT,1h,1.407,1.904,1.879,1.945,1.407,1.879,30
XAUUSD,5m,1.375,1.504,1.439,1.66,1.375,1.439,7
XAUUSD,30m,1.312,1.232,1.297,1.394,1.232,1.297,7
XAUUSD,15m,1.131,1.289,1.199,1.237,1.131,1.199,7
EURUSD,1h,1.481,1.28,1.361,1.009,1.009,1.28,7
XAUUSD,1h,1.027,0.916,1.056,1.247,0.916,1.027,7
AUDUSD,4h,1.042,0.921,1.055,0.901,0.901,0.921,7
USDCHF,30m,0.967,0.862,1.432,0.969,0.862,0.967,7
USDCHF,1h,1.142,1.078,0.846,0.983,0.846,0.983,7
AUDUSD,15m,1.095,0.828,0.916,0.905,0.828,0.905,7
XAUUSD,4h,1.095,0.824,1.333,1.283,0.824,1.095,7
EURUSD,15m,0.854,0.91,0.954,0.812,0.812,0.854,7
USDJPY,30m,0.781,0.899,1.055,0.886,0.781,0.886,7
USDCHF,15m,1.045,1.017,0.776,0.774,0.774,0.776,7
USDJPY,15m,1.78,1.288,0.834,0.769,0.769,0.834,7
USDCAD,30m,1.139,0.765,0.921,0.762,0.762,0.765,7
EURUSD,5m,0.761,0.934,0.952,1.02,0.761,0.934,7
NZDUSD,4h,0.834,0.949,0.878,0.758,0.758,0.834,7
EURUSD,4h,0.758,1.065,1.218,1.239,0.758,1.065,7
GBPUSD,15m,1.023,1.031,0.763,0.756,0.756,0.763,7
USDJPY,1h,0.755,1.09,1.066,0.894,0.755,0.894,7
GBPUSD,5m,0.887,1.007,0.753,0.796,0.753,0.796,7
GBPUSD,4h,0.741,0.842,1.085,0.761,0.741,0.761,7
USDJPY,4h,1.001,0.73,0.801,0.841,0.73,0.801,7
AUDUSD,1h,1.174,0.786,0.664,0.743,0.664,0.743,7
GBPUSD,1h,0.654,0.779,0.783,0.818,0.654,0.779,7
EURUSD,30m,0.646,1.073,1.579,1.205,0.646,1.073,7
USDJPY,5m,0.641,0.837,0.927,0.913,0.641,0.837,7
GBPUSD,30m,0.62,0.908,0.728,0.814,0.62,0.728,7
NZDUSD,15m,0.72,0.885,0.615,0.795,0.615,0.72,7
USDCAD,15m,0.815,0.701,0.592,0.698,0.592,0.698,7
AUDUSD,5m,0.584,0.759,0.976,0.826,0.584,0.759,7
NZDUSD,1h,0.566,0.681,1.058,0.839,0.566,0.681,7
USDCHF,5m,0.54,0.659,1.021,0.784,0.54,0.659,7
USDCAD,1h,0.532,0.57,0.573,0.682,0.532,0.57,7
USDCAD,5m,0.526,0.589,0.622,0.681,0.526,0.589,7
NZDUSD,5m,0.482,0.726,0.669,0.748,0.482,0.669,7
NZDUSD,30m,0.457,0.683,0.625,0.551,0.457,0.551,7
AUDUSD,30m,0.384,0.516,0.825,0.667,0.384,0.516,7
USDCAD,4h,0.295,0.444,0.732,0.792,0.295,0.444,7
USDCHF,4h,0.282,0.48,0.855,0.847,0.282,0.48,7
