lever,paired,median_off,median_on,lift,improved,best_on,kept
rvol>2.5,13174,0.644,0.686,0.042,0.5341,4.323,0.853
rvol>2.0,14056,0.642,0.671,0.029,0.4655,4.334,0.91
rvol2.5 + EMA against,11803,0.648,0.666,0.018,0.5462,4.054,0.764
rvol1.5 + NY,13003,0.648,0.666,0.018,0.4984,3.975,0.842
rvol>1.5,14642,0.642,0.659,0.017,0.4312,5.903,0.948
rvol>1.25,14961,0.64,0.653,0.013,0.4692,4.929,0.969
NY 13-20,13914,0.642,0.65,0.008,0.499,4.676,0.901
rvol>1.0,15223,0.639,0.646,0.007,0.4642,4.546,0.986
London 07-16,14102,0.641,0.647,0.006,0.4983,4.465,0.913
NY open 13-17,13524,0.646,0.651,0.0045,0.4874,5.719,0.876
no Asia 07-22,15142,0.638,0.64,0.002,0.4507,4.334,0.98
base,15444,0.638,0.638,0.0,0.0,4.334,1.0
short only,15039,0.637,0.632,-0.005,0.5151,5.507,0.974
EMA against VWAP,14966,0.637,0.63,-0.007,0.4616,3.088,0.969
Asia only 00-07,12273,0.621,0.611,-0.01,0.4893,4.947,0.795
EMA with VWAP,14853,0.636,0.624,-0.012,0.456,2.46,0.962
long only,15003,0.637,0.617,-0.02,0.4067,3.301,0.971
