symbol,tf,quarter,floor,topn,selector,train_pf_2x,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter,train_pf
XAGUSD,1h,2024-09-01,30,1,train_pf_2x,2.168,40,13278,14,0.95,0.886,-0.528,0.157,0.2857,-1,96,2,1,2.5,0,1.0,0,0.0,0,2.0,0.0,0.0,2,5.0,rvol>2.0,2.168
XAGUSD,1h,2024-09-01,30,10,train_pf_2x,2.168,40,13278,137,1.338,1.24,3.211,1.54,0.3285,-1,96,2,1,2.5,0,1.0,0,0.0,0,2.0,0.0,0.0,2,5.0,rvol>2.0,2.168
XAGUSD,1h,2024-09-01,100,1,train_pf_2x,1.444,131,10530,44,1.879,1.401,43.253,0.495,0.2045,8,0,2,1,2.0,0,0.5,0,0.0,0,2.5,0.0,0.0,2,5.0,rvol>2.5,1.444
XAGUSD,1h,2024-09-01,100,10,train_pf_2x,1.444,131,10530,326,1.317,1.083,8.643,3.665,0.2577,8,0,2,1,2.0,0,0.5,0,0.0,0,2.5,0.0,0.0,2,5.0,rvol>2.5,1.444
XAGUSD,1h,2024-12-01,30,1,train_pf_2x,2.398,41,13251,1,inf,inf,0.437,0.011,1.0,0,0,2,1,2.5,1,1.0,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,2.398
XAGUSD,1h,2024-12-01,30,10,train_pf_2x,2.398,41,13251,23,0.805,0.638,-0.217,0.259,0.3913,0,0,2,1,2.5,1,1.0,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,2.398
XAGUSD,1h,2024-12-01,100,1,train_pf_2x,1.585,151,10683,7,1.668,1.168,4.118,0.079,0.2857,8,0,2,1,2.0,0,0.5,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,1.585
XAGUSD,1h,2024-12-01,100,10,train_pf_2x,1.585,151,10683,158,1.398,1.125,1.925,1.776,0.3608,8,0,2,1,2.0,0,0.5,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,1.585
XAGUSD,1h,2025-03-01,30,1,train_pf_2x,2.646,37,13106,6,0.428,0.388,-3.105,0.067,0.1667,0,0,2,1,2.5,1,1.0,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,2.646
XAGUSD,1h,2025-03-01,30,10,train_pf_2x,2.646,37,13106,68,0.772,0.704,-1.309,0.756,0.2206,0,0,2,1,2.5,1,1.0,0,0.0,12,2.5,0.0,0.0,2,5.0,rvol>2.5,2.646
XAGUSD,1h,2025-03-01,100,1,train_pf_2x,1.496,114,10118,23,1.079,0.912,0.783,0.256,0.4783,-1,96,4,1,2.0,1,1.0,0,0.0,4,0.0,0.7,0.0,2,5.0,ATRrank>0.7,1.496
XAGUSD,1h,2025-03-01,100,10,train_pf_2x,1.496,114,10118,396,0.546,0.434,-7.361,4.402,0.3434,-1,96,4,1,2.0,1,1.0,0,0.0,4,0.0,0.7,0.0,2,5.0,ATRrank>0.7,1.496
XAGUSD,1h,2025-06-01,30,1,train_pf_2x,2.384,30,12976,6,3.723,2.844,14.962,0.065,0.3333,0,0,2,1,2.5,0,0.5,0,0.0,4,2.5,0.0,0.0,2,5.0,rvol>2.5,2.384
XAGUSD,1h,2025-06-01,30,10,train_pf_2x,2.384,30,12976,105,1.883,1.587,5.707,1.142,0.3905,0,0,2,1,2.5,0,0.5,0,0.0,4,2.5,0.0,0.0,2,5.0,rvol>2.5,2.384
XAGUSD,1h,2025-06-01,100,1,train_pf_2x,1.598,102,9723,14,0.305,0.214,-4.358,0.152,0.2857,-1,96,4,1,2.0,1,1.0,0,0.0,4,0.0,0.7,0.0,2,5.0,ATRrank>0.7,1.598
XAGUSD,1h,2025-06-01,100,10,train_pf_2x,1.598,102,9723,185,0.648,0.5,-4.674,2.012,0.2324,-1,96,4,1,2.0,1,1.0,0,0.0,4,0.0,0.7,0.0,2,5.0,ATRrank>0.7,1.598
XAGUSD,1h,2025-09-01,30,1,train_pf_2x,4.66,34,13105,1,inf,0.0,0.036,0.011,1.0,-1,96,2,1,2.5,0,1.0,0,0.0,4,0.0,0.0,0.5,2,5.0,ATRrank<0.5,4.66
XAGUSD,1h,2025-09-01,30,10,train_pf_2x,4.66,34,13105,37,1.108,0.969,0.266,0.411,0.3784,-1,96,2,1,2.5,0,1.0,0,0.0,4,0.0,0.0,0.5,2,5.0,ATRrank<0.5,4.66
XAGUSD,1h,2025-09-01,100,1,train_pf_2x,1.657,104,9477,20,1.815,1.695,7.831,0.222,0.5,-1,96,4,1,2.0,0,1.0,0,0.0,0,0.0,0.0,0.0,2,5.0,none,1.657
XAGUSD,1h,2025-09-01,100,10,train_pf_2x,1.657,104,9477,315,1.082,0.939,1.237,3.502,0.3333,-1,96,4,1,2.0,0,1.0,0,0.0,0,0.0,0.0,0.0,2,5.0,none,1.657
