symbol,tf,quarter,floor,topn,selector,train_pf,train_pf_2x,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
XAGUSD,1h,2024-09-01,30,1,train_pf_2x,2.967,2.967,37,12647,15,1.002,0.787,0.036,0.169,0.1333,8,0,2,1,2.5,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,1h,2024-09-01,30,10,train_pf_2x,2.967,2.967,37,12647,116,0.777,0.623,-1.929,1.304,0.2414,8,0,2,1,2.5,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,1h,2024-09-01,100,1,train_pf_2x,1.627,1.627,142,8230,6,0.537,0.42,-3.043,0.067,0.1667,8,0,2,1,2.0,0,1.0,0,0.0,12,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,1h,2024-09-01,100,10,train_pf_2x,1.627,1.627,142,8230,240,1.49,1.356,7.997,2.698,0.3042,8,0,2,1,2.0,0,1.0,0,0.0,12,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,1h,2024-12-01,30,1,train_pf_2x,3.132,3.132,37,12748,4,0.0,0.0,-5.533,0.045,0.0,8,0,2,1,2.5,0,0.5,0,0.0,0,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,1h,2024-12-01,30,10,train_pf_2x,3.132,3.132,37,12748,45,0.507,0.401,-2.283,0.506,0.1556,8,0,2,1,2.5,0,0.5,0,0.0,0,0.0,0.0,0.5,2,5.0,ATRrank<0.5
XAGUSD,1h,2024-12-01,100,1,train_pf_2x,1.857,1.857,118,8397,17,0.342,0.259,-13.351,0.191,0.1176,8,0,2,1,2.0,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,1h,2024-12-01,100,10,train_pf_2x,1.857,1.857,118,8397,220,0.917,0.787,-1.433,2.473,0.2545,8,0,2,1,2.0,0,0.5,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,1h,2025-03-01,30,1,train_pf_2x,3.547,3.547,40,11731,10,0.472,0.36,-5.314,0.111,0.2,8,0,2,1,2.5,0,1.0,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
XAGUSD,1h,2025-03-01,30,10,train_pf_2x,3.547,3.547,40,11731,123,2.503,1.951,16.474,1.367,0.2764,8,0,2,1,2.5,0,1.0,0,0.0,0,1.5,0.0,0.0,2,5.0,rvol>1.5
