legs,n,floor,topn,pf,pf2x,risk,pass_rate,fail_total,median_days,expected_days,max_dd,trades,tpd,r_day,max_dd_r,avg_r
BTCUSDT 15m,1,30,1,1.348,0.933,0.0025,0.5547,0.0,156.0,281.2,-0.0678,151,0.227,0.0818,-27.13,0.3603
BTCUSDT 15m,1,30,10,1.208,0.845,0.005,0.3728,0.0,98.0,262.9,-0.0666,1513,2.268,0.0429,-13.32,0.0189
BTCUSDT 15m,1,100,1,1.384,0.953,0.0025,0.503,0.271,89.5,177.9,-0.1094,263,0.394,0.1539,-43.74,0.3907
BTCUSDT 15m,1,100,10,1.331,0.914,0.0025,0.509,0.0,116.5,228.9,-0.056,2626,3.936,0.1134,-22.4,0.0288
BTCUSDT 1h,1,30,10,1.432,1.064,0.0075,0.6592,0.0,183.0,277.6,-0.0651,899,1.351,0.0355,-8.68,0.0263
BTCUSDT 1h,1,100,1,1.429,1.015,0.0025,0.6832,0.2523,176.0,257.6,-0.112,288,0.433,0.135,-44.79,0.3117
BTCUSDT 1h,1,100,10,1.576,1.153,0.005,0.8048,0.0,106.0,131.7,-0.0596,2513,3.777,0.1126,-11.92,0.0298
BTCUSDT 30m,1,30,1,1.504,1.115,0.005,0.5148,0.0,311.0,604.1,-0.0601,64,0.1,0.0341,-12.01,0.3409
BTCUSDT 30m,1,30,10,1.56,1.129,0.0125,0.7636,0.0,118.5,155.2,-0.0747,763,1.157,0.0371,-5.98,0.0321
BTCUSDT 30m,1,100,1,1.678,1.229,0.0025,0.8033,0.0,181.0,225.3,-0.0459,421,0.638,0.22,-18.37,0.3449
BTCUSDT 30m,1,100,10,1.486,1.085,0.0075,0.8578,0.0,82.0,95.6,-0.0719,3931,5.894,0.1191,-9.59,0.0202
BTCUSDT 4h,1,30,1,2.701,2.229,0.025,0.8629,0.0015,82.0,95.0,-0.074,74,0.114,0.0445,-2.96,0.3907
BTCUSDT 4h,1,30,10,2.198,1.778,0.025,0.8444,0.0,87.0,103.0,-0.0719,772,1.19,0.0326,-2.87,0.0274
