symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,0,1,17449,7.169,0.4604,-0.1514,1.2317,0.7512,0.4589,-7197.12,-7195.6,0.2806
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,0,0,15957,6.556,0.1673,-0.7258,0.3136,0.1727,0.1065,-15975.09,-15975.1,0.0702
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,1,1,8660,3.558,0.458,-0.1392,1.2557,0.7693,0.472,-3453.83,-3453.2,0.29
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,1,0,8653,3.555,0.1789,-0.6948,0.3535,0.1985,0.1237,-8392.54,-8392.5,0.0821
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,0,1,12999,5.341,0.4553,-0.1606,1.1953,0.738,0.4563,-5395.81,-5395.4,0.2822
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,0,0,12488,5.131,0.1703,-0.7095,0.3254,0.1842,0.1159,-12204.8,-12204.8,0.0777
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,1,1,6322,2.597,0.4551,-0.1415,1.2331,0.7667,0.4782,-2489.51,-2488.9,0.299
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,1,0,6383,2.622,0.1822,-0.6854,0.3516,0.2008,0.1264,-6080.43,-6077.9,0.0846
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,0,1,11845,4.866,0.4707,-0.1214,1.1464,0.7879,0.54,-3701.01,-3699.0,0.3675
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,0,0,10323,4.241,0.1887,-0.6242,0.3371,0.2197,0.152,-8475.61,-8475.5,0.1087
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,1,1,5885,2.418,0.4681,-0.1229,1.1377,0.7839,0.538,-1829.86,-1829.2,0.3662
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,1,0,5497,2.258,0.2056,-0.586,0.3844,0.2551,0.1781,-4290.46,-4290.0,0.1284
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,0,1,9013,3.703,0.466,-0.1325,1.1142,0.7703,0.5313,-2884.91,-2883.3,0.3638
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,0,0,8266,3.396,0.1965,-0.5973,0.3669,0.2439,0.1711,-6525.39,-6525.4,0.1239
