symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,0,1,13964,5.737,0.4498,-0.3374,0.8908,0.4509,0.2151,-8710.21,-8710.2,0.1039
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,0,0,10728,4.408,0.139,-0.7778,0.2464,0.1191,0.0687,-11584.11,-11584.1,0.043
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,1,1,5161,2.12,0.4759,-0.3014,1.0088,0.4921,0.2238,-3133.66,-3131.5,0.1044
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,0,1,0,4539,1.865,0.1185,-0.8483,0.2022,0.0936,0.0531,-5289.23,-5289.2,0.0333
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,0,1,12834,5.273,0.4506,-0.3344,0.8881,0.449,0.2142,-7919.4,-7919.4,0.1034
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,0,0,10045,4.127,0.1438,-0.7666,0.2544,0.1246,0.072,-10696.61,-10696.6,0.0452
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,1,1,4697,1.93,0.4756,-0.2977,1.0089,0.4919,0.2244,-2816.65,-2814.5,0.1053
BTCUSDT,15m,D,1,1.0,0,0.0,25.0,1,1,0,4205,1.728,0.1206,-0.8434,0.2051,0.0958,0.0542,-4867.67,-4867.7,0.0339
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,0,1,7505,3.083,0.4684,-0.2391,0.8698,0.5746,0.3703,-3129.17,-3129.0,0.2308
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,0,0,5645,2.319,0.1903,-0.5941,0.3185,0.2005,0.1352,-4402.86,-4402.9,0.0943
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,1,1,2413,0.991,0.5073,-0.1739,1.0045,0.672,0.4385,-845.05,-844.0,0.2779
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,0,1,0,2076,0.853,0.17,-0.6487,0.2652,0.1683,0.1154,-1725.42,-1725.4,0.0819
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,0,1,7012,2.881,0.4718,-0.2375,0.8685,0.5717,0.3663,-2902.81,-2902.2,0.2263
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,0,0,5371,2.207,0.1938,-0.5875,0.3221,0.2028,0.1368,-4145.58,-4145.6,0.0956
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,1,1,2235,0.918,0.5092,-0.174,1.0009,0.6679,0.4341,-779.52,-778.5,0.2735
BTCUSDT,15m,D,1,1.0,0,0.0,50.0,1,1,0,1944,0.799,0.1708,-0.6471,0.265,0.1684,0.1155,-1611.25,-1611.2,0.0819
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,0,0,1,2497,1.026,0.4802,-0.1668,0.8571,0.6691,0.5194,-673.28,-671.7,0.3995
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,0,0,0,1921,0.789,0.2842,-0.3862,0.4716,0.3562,0.275,-947.33,-946.8,0.2151
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,0,1,1,838,0.344,0.5334,-0.0791,1.0388,0.8342,0.666,-149.92,-146.6,0.527
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,0,1,0,709,0.291,0.2426,-0.4841,0.3477,0.2677,0.2114,-413.45,-413.4,0.1686
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,1,0,1,2372,0.975,0.4798,-0.1763,0.8349,0.65,0.5031,-660.62,-659.2,0.3858
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,1,0,0,1845,0.758,0.2829,-0.3841,0.4696,0.3539,0.2728,-904.65,-904.4,0.2132
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,1,1,1,794,0.326,0.5315,-0.0908,1.0094,0.809,0.6443,-151.81,-147.4,0.5087
BTCUSDT,15m,D,1,1.0,0,0.0,100.0,1,1,0,669,0.275,0.2377,-0.4823,0.3454,0.2651,0.209,-388.78,-388.8,0.1666
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,0,0,1,13913,5.716,0.4755,-0.3281,0.9089,0.5088,0.2547,-8470.59,-8470.2,0.1213
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,0,0,0,14454,5.938,0.5138,-0.2451,1.0609,0.6027,0.3104,-7508.87,-7508.9,0.1529
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,0,1,1,5475,2.249,0.5021,-0.3028,1.0091,0.5343,0.2445,-3341.95,-3340.5,0.1081
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,0,1,0,5662,2.326,0.4857,-0.3308,0.9458,0.5052,0.2345,-3589.38,-3589.4,0.1076
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,1,0,1,12840,5.275,0.4761,-0.3237,0.9106,0.5136,0.2602,-7715.62,-7715.2,0.1256
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,1,0,0,13327,5.475,0.514,-0.2421,1.0607,0.6067,0.3158,-6843.79,-6843.8,0.157
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,1,1,1,5014,2.06,0.504,-0.2962,1.0163,0.5414,0.25,-3011.78,-3010.4,0.1116
BTCUSDT,15m,D,1,1.0,1,1.0,25.0,1,1,0,5178,2.127,0.4834,-0.3332,0.9362,0.5033,0.2365,-3280.36,-3280.4,0.1096
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,1,7790,3.2,0.4715,-0.2321,0.8961,0.6234,0.4226,-3194.05,-3192.4,0.2686
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,0,0,8292,3.407,0.5187,-0.1344,1.0853,0.7598,0.5196,-2568.23,-2564.5,0.3352
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,1,2538,1.043,0.5102,-0.156,1.0433,0.7275,0.4945,-846.31,-845.0,0.3156
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,0,1,0,2668,1.096,0.4891,-0.1942,0.9607,0.6744,0.463,-985.29,-983.0,0.3006
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,1,7286,2.993,0.4752,-0.224,0.908,0.6338,0.4312,-2917.31,-2916.2,0.2756
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,0,0,7717,3.171,0.5179,-0.1357,1.0795,0.758,0.5204,-2389.34,-2386.2,0.3378
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,1,2358,0.969,0.5102,-0.1552,1.0421,0.7285,0.4963,-780.95,-780.2,0.3178
BTCUSDT,15m,D,1,1.0,1,1.0,50.0,1,1,0,2471,1.015,0.4881,-0.1963,0.9545,0.6717,0.4628,-916.82,-913.0,0.3022
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,1,2601,1.069,0.4637,-0.1697,0.871,0.7063,0.5702,-708.7,-707.1,0.4559
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,0,0,2805,1.152,0.5219,-0.0494,1.111,0.9033,0.7314,-432.15,-421.6,0.5868
BTCUSDT,15m,D,1,1.0,1,1.0,100.0,0,1,1,866,0.356,0.5023,-0.0889,1.0133,0.8346,0.6849,-163.43,-159.6,0.5578
