quarter,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,train_pf_2x,test_trades,test_pf,test_pf_2x,symbol,tf
2021Q1,roll96,3,3.0,2,0.0,25.0,1,0,1,2.4436,7,0.9847,0.9161,BTCUSDT,15m
2021Q2,roll96,3,3.0,2,0.0,25.0,1,0,1,2.1662,11,2.2776,2.0566,BTCUSDT,15m
2021Q3,roll96,3,3.0,2,0.0,25.0,1,0,1,2.1458,11,3.808,3.442,BTCUSDT,15m
2021Q4,roll96,3,3.0,2,0.0,25.0,1,0,1,2.3191,14,0.8726,0.7721,BTCUSDT,15m
2022Q1,roll96,3,3.0,2,0.0,100.0,0,1,1,2.0262,4,0.2249,0.1782,BTCUSDT,15m
2022Q2,roll96,3,3.0,2,0.0,25.0,1,0,1,1.7601,5,0.4127,0.3165,BTCUSDT,15m
2022Q3,W,3,2.0,2,0.0,25.0,0,1,1,2.889,3,0.3028,0.2309,BTCUSDT,15m
2023Q1,W,3,2.0,2,0.0,25.0,0,1,1,2.6771,7,0.1335,0.1025,BTCUSDT,15m
2023Q2,W,3,3.0,2,0.0,50.0,0,1,1,3.0327,1,inf,inf,BTCUSDT,15m
2023Q3,W,3,3.0,2,0.0,50.0,0,1,1,3.055,1,0.0,0.0,BTCUSDT,15m
2024Q3,W,3,3.0,2,0.0,50.0,0,1,1,3.0394,2,0.0567,0.0,BTCUSDT,15m
2024Q4,W,3,3.0,2,0.0,50.0,0,1,1,2.7707,1,0.0,0.0,BTCUSDT,15m
2025Q1,W,3,3.0,2,0.0,50.0,0,1,1,2.7235,2,2.5113,0.5057,BTCUSDT,15m
2025Q2,W,3,3.0,2,0.0,50.0,0,1,1,2.6903,1,0.0,0.0,BTCUSDT,15m
2026Q1,W,3,3.0,2,0.0,50.0,1,1,1,2.6072,2,inf,inf,BTCUSDT,15m
2026Q2,W,3,3.0,2,0.0,50.0,1,1,1,2.8568,2,0.7414,0.5362,BTCUSDT,15m
2021Q1,W,1,3.0,2,0.0,50.0,1,1,1,2.6391,40,1.6223,1.5302,BTCUSDT,30m
2021Q2,W,2,3.0,2,0.0,25.0,0,1,1,2.8832,31,0.6423,0.5791,BTCUSDT,30m
2021Q3,W,2,2.0,2,0.0,25.0,1,1,1,2.3591,17,10.5916,8.8203,BTCUSDT,30m
2021Q4,W,2,2.0,2,0.0,25.0,1,1,1,3.217,20,0.6725,0.5443,BTCUSDT,30m
2022Q1,W,2,2.0,2,0.0,25.0,1,1,1,2.5597,27,0.3856,0.3182,BTCUSDT,30m
2022Q2,W,3,2.0,2,0.0,25.0,1,0,1,1.9192,3,0.0,0.0,BTCUSDT,30m
2022Q3,W,2,2.0,2,0.0,25.0,1,1,1,1.9179,9,1.3144,1.1176,BTCUSDT,30m
2022Q4,W,2,2.0,2,0.0,25.0,1,1,1,1.8736,5,2.0261,1.5352,BTCUSDT,30m
2023Q1,W,2,2.0,2,0.0,25.0,1,1,1,1.8647,23,0.222,0.1702,BTCUSDT,30m
2023Q2,W,3,2.0,2,0.0,25.0,0,1,1,2.2128,1,0.0,0.0,BTCUSDT,30m
