tf,filter,n_cfg,d_pf,win,d_rpd,keep,d_pace,faster
1h,MA50 aligned,75,0.06525881712079973,0.6933333333333334,-0.037635855861124334,0.7959183673469388,3.872429182861339,0.47297297297297297
1h,MA50 counter,75,-0.2293409108755491,0.30666666666666664,-0.28328004396091233,0.20408163265306123,851.3751063160114,0.06756756756756757
1h,MA50 slope aligned,75,0.2043852724328774,0.8266666666666667,-0.020512355827200974,0.6343825665859564,-16.239933512047102,0.6351351351351351
1h,MA100 aligned,75,0.057679278780932375,0.6666666666666666,-0.08198684818094276,0.7019328585961343,29.378971207499205,0.3108108108108108
1h,MA100 counter,75,-0.1331035316401341,0.3333333333333333,-0.24950086234108873,0.2980671414038657,385.5784551055076,0.12162162162162163
1h,MA100 slope aligned,75,0.09206480437387143,0.6266666666666667,-0.10065028351059173,0.6145038167938931,70.10742625771752,0.20270270270270271
1h,MA200 aligned,75,0.13557359980724182,0.8,-0.0750728473267224,0.6451149425287356,5.434945077916012,0.4864864864864865
1h,MA200 counter,75,-0.26704556402388224,0.2,-0.2810504351035386,0.35488505747126436,483.45992528298024,0.04054054054054054
1h,MA200 slope aligned,75,0.2784056747116681,0.96,-0.04818262127189256,0.5704960835509139,-44.51577232813825,0.7972972972972973
1h,fib100 beyond .618,75,0.3107138931514486,0.8533333333333334,-0.058203877999856136,0.5235668789808917,-25.671036346954835,0.6351351351351351
1h,fib100 .382-.618 pocket,75,-0.349750335194871,0.2,-0.2985999310147129,0.2804642166344294,623.9305675315466,0.06756756756756757
1h,fib100 outside .236/.764,75,0.3240331098305824,0.8133333333333334,-0.12662898936728273,0.37209302325581395,2.3863951414289843,0.44594594594594594
1h,fib200 beyond .618,75,0.13285906562861172,0.6666666666666666,-0.1297167690180232,0.4966190833959429,64.86705792433591,0.2972972972972973
1h,fib200 .382-.618 pocket,75,-0.1303671263102495,0.44,-0.22887317721712694,0.22905027932960895,494.48307561211806,0.21621621621621623
1h,fib200 outside .236/.764,75,0.22983250305197322,0.6933333333333334,-0.12707267663208158,0.41743119266055045,44.721882578929396,0.35135135135135137
1h,session London 07-16,75,-0.06473645646784165,0.38666666666666666,-0.21910961370543003,0.44917087238644554,231.70019288226533,0.24324324324324326
1h,session NY 13-21,75,-0.23555408922486354,0.29333333333333333,-0.27003595819579995,0.31729518855656696,421.11562793633146,0.16216216216216217
1h,session overlap 13-17,75,-0.13384239742585846,0.4,-0.27590306830702915,0.24071322436849926,335.4522532679971,0.1891891891891892
1h,session Asia 00-07,75,-0.011729589362339032,0.48,-0.2062044579468153,0.34987277353689566,309.5237310635737,0.12162162162162163
1h,session London open 07-09,75,-0.20070592564991663,0.4266666666666667,-0.34162445745237385,0.08735213830755233,274.6638687412195,0.14864864864864866
1h,session NY open 13-15,75,-0.24679884473407143,0.30666666666666664,-0.2979785183672208,0.15128205128205127,773.8822182895352,0.10810810810810811
1h,vol above trailing median,75,-0.2956733986933009,0.2,-0.31075743730055694,0.42802056555269924,495.8616786767499,0.0945945945945946
1h,vol below trailing median,75,0.1676388588135047,0.7733333333333333,-0.06973738720642186,0.5609284332688588,30.88130108385112,0.32432432432432434
1h,skip Monday,75,0.1425914309445122,0.9066666666666666,0.022673461930762324,0.7945383615084526,-61.644177885735985,0.6756756756756757
1h,skip Friday,75,0.048736574565580115,0.6666666666666666,-0.04236548112255205,0.8008474576271186,24.276021103288514,0.3918918918918919
4h,MA50 aligned,75,-0.1040848929745688,0.2,-0.15595780780916474,0.6562962962962963,110.58681496973924,0.2
4h,MA50 counter,75,0.19194447206370624,0.8,-0.1610716187487933,0.3437037037037037,63.57063975763043,0.29333333333333333
4h,MA50 slope aligned,75,0.029199434742028796,0.5866666666666667,-0.14599009230708151,0.5803432137285491,16.387347959154965,0.44
4h,MA100 aligned,75,-0.21914850734200497,0.18666666666666668,-0.19417557575877442,0.6090584028605482,359.1664080700622,0.08
4h,MA100 counter,75,0.3248997084874059,0.8133333333333334,-0.10624533824817345,0.3909415971394517,-64.15551044061469,0.6266666666666667
4h,MA100 slope aligned,75,0.11828430044099014,0.6933333333333334,-0.10305966175442557,0.5792610250297974,3.76903860096391,0.4533333333333333
4h,MA200 aligned,75,-0.02552007149415414,0.4266666666666667,-0.13745829817336347,0.5821428571428572,109.44111905190397,0.3333333333333333
4h,MA200 counter,75,0.03504429355818739,0.5733333333333334,-0.15781078418137867,0.41785714285714287,203.1732675143204,0.13333333333333333
4h,MA200 slope aligned,75,0.15613035310175194,0.7733333333333333,-0.08684977369437065,0.5567567567567567,-57.378100010135356,0.68
4h,fib100 beyond .618,75,-0.23858966168537377,0.24,-0.24289692520915884,0.45357142857142857,344.5705132713107,0.04
4h,fib100 .382-.618 pocket,75,0.16457587544359908,0.5866666666666667,-0.20597551917488083,0.2585895117540687,172.05898922674274,0.25333333333333335
4h,fib100 outside .236/.764,75,-0.0713103979916383,0.38666666666666666,-0.18596134900654496,0.42431466030989273,392.54917229432954,0.08
4h,fib200 beyond .618,75,0.061265616882453244,0.6,-0.16079543321918738,0.39809296781883197,2.7843718890357536,0.48
4h,fib200 .382-.618 pocket,75,-0.8420444863874815,0.0,-0.38939982799546785,0.28705882352941176,3261.3254858355535,0.0
4h,fib200 outside .236/.764,75,0.008184110425074387,0.56,-0.19573560525514716,0.4076086956521739,19.267835004982885,0.4266666666666667
4h,session London 07-16,75,-0.24934446300560986,0.26666666666666666,-0.26705484574145216,0.45887961859356374,407.9321598874294,0.08
4h,session NY 13-21,75,-0.06993098082179627,0.4533333333333333,-0.2049099569106743,0.2899505766062603,136.13539899595025,0.36
4h,session overlap 13-17,75,-0.6099691575725404,0.0,-0.3788696043209464,0.14329268292682926,1406.7975805133472,0.0
4h,session Asia 00-07,75,0.22055384405596423,0.6533333333333333,-0.19133138399053515,0.24566929133858267,200.7488300384727,0.17333333333333334
4h,session London open 07-09,75,-0.5260702695936144,0.04,-0.3555923552111015,0.20405405405405405,629.9831535672072,0.02666666666666667
4h,session NY open 13-15,0,,,,,,
4h,vol above trailing median,75,-0.517844602815891,0.06666666666666667,-0.3388402228991369,0.6461187214611872,503.1370245657225,0.05333333333333334
4h,vol below trailing median,75,0.6833126157919929,0.84,-0.089303194097418,0.33070866141732286,-5.352512317525907,0.4666666666666667
4h,skip Monday,75,-0.0604856844556263,0.32,-0.10503132281732909,0.8124383020730503,25.58447569310681,0.37333333333333335
4h,skip Friday,75,0.0665384185614244,0.6666666666666666,-0.02745825476694888,0.821664464993395,21.516984323370025,0.41333333333333333
