thr,stop_sig,max_hold,hour_lo,hour_hi,min_rvol,kernel,stream,matched,kernel_only,stream_only,entry_match,exit_bar_match,max_entry_px_diff,max_exit_px_diff,max_r_diff
1.0,3.0,384,0,0,0.0,215,215,215,0,0,1.0,1.0,0.0,1.0462099453434348e-07,1.6530073310150328e-08
1.5,4.0,384,0,0,1.0,144,144,144,0,0,1.0,1.0,0.0,2.841625246219337e-08,1.4590966657124227e-08
0.5,3.0,384,0,0,1.0,181,181,181,0,0,1.0,1.0,0.0,4.133744369028136e-08,1.6530073310150328e-08
0.75,4.0,384,7,16,1.0,142,142,142,0,0,1.0,1.0,0.0,5.3990788728697225e-08,3.2111033831938585e-09
1.5,4.0,384,0,0,0.0,167,167,167,0,0,1.0,1.0,0.0,1.3949465937912464e-07,8.263326023438822e-09
0.5,0.75,2304,0,0,0.0,204,204,204,0,0,1.0,1.0,0.0,7.079506758600473e-09,4.152320798311848e-08
0.5,4.0,2304,0,0,1.5,37,37,37,0,0,1.0,1.0,0.0,2.7017449610866606e-08,3.978246354563453e-08
0.5,12.0,2304,7,16,1.0,20,20,20,0,0,1.0,1.0,0.0,2.473416316206567e-08,1.364790946922767e-09
0.75,1.5,2304,13,21,0.0,70,70,70,0,0,1.0,1.0,0.0,9.815721568884328e-09,1.1835105340196606e-08
0.75,6.0,2304,13,21,1.5,36,36,36,0,0,1.0,1.0,0.0,3.729655873030424e-08,1.973095464791186e-09
0.75,20.0,2304,13,17,1.0,20,20,20,0,0,1.0,1.0,0.0,2.2128915588837117e-08,2.7467295105054745e-10
1.0,2.5,2304,0,7,0.0,240,240,240,0,0,1.0,1.0,0.0,2.6660018193069845e-08,1.2632185075744928e-07
1.0,8.0,2304,0,7,1.5,50,50,50,0,0,1.0,1.0,0.0,1.3532826415030286e-07,2.5799216984978557e-08
1.25,0.75,4608,0,0,1.0,195,195,195,0,0,1.0,1.0,0.0,1.5572823031106964e-08,4.8363460791733814e-08
