arm,thr,stop_sig,max_hold,hour_lo,hour_hi,min_rvol,kernel,stream,matched,kernel_only,stream_only,entry_match,exit_bar_match,max_r_diff
partial 2R,1.0,3.0,384,0,0,0.0,215,215,215,0,0,1.0,1.0,8.260869321929931e-09
partial 2R,1.5,4.0,384,0,0,1.0,144,144,144,0,0,1.0,1.0,7.288668335547754e-09
partial 2R,0.5,3.0,384,0,0,1.0,181,181,181,0,0,1.0,1.0,8.260869321929931e-09
partial 2R,0.75,4.0,384,7,16,1.0,142,142,142,0,0,1.0,1.0,1.6043770756368758e-09
partial 2R,1.5,4.0,384,0,0,0.0,167,167,167,0,0,1.0,1.0,4.127691966004932e-09
partial 2R,0.5,0.75,2304,0,0,0.0,204,204,204,0,0,1.0,1.0,2.0756800722665503e-08
partial 2R,0.5,6.0,9216,0,0,1.0,13,13,13,0,0,1.0,1.0,1.185529185931955e-08
partial 2R,0.75,1.5,4608,0,0,1.5,74,74,74,0,0,1.0,1.0,1.6484023035445716e-09
partial 2R,0.75,12.0,2304,7,16,0.0,20,20,20,0,0,1.0,1.0,3.2902649493848912e-09
partial 2R,1.0,2.5,9216,7,16,1.0,31,31,31,0,0,1.0,1.0,7.007508884271374e-08
asian range,1.0,3.0,384,0,0,0.0,131,131,131,0,0,1.0,1.0,2.220446049250313e-16
asian range,1.5,4.0,384,0,0,1.0,113,113,113,0,0,1.0,1.0,0.0
asian range,0.5,3.0,384,0,0,1.0,141,141,141,0,0,1.0,1.0,2.220446049250313e-16
asian range,0.75,4.0,384,7,16,1.0,102,102,102,0,0,1.0,1.0,0.0
asian range,1.5,4.0,384,0,0,0.0,109,109,109,0,0,1.0,1.0,2.7755575615628914e-17
asian range,0.5,0.75,2304,0,0,0.0,240,240,240,0,0,1.0,1.0,2.220446049250313e-16
asian range,0.5,6.0,9216,0,0,1.0,11,11,11,0,0,1.0,1.0,0.0
asian range,0.75,1.5,4608,0,0,1.5,56,56,56,0,0,1.0,1.0,2.220446049250313e-16
asian range,0.75,12.0,2304,7,16,0.0,20,20,20,0,0,1.0,1.0,0.0
asian range,1.0,2.5,9216,7,16,1.0,17,17,17,0,0,1.0,1.0,0.0
