symbol,tf,trades,pf_2x,total_r,max_dd_r,tpd,K
DOTUSDT,1h,6406,2.096,374.92,-10.25,3.707,0.02116
LINKUSDT,1h,6749,1.75,230.28,-5.78,3.532,0.02086
ETHUSDT,1h,8365,1.982,518.12,-15.65,4.366,0.01728
AVAXUSDT,30min,8204,1.822,436.77,-15.93,4.778,0.01597
ADAUSDT,1h,7403,1.84,248.96,-9.62,3.884,0.01358
ETHUSDT,30min,10438,1.844,688.05,-27.09,5.451,0.01326
SOLUSDT,30min,9912,1.669,286.08,-12.87,5.726,0.01284
SOLUSDT,1h,7373,1.7,187.87,-9.01,4.257,0.01203
SOLUSDT,15min,13266,1.506,252.05,-12.91,7.659,0.01127
AVAXUSDT,1h,6396,1.785,234.17,-12.18,3.725,0.01119
LINKUSDT,30min,9799,1.499,370.15,-21.12,5.114,0.00915
ADAUSDT,30min,9637,1.465,236.55,-15.35,5.056,0.00809
DOTUSDT,30min,9484,1.568,288.09,-20.82,5.479,0.00799
BTCUSDT,1h,7883,1.471,218.91,-15.34,4.127,0.00747
DOGEUSDT,1h,6673,1.511,169.2,-14.76,3.851,0.00661
XRPUSDT,1h,7619,1.79,339.07,-26.89,3.995,0.00661
BTCUSDT,30min,11859,1.43,247.31,-21.55,6.193,0.00599
AVAXUSDT,15min,11038,1.439,353.75,-34.34,6.406,0.00598
XRPUSDT,30min,11145,1.503,325.65,-29.12,5.829,0.00585
LTCUSDT,1h,6372,1.584,192.72,-17.38,3.334,0.0058
LINKUSDT,15min,13022,1.317,302.16,-28.29,6.796,0.00558
ADAUSDT,15min,11379,1.272,205.63,-23.26,5.942,0.00462
DOGEUSDT,30min,7414,1.335,153.38,-21.6,4.278,0.0041
LTCUSDT,30min,8315,1.515,326.41,-45.65,4.353,0.00374
ETHUSDT,15min,14347,1.345,293.83,-46.82,7.488,0.00328
BNBUSDT,30min,9669,1.365,223.34,-38.19,5.054,0.00306
XRPUSDT,15min,12542,1.323,242.54,-48.12,6.546,0.00263
DOGEUSDT,15min,10595,1.235,152.76,-34.03,6.114,0.00259
BNBUSDT,1h,6988,1.342,132.96,-46.04,3.664,0.00151
LTCUSDT,15min,7882,1.094,63.45,-73.87,4.122,0.00045
DOTUSDT,15min,8901,1.065,28.61,-44.87,5.157,0.00037
BNBUSDT,15min,9777,1.052,38.64,-63.29,5.108,0.00032
BTCUSDT,15min,13375,1.027,20.54,-52.17,6.981,0.00021
