variant,n_legs,trades,pf_2x,total_r,max_dd_r,tpd,K,risk,pass_rate,killed,median_days,expected_days,full_window_expected_days,legs
ungated,1,3571,1.859,158.51,-10.25,3.75,0.01624,0.02,0.8732,0.0,120.0,137.4,97.8,DOTUSDT 1h
ungated,3,11110,1.871,184.09,-7.44,11.61,0.02584,0.02,0.8904,0.0,74.0,83.1,71.9,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h"
ungated,5,19530,1.72,169.43,-6.3,20.41,0.02811,0.02,0.9008,0.0,64.0,71.0,60.0,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h, AVAXUSDT 30min, XRPUSDT 1h"
ungated,8,31230,1.651,139.63,-5.2,32.63,0.02804,0.02,0.9102,0.0,63.0,69.2,58.6,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h, AVAXUSDT 30min, XRPUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 30min"
ungated,12,52761,1.593,143.19,-4.19,55.13,0.03571,0.02,0.9217,0.0,51.0,55.3,44.7,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h, AVAXUSDT 30min, XRPUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 30min, ETHUSDT 30min, SOLUSDT 15min, XRPUSDT 30min, ADAUSDT 1h"
ungated,20,89379,1.498,133.13,-3.92,93.39,0.03544,0.02,0.9186,0.0,52.0,56.6,46.9,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h, AVAXUSDT 30min, XRPUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 30min, ETHUSDT 30min, SOLUSDT 15min, XRPUSDT 30min, ADAUSDT 1h, SOLUSDT 1h, LTCUSDT 30min, BTCUSDT 1h, DOTUSDT 30min, ADAUSDT 30min, LINKUSDT 15min, LINKUSDT 30min, BNBUSDT 30min"
ungated,29,135432,1.418,116.29,-4.07,141.52,0.02987,0.02,0.9081,0.0,57.0,62.8,51.4,"DOTUSDT 1h, ETHUSDT 1h, AVAXUSDT 1h, AVAXUSDT 30min, XRPUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 30min, ETHUSDT 30min, SOLUSDT 15min, XRPUSDT 30min, ADAUSDT 1h, SOLUSDT 1h, LTCUSDT 30min, BTCUSDT 1h, DOTUSDT 30min, ADAUSDT 30min, LINKUSDT 15min, LINKUSDT 30min, BNBUSDT 30min, BTCUSDT 30min, DOGEUSDT 1h, ADAUSDT 15min, XRPUSDT 15min, AVAXUSDT 15min, ETHUSDT 15min, DOGEUSDT 30min, BNBUSDT 1h, LTCUSDT 15min"
crowd-gated (H-009 rule),1,2529,1.82,105.99,-6.35,2.66,0.01754,0.02,0.8732,0.0,101.0,115.7,95.7,DOTUSDT 1h
crowd-gated (H-009 rule),3,9314,1.876,140.08,-4.0,9.73,0.03657,0.02,0.9228,0.0,50.0,54.2,48.9,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min"
crowd-gated (H-009 rule),5,16212,1.734,139.49,-4.38,16.94,0.03327,0.02,0.9186,0.0,54.0,58.8,48.0,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min, XRPUSDT 1h, ETHUSDT 30min"
crowd-gated (H-009 rule),8,24730,1.669,123.38,-5.16,25.84,0.02498,0.02,0.9113,0.0,69.0,75.7,58.6,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min, XRPUSDT 1h, ETHUSDT 30min, XRPUSDT 30min, AVAXUSDT 30min, AVAXUSDT 1h"
crowd-gated (H-009 rule),12,36234,1.67,108.4,-3.35,37.86,0.03382,0.02,0.9228,0.0,54.0,58.5,44.7,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min, XRPUSDT 1h, ETHUSDT 30min, XRPUSDT 30min, AVAXUSDT 30min, AVAXUSDT 1h, ADAUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 15min"
crowd-gated (H-009 rule),20,63737,1.567,100.09,-2.45,66.6,0.04275,0.02,0.9582,0.0,44.0,45.9,35.7,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min, XRPUSDT 1h, ETHUSDT 30min, XRPUSDT 30min, AVAXUSDT 30min, AVAXUSDT 1h, ADAUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 15min, SOLUSDT 1h, LINKUSDT 15min, LTCUSDT 30min, DOTUSDT 30min, BTCUSDT 1h, XRPUSDT 15min, ADAUSDT 30min, BTCUSDT 30min"
crowd-gated (H-009 rule),31,99624,1.467,89.45,-2.77,104.1,0.03378,0.02,0.9186,0.0,51.0,55.5,44.8,"DOTUSDT 1h, ETHUSDT 1h, SOLUSDT 30min, XRPUSDT 1h, ETHUSDT 30min, XRPUSDT 30min, AVAXUSDT 30min, AVAXUSDT 1h, ADAUSDT 1h, LINKUSDT 1h, LTCUSDT 1h, SOLUSDT 15min, SOLUSDT 1h, LINKUSDT 15min, LTCUSDT 30min, DOTUSDT 30min, BTCUSDT 1h, XRPUSDT 15min, ADAUSDT 30min, BTCUSDT 30min, BNBUSDT 30min, LINKUSDT 30min, DOGEUSDT 1h, BNBUSDT 1h, AVAXUSDT 15min, ETHUSDT 15min, DOGEUSDT 30min, ADAUSDT 15min, LTCUSDT 15min, BNBUSDT 15min, BTCUSDT 15min"
