symbol,tf,topn,trades,pf_2x,total_r,max_dd_r,tpd,avg_r,K
DOTUSDT,2h,1,533,1.208,59.72,-33.74,0.309,0.112,0.00102
AVAXUSDT,30min,1,544,1.198,64.95,-41.96,0.317,0.1194,0.0009
AVAXUSDT,2h,1,567,1.189,76.69,-62.85,0.328,0.1352,0.00071
DOTUSDT,1h,1,587,1.137,38.5,-45.6,0.341,0.0656,0.00049
AVAXUSDT,2h,3,1747,1.038,14.52,-44.95,1.01,0.0083,0.00019
LINKUSDT,30min,1,794,1.019,6.63,-33.12,0.416,0.0084,0.0001
DOTUSDT,15min,1,592,1.03,11.5,-78.07,0.343,0.0194,9e-05
DOTUSDT,2h,3,1714,1.003,0.77,-45.17,0.992,0.0004,1e-05
ETHUSDT,15min,1,694,1.003,1.76,-71.83,0.363,0.0025,1e-05
ADAUSDT,15min,1,724,0.647,-185.4,-215.26,0.378,-0.2561,
ADAUSDT,15min,3,2187,0.702,-166.22,-177.16,1.142,-0.076,
ADAUSDT,15min,10,7718,0.752,-137.25,-148.36,4.03,-0.0178,
ADAUSDT,1h,1,658,0.878,-38.04,-80.76,0.345,-0.0578,
ADAUSDT,1h,3,2003,0.944,-16.9,-47.76,1.048,-0.0084,
ADAUSDT,1h,10,6877,0.91,-28.13,-44.37,3.599,-0.0041,
ADAUSDT,2h,1,621,0.981,-6.46,-64.16,0.341,-0.0104,
ADAUSDT,2h,3,1915,0.839,-58.74,-84.52,1.004,-0.0307,
ADAUSDT,2h,10,7030,0.864,-47.2,-63.03,3.671,-0.0067,
ADAUSDT,30min,1,706,0.723,-134.01,-151.42,0.369,-0.1898,
ADAUSDT,30min,3,2074,0.747,-125.34,-150.42,1.084,-0.0604,
ADAUSDT,30min,10,7405,0.819,-91.96,-111.98,3.869,-0.0124,
AVAXUSDT,15min,1,689,0.969,-13.43,-79.65,0.398,-0.0195,
AVAXUSDT,15min,3,2282,0.816,-98.65,-107.52,1.318,-0.0432,
AVAXUSDT,15min,10,7911,0.854,-80.56,-87.6,4.565,-0.0102,
AVAXUSDT,1h,1,647,0.883,-64.53,-156.33,0.374,-0.0997,
AVAXUSDT,1h,3,2007,0.828,-84.53,-134.63,1.161,-0.0421,
AVAXUSDT,1h,10,6585,0.893,-40.84,-64.99,3.804,-0.0062,
AVAXUSDT,2h,10,5975,0.994,-1.75,-42.74,3.448,-0.0003,
AVAXUSDT,30min,3,1860,0.979,-6.7,-43.11,1.083,-0.0036,
AVAXUSDT,30min,10,6815,0.956,-15.74,-33.0,3.932,-0.0023,
BNBUSDT,15min,1,759,0.469,-376.47,-381.83,0.397,-0.496,
BNBUSDT,15min,3,2323,0.575,-291.56,-292.95,1.213,-0.1255,
BNBUSDT,15min,10,8310,0.601,-269.95,-272.71,4.339,-0.0325,
BNBUSDT,1h,1,702,0.735,-122.89,-135.84,0.367,-0.1751,
BNBUSDT,1h,3,2225,0.726,-137.65,-150.28,1.164,-0.0619,
BNBUSDT,1h,10,7545,0.73,-127.03,-142.72,3.938,-0.0168,
BNBUSDT,2h,1,660,0.818,-68.37,-105.64,0.345,-0.1036,
BNBUSDT,2h,3,2001,0.813,-70.79,-106.07,1.045,-0.0354,
BNBUSDT,2h,10,7044,0.78,-80.6,-102.32,3.68,-0.0114,
BNBUSDT,30min,1,732,0.6,-213.53,-257.55,0.383,-0.2917,
BNBUSDT,30min,3,2201,0.624,-200.81,-233.77,1.149,-0.0912,
BNBUSDT,30min,10,7594,0.64,-191.44,-214.31,3.966,-0.0252,
BTCUSDT,15min,1,752,0.74,-207.33,-218.75,0.393,-0.2757,
BTCUSDT,15min,3,2355,0.761,-181.34,-186.26,1.231,-0.077,
BTCUSDT,15min,10,8297,0.752,-180.18,-182.36,4.335,-0.0217,
BTCUSDT,1h,1,719,0.834,-67.96,-91.17,0.376,-0.0945,
BTCUSDT,1h,3,2098,0.818,-75.37,-82.33,1.096,-0.0359,
BTCUSDT,1h,10,7352,0.867,-55.84,-64.35,3.839,-0.0076,
BTCUSDT,2h,1,595,0.729,-93.67,-93.67,0.312,-0.1574,
BTCUSDT,2h,3,1968,0.776,-84.33,-88.57,1.029,-0.0429,
BTCUSDT,2h,10,6782,0.75,-86.25,-90.25,3.545,-0.0127,
BTCUSDT,30min,1,658,0.821,-81.97,-88.77,0.345,-0.1246,
BTCUSDT,30min,3,1932,0.865,-66.64,-81.67,1.009,-0.0345,
BTCUSDT,30min,10,7182,0.831,-89.17,-89.91,3.75,-0.0124,
DOGEUSDT,15min,1,703,0.587,-262.96,-271.18,0.407,-0.3741,
