kind,name,n_legs,trades,pf_2x,avg_r,avg_r_per_leg,tpd,max_dd_r,K,risk_pct,pct_per_trade,pct_per_day,risk,pass_rate,killed,median_days,expected_days
width,top-1 x 5 legs,5,1557,1.432,0.05668,0.2834,1.65,-13.13,0.00713,0.609,0.0345,0.057,0.02,0.7934,0.0,238.0,300.0
width,top-1 x 10 legs,10,2988,1.749,0.0477,0.477,3.15,-7.18,0.02092,1.114,0.0531,0.1673,0.02,0.9326,0.0,85.0,91.1
width,top-1 x 20 legs,20,5924,1.593,0.01984,0.3968,6.24,-5.73,0.02158,1.395,0.0277,0.1726,0.02,0.9117,0.0,83.0,91.0
width,top-3 x 5 legs,5,4252,1.892,0.03294,0.1647,4.48,-6.98,0.02113,1.147,0.0378,0.1691,0.02,0.9327,0.0,88.0,94.3
width,top-3 x 10 legs,10,8248,1.616,0.01299,0.1299,8.68,-6.67,0.01692,1.2,0.0156,0.1354,0.02,0.9201,0.0,118.0,128.2
width,top-3 x 20 legs,20,17559,1.582,0.00589,0.1178,18.48,-4.39,0.0248,1.821,0.0107,0.1984,0.02,0.918,0.0,72.0,78.4
width,top-10 x 5 legs,5,16221,1.641,0.00752,0.0376,17.07,-10.86,0.01182,0.736,0.0055,0.0945,0.02,0.8686,0.0,139.0,160.0
width,top-10 x 10 legs,10,29069,1.723,0.0041,0.041,30.57,-4.09,0.03062,1.954,0.008,0.245,0.02,0.9211,0.0,60.0,65.1
width,top-10 x 20 legs,20,59584,1.604,0.00161,0.0323,62.65,-2.57,0.03937,3.114,0.005,0.315,0.02,0.9317,0.0,48.0,51.5
solo,H-017 crypto (top-10 x 20 legs),1,38451,1.698,0.00191,0.0019,60.36,-2.4,0.04793,3.328,0.0064,0.3835,0.02,0.9216,0.0,40.0,43.4
solo,H-009 VWAP+crowd,1,1392,1.408,0.03481,0.0348,2.19,-9.65,0.00788,0.829,0.0288,0.063,0.02,0.7994,0.0,189.5,237.1
solo,H-016 ribbon metals,1,8620,1.328,0.00128,0.0013,13.53,-2.75,0.00627,2.909,0.0037,0.0502,0.02,0.7102,0.0,154.0,216.8
combo,H-009 + H-016,1,10012,1.39,0.00297,0.003,15.72,-5.97,0.00781,1.339,0.004,0.0625,0.02,0.7508,0.0,182.0,242.4
combo,H-009 + H-017,1,39843,1.544,0.00153,0.0015,62.55,-3.61,0.02646,2.213,0.0034,0.2117,0.02,0.8229,0.0,58.0,70.5
combo,H-016 + H-017,1,47071,1.609,0.0009,0.0009,73.89,-1.35,0.04922,5.944,0.0053,0.3938,0.02,0.9498,0.0,39.0,41.1
combo,H-009 + H-016 + H-017,1,48463,1.516,0.00091,0.0009,76.08,-2.73,0.02548,2.932,0.0027,0.2038,0.02,0.8229,0.0,63.0,76.6
