legs,tpd,pf_2x,avg_r,usd_per_trade,usd_per_day,curve_dd_pct,risk_pct,risk,pass_rate,fail_max,fail_daily,still_open,median_days,p25_days,expected_days,max_dd,one_step,sweep
4,1.16,1.545,0.2931,14.65,16.99,-14.66,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0007,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
6,1.98,1.832,0.4887,24.43,48.49,-18.55,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0009,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
8,2.75,1.748,0.4772,23.86,65.5,-27.69,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0014,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
10,3.18,1.738,0.4705,23.52,74.7,-35.9,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0018,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
12,3.72,1.726,0.4657,23.28,86.62,-41.58,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0021,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
17,5.48,1.644,0.4344,21.72,118.94,-54.88,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0027,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
20,6.31,1.629,0.4158,20.79,131.14,-58.77,0.5,0.005,0.0,0.0,0.0,1.0,,,,-0.0029,"{'pass_rate': 0.0, 'fail_max': 0.0, 'fail_daily': 0.0, 'still_open': 1.0, 'median_days': None, 'p25_days': None, 'expected_days': None}",
17,,,,10.86,,-27.44,0.25,0.0025,0.7518,0.1689,0.0521,0.0271,26.0,19.0,34.6,-0.2744,"{'pass_rate': 0.8895, 'fail_max': 0.0647, 'fail_daily': 0.0386, 'still_open': 0.0073, 'median_days': 12.0, 'p25_days': 8.0, 'expected_days': 13.5}",True
17,,,,21.72,,-54.88,0.5,0.005,0.4244,0.0772,0.4859,0.0125,15.0,12.0,35.3,-0.5488,"{'pass_rate': 0.6236, 'fail_max': 0.0657, 'fail_daily': 0.3034, 'still_open': 0.0073, 'median_days': 7.0, 'p25_days': 6.0, 'expected_days': 11.2}",True
17,,,,32.58,,-82.32,0.75,0.0075,0.1992,0.0688,0.732,0.0,13.0,11.0,65.3,-0.8232,"{'pass_rate': 0.4307, 'fail_max': 0.0448, 'fail_daily': 0.5245, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 13.9}",True
17,,,,43.44,,-109.76,1.0,0.01,0.1157,0.0209,0.8634,0.0,13.0,12.0,112.4,-1.0976,"{'pass_rate': 0.3316, 'fail_max': 0.0198, 'fail_daily': 0.6486, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 18.1}",True
17,,,,54.3,,-137.2,1.25,0.0125,0.073,0.0073,0.9197,0.0,12.0,11.25,164.4,-1.372,"{'pass_rate': 0.2513, 'fail_max': 0.0063, 'fail_daily': 0.7424, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 23.9}",True
17,,,,65.16,,-164.64,1.5,0.015,0.0344,0.0052,0.9604,0.0,12.0,11.0,348.8,-1.6464,"{'pass_rate': 0.1794, 'fail_max': 0.0052, 'fail_daily': 0.8154, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 33.4}",True
17,,,,76.02,,-192.08,1.75,0.0175,0.0167,0.0042,0.9791,0.0,12.0,11.75,718.6,-1.9208,"{'pass_rate': 0.146, 'fail_max': 0.0042, 'fail_daily': 0.8498, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 41.1}",True
17,,,,86.88,,-219.51,2.0,0.02,0.0115,0.001,0.9875,0.0,13.0,12.0,1130.4,-2.1951,"{'pass_rate': 0.1241, 'fail_max': 0.001, 'fail_daily': 0.8749, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 48.3}",True
17,,,,108.6,,-274.39,2.5,0.025,0.0031,0.0031,0.9937,0.0,10.0,10.0,3225.8,-2.7439,"{'pass_rate': 0.0907, 'fail_max': 0.0031, 'fail_daily': 0.9062, 'still_open': 0.0, 'median_days': 6.0, 'p25_days': 5.0, 'expected_days': 66.2}",True
17,,,,130.32,,-329.27,3.0,0.03,0.001,0.0,0.999,0.0,10.0,10.0,10000.0,-3.2927,"{'pass_rate': 0.0636, 'fail_max': 0.0, 'fail_daily': 0.9364, 'still_open': 0.0, 'median_days': 5.0, 'p25_days': 5.0, 'expected_days': 78.6}",True
17,,,,173.76,,-439.03,4.0,0.04,0.001,0.0,0.999,0.0,10.0,10.0,10000.0,-4.3903,"{'pass_rate': 0.0386, 'fail_max': 0.0, 'fail_daily': 0.9614, 'still_open': 0.0, 'median_days': 5.0, 'p25_days': 5.0, 'expected_days': 129.5}",True
17,,,,217.2,,-548.79,5.0,0.05,0.001,0.0,0.999,0.0,10.0,10.0,10000.0,-5.4879,"{'pass_rate': 0.0355, 'fail_max': 0.0, 'fail_daily': 0.9645, 'still_open': 0.0, 'median_days': 5.0, 'p25_days': 5.0, 'expected_days': 140.8}",True
