mode,risk_pct,usd_per_trade,pass_rate,median_days,accounts_bought,fee_cost_usd,days_to_funded,n_accounts,median_days_first,hit_rate
sequential,0.25,10.86,0.725,27.5,1.38,44.0,35.0,,,
sequential,0.5,21.72,0.5,15.0,2.0,64.0,23.0,,,
sequential,0.75,32.58,0.2,12.5,5.0,160.0,37.0,,,
sequential,1.0,43.44,0.1125,12.0,8.89,284.0,51.0,,,
sequential,1.5,65.16,0.025,13.0,40.0,1280.0,156.0,,,
sequential,2.0,86.88,0.0125,14.0,80.0,2560.0,278.0,,,
parallel,0.25,,,,,,,1.0,27.5,0.725
parallel,0.25,,,,,,,3.0,27.0,0.863
parallel,0.25,,,,,,,5.0,29.5,0.95
parallel,0.25,,,,,,,10.0,32.0,1.0
parallel,0.5,,,,,,,1.0,15.0,0.5
parallel,0.5,,,,,,,3.0,18.5,0.725
parallel,0.5,,,,,,,5.0,22.0,0.9
parallel,0.5,,,,,,,10.0,24.0,1.0
parallel,0.75,,,,,,,1.0,12.5,0.2
parallel,0.75,,,,,,,3.0,18.0,0.412
parallel,0.75,,,,,,,5.0,23.0,0.6
parallel,0.75,,,,,,,10.0,31.0,0.863
parallel,1.0,,,,,,,1.0,12.0,0.113
parallel,1.0,,,,,,,3.0,17.0,0.25
parallel,1.0,,,,,,,5.0,20.5,0.35
parallel,1.0,,,,,,,10.0,31.0,0.512
parallel,1.5,,,,,,,1.0,13.0,0.025
parallel,1.5,,,,,,,3.0,20.0,0.075
parallel,1.5,,,,,,,5.0,27.0,0.125
parallel,1.5,,,,,,,10.0,44.5,0.25
parallel,2.0,,,,,,,1.0,14.0,0.013
parallel,2.0,,,,,,,3.0,21.0,0.037
parallel,2.0,,,,,,,5.0,28.0,0.062
parallel,2.0,,,,,,,10.0,45.5,0.125
