n_legs,legs,r_per_day,max_dd_r,K,trades,tpd
1,BTCUSDT 1h,0.00832,-50.26537,0.00017,219,0.33032
1,BTCUSDT 30m,0.09385,-19.12647,0.00491,304,0.46554
1,BTCUSDT 4h,0.02855,-13.17311,0.00217,171,0.25792
1,ETHUSDT 15m,0.00962,-20.23529,0.00048,89,0.13526
1,ETHUSDT 1h,0.24908,-21.41357,0.01163,220,0.33283
1,ETHUSDT 30m,0.11859,-31.70591,0.00374,140,0.2118
1,SOLUSDT 4h,0.08928,-9.52721,0.00937,104,0.17247
1,XAUUSD 5m,0.05647,-20.90931,0.0027,221,0.34968
2,BTCUSDT 1h + BTCUSDT 30m,0.0503,-30.9019,0.00163,523,0.78765
2,BTCUSDT 1h + BTCUSDT 4h,0.01841,-26.47999,0.0007,390,0.58735
2,BTCUSDT 1h + ETHUSDT 15m,0.00892,-32.72174,0.00027,308,0.46386
2,BTCUSDT 1h + ETHUSDT 1h,0.12832,-24.76325,0.00518,439,0.66214
2,BTCUSDT 1h + ETHUSDT 30m,0.06328,-20.80491,0.00304,359,0.54148
2,BTCUSDT 1h + SOLUSDT 4h,0.04476,-24.47276,0.00183,323,0.48718
2,BTCUSDT 1h + XAUUSD 5m,0.03098,-34.86151,0.00089,440,0.66165
2,BTCUSDT 30m + BTCUSDT 4h,0.06031,-11.2439,0.00536,475,0.71429
2,BTCUSDT 30m + ETHUSDT 15m,0.05138,-12.95164,0.00397,393,0.59726
2,BTCUSDT 30m + ETHUSDT 1h,0.17012,-18.59469,0.00915,524,0.78916
2,BTCUSDT 30m + ETHUSDT 30m,0.10518,-19.24249,0.00547,444,0.66867
2,BTCUSDT 30m + SOLUSDT 4h,0.08815,-8.94369,0.00986,408,0.62481
2,BTCUSDT 30m + XAUUSD 5m,0.07425,-15.64888,0.00474,525,0.80398
2,BTCUSDT 4h + ETHUSDT 15m,0.01902,-10.45142,0.00182,260,0.39157
2,BTCUSDT 4h + ETHUSDT 1h,0.13844,-11.42382,0.01212,391,0.58974
2,BTCUSDT 4h + ETHUSDT 30m,0.07339,-15.63344,0.00469,311,0.46908
2,BTCUSDT 4h + SOLUSDT 4h,0.05488,-6.16892,0.0089,275,0.41478
2,BTCUSDT 4h + XAUUSD 5m,0.04107,-11.93542,0.00344,392,0.58947
2,ETHUSDT 15m + ETHUSDT 1h,0.12894,-10.41138,0.01238,309,0.46606
2,ETHUSDT 15m + ETHUSDT 30m,0.06389,-21.33262,0.00299,229,0.3454
2,ETHUSDT 15m + SOLUSDT 4h,0.04572,-7.8907,0.00579,193,0.29331
2,ETHUSDT 15m + XAUUSD 5m,0.03188,-17.99294,0.00177,310,0.47041
2,ETHUSDT 1h + ETHUSDT 30m,0.18383,-16.92458,0.01086,360,0.54463
2,ETHUSDT 1h + SOLUSDT 4h,0.16526,-8.5229,0.01939,324,0.49017
2,ETHUSDT 1h + XAUUSD 5m,0.15085,-10.45881,0.01442,441,0.66416
2,ETHUSDT 30m + SOLUSDT 4h,0.10002,-14.40925,0.00694,244,0.36914
2,ETHUSDT 30m + XAUUSD 5m,0.0859,-13.73726,0.00625,361,0.54367
2,SOLUSDT 4h + XAUUSD 5m,0.0694,-9.78062,0.0071,325,0.50388
3,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h,0.04297,-21.09966,0.00204,694,1.04361
3,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m,0.03671,-25.38955,0.00145,612,0.92169
3,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h,0.11618,-19.64678,0.00591,743,1.11898
3,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 30m,0.07289,-16.91864,0.00431,663,0.99849
3,BTCUSDT 1h + BTCUSDT 30m + SOLUSDT 4h,0.06056,-20.16132,0.003,627,0.94428
3,BTCUSDT 1h + BTCUSDT 30m + XAUUSD 5m,0.05137,-27.08715,0.0019,744,1.1188
3,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m,0.01545,-22.82026,0.00068,479,0.72139
3,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h,0.09492,-17.5146,0.00542,610,0.91867
3,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 30m,0.05162,-13.64356,0.00378,530,0.79819
3,BTCUSDT 1h + BTCUSDT 4h + SOLUSDT 4h,0.0393,-16.92493,0.00232,494,0.74398
3,BTCUSDT 1h + BTCUSDT 4h + XAUUSD 5m,0.03014,-23.7394,0.00127,611,0.9188
3,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h,0.0886,-21.67576,0.00409,528,0.79518
3,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 30m,0.0453,-17.7144,0.00256,448,0.6747
3,BTCUSDT 1h + ETHUSDT 15m + SOLUSDT 4h,0.03297,-21.10346,0.00156,412,0.62048
3,BTCUSDT 1h + ETHUSDT 15m + XAUUSD 5m,0.02383,-28.02929,0.00085,529,0.79549
3,BTCUSDT 1h + ETHUSDT 1h + ETHUSDT 30m,0.12496,-14.63917,0.00854,579,0.8733
