symbol,tf,topn,trades,pf_2x,avg_r,tpd,max_dd_r,K
AUDUSD,15min,1,271,0.902,-0.0941,0.425,-89.17,
AUDUSD,15min,3,776,0.793,-0.0672,1.218,-79.77,
AUDUSD,15min,10,2642,0.806,-0.0179,4.148,-69.28,
AUDUSD,1h,1,202,0.787,-0.13,0.318,-27.15,
AUDUSD,1h,3,686,0.728,-0.0569,1.077,-41.03,
AUDUSD,1h,10,2415,0.704,-0.0182,3.791,-45.76,
AUDUSD,2h,1,214,0.899,-0.0565,0.341,-20.01,
AUDUSD,2h,3,646,0.833,-0.0331,1.024,-30.19,
AUDUSD,2h,10,2260,0.817,-0.01,3.582,-28.79,
AUDUSD,30min,1,213,0.621,-0.3464,0.334,-74.58,
AUDUSD,30min,3,643,0.604,-0.1047,1.009,-68.13,
AUDUSD,30min,10,2165,0.609,-0.0298,3.399,-65.05,
EURUSD,15min,1,255,0.767,-0.1751,0.4,-56.13,
EURUSD,15min,3,734,0.881,-0.0259,1.152,-29.97,
EURUSD,15min,10,2762,0.855,-0.0111,4.336,-37.45,
EURUSD,1h,1,271,0.836,-0.1207,0.425,-41.27,
EURUSD,1h,3,808,0.846,-0.0282,1.268,-23.1,
EURUSD,1h,10,2477,0.885,-0.0069,3.889,-20.67,
EURUSD,2h,1,216,0.873,-0.0393,0.34,-15.75,
EURUSD,2h,3,641,0.908,-0.013,1.006,-13.13,
EURUSD,2h,10,2166,0.88,-0.0053,3.4,-12.18,
EURUSD,30min,1,241,0.714,-0.1536,0.378,-37.34,
EURUSD,30min,3,690,0.835,-0.0304,1.083,-24.5,
EURUSD,30min,10,2408,0.831,-0.0098,3.78,-31.09,
GBPUSD,15min,1,291,0.917,-0.0407,0.46,-19.33,
GBPUSD,15min,3,762,0.846,-0.0336,1.204,-40.49,
GBPUSD,15min,10,2725,0.718,-0.0205,4.278,-66.79,
GBPUSD,1h,1,182,0.861,-0.0848,0.286,-22.68,
GBPUSD,1h,3,574,0.811,-0.0355,0.901,-22.09,
GBPUSD,1h,10,2110,0.786,-0.0135,3.312,-30.62,
GBPUSD,2h,1,280,0.783,-0.1748,0.44,-59.15,
GBPUSD,2h,3,933,0.799,-0.0481,1.465,-50.62,
GBPUSD,2h,10,2972,0.798,-0.0121,4.666,-36.78,
GBPUSD,30min,1,229,0.661,-0.2994,0.359,-77.7,
GBPUSD,30min,3,682,0.77,-0.0605,1.071,-55.0,
GBPUSD,30min,10,2387,0.78,-0.0171,3.747,-50.63,
NAS100,15min,1,223,0.623,-0.3959,0.35,-116.64,
NAS100,15min,3,658,0.583,-0.1379,1.033,-103.67,
NAS100,15min,10,2522,0.656,-0.0329,3.959,-97.4,
NAS100,1h,1,224,0.756,-0.1864,0.352,-53.36,
NAS100,1h,3,746,0.689,-0.0873,1.171,-76.46,
NAS100,1h,10,2609,0.723,-0.0213,4.096,-62.83,
NAS100,2h,1,215,0.78,-0.2221,0.338,-87.45,
NAS100,2h,3,707,0.887,-0.0343,1.11,-69.84,
NAS100,2h,10,2266,0.868,-0.0097,3.557,-45.2,
NAS100,30min,1,211,0.662,-0.3085,0.331,-79.72,
NAS100,30min,3,688,0.629,-0.1073,1.08,-87.59,
NAS100,30min,10,2176,0.769,-0.0195,3.416,-55.56,
NZDUSD,15min,1,227,0.829,-0.1491,0.356,-61.03,
NZDUSD,15min,3,774,0.819,-0.0545,1.215,-55.46,
NZDUSD,15min,10,2706,0.708,-0.0244,4.248,-73.59,
NZDUSD,1h,1,223,0.568,-0.2192,0.35,-51.91,
NZDUSD,1h,3,631,0.722,-0.0551,0.991,-48.5,
NZDUSD,1h,10,2337,0.65,-0.0182,3.669,-46.37,
NZDUSD,2h,1,256,0.844,-0.0965,0.402,-38.23,
NZDUSD,2h,3,801,0.762,-0.0385,1.257,-36.54,
NZDUSD,2h,10,2661,0.707,-0.0123,4.177,-35.01,
NZDUSD,30min,1,269,0.517,-0.3284,0.422,-95.64,
NZDUSD,30min,3,733,0.547,-0.1149,1.151,-87.31,
NZDUSD,30min,10,2735,0.508,-0.0335,4.294,-95.43,
SPX500,15min,1,235,0.54,-0.3408,0.369,-80.19,
SPX500,15min,3,758,0.586,-0.1135,1.19,-86.45,
SPX500,15min,10,2774,0.547,-0.0384,4.355,-106.8,
SPX500,1h,1,197,1.044,0.0273,0.309,-22.86,0.00037
SPX500,1h,3,617,0.991,-0.0018,0.969,-18.28,
SPX500,1h,10,2057,0.859,-0.0095,3.229,-25.72,
SPX500,2h,1,208,0.863,-0.0985,0.33,-37.32,
SPX500,2h,3,650,0.864,-0.0341,1.02,-36.4,
SPX500,2h,10,2233,0.772,-0.0155,3.505,-36.32,
SPX500,30min,1,565,0.871,-0.0579,0.887,-67.14,
SPX500,30min,3,1028,0.773,-0.047,1.614,-73.52,
SPX500,30min,10,3091,0.715,-0.0185,4.852,-75.25,
US30,15min,1,238,0.664,-0.343,0.374,-85.1,
US30,15min,3,677,0.641,-0.1161,1.064,-78.61,
US30,15min,10,2311,0.752,-0.0226,3.628,-58.15,
US30,1h,1,255,0.692,-0.1789,0.402,-47.25,
US30,1h,3,778,0.83,-0.0295,1.223,-24.05,
US30,1h,10,2906,0.781,-0.0095,4.562,-28.64,
US30,2h,1,213,0.982,-0.0105,0.335,-33.87,
US30,2h,3,743,0.778,-0.0402,1.166,-41.15,
US30,2h,10,2749,0.796,-0.0092,4.316,-29.72,
