stage,universe,criterion,n_legs,risk_pct,pass_rate,median_days,allin_days,accounts,fee_usd,book,trades,tpd,pf_2x,best_seed
fit,crypto only,K,4.0,0.25,1.0,74.5,74.5,1.0,32.0,,,,,
fit,crypto only,K,4.0,0.5,1.0,50.0,50.0,1.0,32.0,,,,,
fit,crypto only,K,4.0,0.75,0.95,38.5,39.0,1.05,34.0,,,,,
fit,crypto only,K,4.0,1.0,0.95,35.0,35.5,1.05,34.0,,,,,
fit,crypto only,K,4.0,1.5,0.8875,30.0,31.2,1.13,36.0,,,,,
fit,crypto only,K,6.0,0.25,1.0,47.5,47.5,1.0,32.0,,,,,
fit,crypto only,K,6.0,0.5,1.0,28.5,28.5,1.0,32.0,,,,,
fit,crypto only,K,6.0,0.75,0.775,19.0,29.9,1.29,41.0,,,,,
fit,crypto only,K,6.0,1.0,0.625,17.0,27.9,1.6,51.0,,,,,
fit,crypto only,K,6.0,1.5,0.4,16.0,31.6,2.5,80.0,,,,,
fit,crypto only,K,8.0,0.25,1.0,36.0,36.0,1.0,32.0,,,,,
fit,crypto only,K,8.0,0.5,0.8625,21.0,23.8,1.16,37.0,,,,,
fit,crypto only,K,8.0,0.75,0.6625,16.0,28.1,1.51,48.0,,,,,
fit,crypto only,K,8.0,1.0,0.5125,14.0,28.9,1.95,62.0,,,,,
fit,crypto only,K,8.0,1.5,0.2,14.0,46.1,5.0,160.0,,,,,
fit,crypto only,K,10.0,0.25,1.0,35.5,35.5,1.0,32.0,,,,,
fit,crypto only,K,10.0,0.5,0.8125,18.0,22.2,1.23,39.0,,,,,
fit,crypto only,K,10.0,0.75,0.675,15.0,26.9,1.48,47.0,,,,,
fit,crypto only,K,10.0,1.0,0.5125,14.0,28.2,1.95,62.0,,,,,
fit,crypto only,K,10.0,1.5,0.2,13.5,44.9,5.0,160.0,,,,,
fit,crypto only,K,12.0,0.25,1.0,29.5,29.5,1.0,32.0,,,,,
fit,crypto only,K,12.0,0.5,0.7875,17.0,21.5,1.27,41.0,,,,,
fit,crypto only,K,12.0,0.75,0.6125,14.0,27.2,1.63,52.0,,,,,
fit,crypto only,K,12.0,1.0,0.4875,14.0,25.6,2.05,66.0,,,,,
fit,crypto only,K,12.0,1.5,0.2,13.0,41.4,5.0,160.0,,,,,
fit,crypto only,K,14.0,0.25,0.9625,24.0,25.0,1.04,33.0,,,,,
fit,crypto only,K,14.0,0.5,0.7875,15.0,17.7,1.27,41.0,,,,,
fit,crypto only,K,14.0,0.75,0.4625,14.0,24.9,2.16,69.0,,,,,
fit,crypto only,K,14.0,1.0,0.225,12.5,36.3,4.44,142.0,,,,,
fit,crypto only,K,14.0,1.5,0.1,12.5,51.9,10.0,320.0,,,,,
fit,crypto only,K,17.0,0.25,0.9125,20.0,21.5,1.1,35.0,,,,,
fit,crypto only,K,17.0,0.5,0.5625,13.0,21.5,1.78,57.0,,,,,
fit,crypto only,K,17.0,0.75,0.325,12.0,26.5,3.08,98.0,,,,,
fit,crypto only,K,17.0,1.0,0.225,11.5,27.8,4.44,142.0,,,,,
fit,crypto only,K,17.0,1.5,0.1,10.0,42.6,10.0,320.0,,,,,
fit,crypto only,K,20.0,0.25,0.9375,20.0,21.0,1.07,34.0,,,,,
fit,crypto only,K,20.0,0.5,0.5375,13.0,22.2,1.86,60.0,,,,,
fit,crypto only,K,20.0,0.75,0.3375,12.0,25.7,2.96,95.0,,,,,
fit,crypto only,K,20.0,1.0,0.225,11.5,27.9,4.44,142.0,,,,,
fit,crypto only,K,20.0,1.5,0.1,11.0,43.6,10.0,320.0,,,,,
fit,crypto only,K,25.0,0.25,0.9375,17.0,18.0,1.07,34.0,,,,,
fit,crypto only,K,25.0,0.5,0.4625,12.0,22.8,2.16,69.0,,,,,
fit,crypto only,K,25.0,0.75,0.2625,12.0,29.7,3.81,122.0,,,,,
fit,crypto only,K,25.0,1.0,0.1375,11.0,39.1,7.27,233.0,,,,,
fit,crypto only,K,25.0,1.5,0.0875,12.0,51.1,11.43,366.0,,,,,
fit,crypto only,K,30.0,0.25,0.7875,16.0,20.3,1.27,41.0,,,,,
fit,crypto only,K,30.0,0.5,0.2625,12.0,30.8,3.81,122.0,,,,,
fit,crypto only,K,30.0,0.75,0.0875,10.0,59.3,11.43,366.0,,,,,
fit,crypto only,K,30.0,1.0,0.075,10.0,58.7,13.33,427.0,,,,,
fit,crypto only,K,30.0,1.5,0.0125,12.0,299.0,80.0,2560.0,,,,,
fit,crypto only,sharpe,4.0,0.25,1.0,69.5,69.5,1.0,32.0,,,,,
fit,crypto only,sharpe,4.0,0.5,1.0,42.5,42.5,1.0,32.0,,,,,
fit,crypto only,sharpe,4.0,0.75,0.9,36.0,38.4,1.11,36.0,,,,,
fit,crypto only,sharpe,4.0,1.0,0.675,23.5,40.0,1.48,47.0,,,,,
fit,crypto only,sharpe,4.0,1.5,0.5125,20.0,35.2,1.95,62.0,,,,,
fit,crypto only,sharpe,6.0,0.25,1.0,44.0,44.0,1.0,32.0,,,,,
fit,crypto only,sharpe,6.0,0.5,0.8625,24.0,27.9,1.16,37.0,,,,,
fit,crypto only,sharpe,6.0,0.75,0.7125,18.0,29.5,1.4,45.0,,,,,
fit,crypto only,sharpe,6.0,1.0,0.6375,16.0,25.5,1.57,50.0,,,,,
fit,crypto only,sharpe,6.0,1.5,0.2875,16.0,38.4,3.48,111.0,,,,,
fit,crypto only,sharpe,8.0,0.25,1.0,38.5,38.5,1.0,32.0,,,,,
fit,crypto only,sharpe,8.0,0.5,0.825,21.0,25.5,1.21,39.0,,,,,
fit,crypto only,sharpe,8.0,0.75,0.625,16.0,30.1,1.6,51.0,,,,,
fit,crypto only,sharpe,8.0,1.0,0.525,14.5,28.5,1.9,61.0,,,,,
fit,crypto only,sharpe,8.0,1.5,0.2125,14.0,43.8,4.71,151.0,,,,,
fit,crypto only,sharpe,10.0,0.25,1.0,35.0,35.0,1.0,32.0,,,,,
fit,crypto only,sharpe,10.0,0.5,0.7875,19.0,24.2,1.27,41.0,,,,,
fit,crypto only,sharpe,10.0,0.75,0.6,15.0,30.0,1.67,53.0,,,,,
fit,crypto only,sharpe,10.0,1.0,0.525,14.0,24.8,1.9,61.0,,,,,
fit,crypto only,sharpe,10.0,1.5,0.25,14.0,35.1,4.0,128.0,,,,,
fit,crypto only,sharpe,12.0,0.25,0.95,26.5,28.1,1.05,34.0,,,,,
fit,crypto only,sharpe,12.0,0.5,0.725,16.0,24.2,1.38,44.0,,,,,
fit,crypto only,sharpe,12.0,0.75,0.5,13.5,27.3,2.0,64.0,,,,,
fit,crypto only,sharpe,12.0,1.0,0.3375,13.0,31.0,2.96,95.0,,,,,
fit,crypto only,sharpe,12.0,1.5,0.1375,13.0,46.5,7.27,233.0,,,,,
fit,crypto only,sharpe,14.0,0.25,0.9375,21.0,22.9,1.07,34.0,,,,,
fit,crypto only,sharpe,14.0,0.5,0.6375,14.0,22.1,1.57,50.0,,,,,
fit,crypto only,sharpe,14.0,0.75,0.3875,14.0,27.1,2.58,83.0,,,,,
fit,crypto only,sharpe,14.0,1.0,0.225,12.5,33.0,4.44,142.0,,,,,
fit,crypto only,sharpe,14.0,1.5,0.075,11.5,68.7,13.33,427.0,,,,,
fit,crypto only,sharpe,17.0,0.25,0.9625,21.0,21.8,1.04,33.0,,,,,
fit,crypto only,sharpe,17.0,0.5,0.6625,14.0,19.7,1.51,48.0,,,,,
fit,crypto only,sharpe,17.0,0.75,0.275,12.5,30.1,3.64,116.0,,,,,
fit,crypto only,sharpe,17.0,1.0,0.1375,11.0,47.9,7.27,233.0,,,,,
fit,crypto only,sharpe,17.0,1.5,0.0875,11.0,56.4,11.43,366.0,,,,,
fit,crypto only,sharpe,20.0,0.25,1.0,20.0,20.0,1.0,32.0,,,,,
fit,crypto only,sharpe,20.0,0.5,0.6,14.0,21.0,1.67,53.0,,,,,
fit,crypto only,sharpe,20.0,0.75,0.25,13.0,32.3,4.0,128.0,,,,,
fit,crypto only,sharpe,20.0,1.0,0.15,12.0,43.8,6.67,213.0,,,,,
fit,crypto only,sharpe,20.0,1.5,0.0875,11.0,57.1,11.43,366.0,,,,,
fit,crypto only,sharpe,25.0,0.25,0.9,16.0,17.7,1.11,36.0,,,,,
fit,crypto only,sharpe,25.0,0.5,0.3875,13.0,24.3,2.58,83.0,,,,,
fit,crypto only,sharpe,25.0,0.75,0.175,11.0,35.4,5.71,183.0,,,,,
fit,crypto only,sharpe,25.0,1.0,0.0875,10.0,55.4,11.43,366.0,,,,,
fit,crypto only,sharpe,25.0,1.5,0.0625,10.0,66.6,16.0,512.0,,,,,
fit,crypto only,sharpe,30.0,0.25,0.85,16.0,18.8,1.18,38.0,,,,,
fit,crypto only,sharpe,30.0,0.5,0.25,12.0,31.1,4.0,128.0,,,,,
fit,crypto only,sharpe,30.0,0.75,0.1,11.5,55.4,10.0,320.0,,,,,
fit,crypto only,sharpe,30.0,1.0,0.05,13.0,91.2,20.0,640.0,,,,,
fit,crypto only,sharpe,30.0,1.5,0.0125,10.0,306.0,80.0,2560.0,,,,,
fit,crypto only,total_r,4.0,0.25,1.0,55.0,55.0,1.0,32.0,,,,,
