stage,w_h016,risk_pct,pass_rate,median_days,allin_days,book
fit,0.0,0.25,0.0714,175.5,2515.5,
fit,0.0,0.5,1.0,113.5,113.5,
fit,0.0,0.75,1.0,83.5,83.5,
fit,0.0,1.0,1.0,67.5,67.5,
fit,0.25,0.5,0.9643,142.0,148.7,
fit,0.25,0.75,1.0,107.5,107.5,
fit,0.25,1.0,1.0,84.5,84.5,
fit,0.5,0.5,0.0714,175.5,2515.5,
fit,0.5,0.75,1.0,147.0,147.0,
fit,0.5,1.0,1.0,113.5,113.5,
fit,0.75,1.0,0.0714,176.0,2516.0,
test,0.0,1.0,1.0,109.5,109.5,H-017 alone
test,1.0,1.0,0.25,141.0,681.0,H-016 alone
test,0.0,1.0,1.0,109.5,109.5,blend w=0.00 (chosen)
