feature,form,horizon_bars,horizon_min,ic,spread_bps,net_bps,n
imb,raw,1,5,-0.01337,-0.96,-27.04,468571
imb,xs,1,5,-0.00464,-0.36,-27.64,468571
imb_z,raw,1,5,-0.01668,-1.26,-26.74,468439
imb_z,xs,1,5,-0.00625,-0.5,-27.5,468439
taker_ratio_z,raw,1,5,-0.0005,0.03,-27.97,434273
taker_ratio_z,xs,1,5,-0.00071,-0.14,-27.86,434273
crowd_z,raw,1,5,-0.00732,-0.47,-27.53,462988
crowd_z,xs,1,5,-0.00212,-0.15,-27.85,462988
top_z,raw,1,5,-0.00244,-0.28,-27.72,383884
top_z,xs,1,5,-0.00278,-0.31,-27.69,383884
disagree,raw,1,5,0.00304,0.22,-27.78,383871
disagree,xs,1,5,0.00014,0.06,-27.94,383871
dcrowd_15m,raw,1,5,-0.01501,-1.11,-26.89,463219
dcrowd_15m,xs,1,5,-0.00721,-0.41,-27.59,463219
dcrowd_1h,raw,1,5,-0.01107,-0.83,-27.17,463158
dcrowd_1h,xs,1,5,-0.00219,-0.29,-27.71,463158
dcrowd_6h,raw,1,5,0.00012,-0.48,-27.52,463036
dcrowd_6h,xs,1,5,0.00163,-0.32,-27.68,463036
doi_1h,raw,1,5,-0.00969,-0.18,-27.82,468226
doi_1h,xs,1,5,-0.00448,-0.1,-27.9,468226
doi_z,raw,1,5,-0.00719,-0.21,-27.79,468090
doi_z,xs,1,5,-0.00161,-0.07,-27.93,468090
oi_price,raw,1,5,0.00742,0.22,-27.78,468226
oi_price,xs,1,5,0.00336,0.13,-27.87,468226
premium_z,raw,1,5,-0.01701,-0.53,-27.47,467226
premium_z,xs,1,5,-0.01389,-0.91,-27.09,467226
imb,raw,3,15,-0.01233,-1.44,-26.56,468563
imb,xs,3,15,-0.00372,-0.56,-27.44,468563
imb_z,raw,3,15,-0.01532,-1.98,-26.02,468431
imb_z,xs,3,15,-0.00515,-0.7,-27.3,468431
taker_ratio_z,raw,3,15,-0.00621,-0.76,-27.24,434265
taker_ratio_z,xs,3,15,-0.00178,-0.22,-27.78,434265
crowd_z,raw,3,15,-0.00642,-0.83,-27.17,462980
crowd_z,xs,3,15,-0.00099,-0.15,-27.85,462980
top_z,raw,3,15,-0.00299,-0.32,-27.68,383876
top_z,xs,3,15,-0.00291,-0.5,-27.5,383876
disagree,raw,3,15,0.00263,0.35,-27.65,383863
disagree,xs,3,15,-0.00091,-0.19,-27.81,383863
dcrowd_15m,raw,3,15,-0.00759,-1.37,-26.63,463211
dcrowd_15m,xs,3,15,-0.00432,-0.66,-27.34,463211
dcrowd_1h,raw,3,15,-0.00572,-1.13,-26.87,463150
dcrowd_1h,xs,3,15,-0.00055,-0.45,-27.55,463150
dcrowd_6h,raw,3,15,-0.00174,-0.7,-27.3,463028
dcrowd_6h,xs,3,15,0.00161,-0.31,-27.69,463028
doi_1h,raw,3,15,-0.00666,-0.02,-27.98,468218
doi_1h,xs,3,15,-0.00281,-0.04,-27.96,468218
doi_z,raw,3,15,-0.00304,-0.19,-27.81,468082
doi_z,xs,3,15,-0.00141,-0.14,-27.86,468082
oi_price,raw,3,15,0.00626,0.24,-27.76,468218
oi_price,xs,3,15,0.00308,0.29,-27.71,468218
premium_z,raw,3,15,-0.01672,-1.58,-26.42,467218
premium_z,xs,3,15,-0.01229,-1.44,-26.56,467218
imb,raw,6,30,-0.00992,-1.57,-26.43,468559
imb,xs,6,30,-0.00376,-0.69,-27.31,468559
imb_z,raw,6,30,-0.01234,-2.1,-25.9,468427
imb_z,xs,6,30,-0.00456,-0.83,-27.17,468427
taker_ratio_z,raw,6,30,0.00015,0.04,-27.96,434262
taker_ratio_z,xs,6,30,-0.00134,-0.15,-27.85,434262
crowd_z,raw,6,30,-0.00748,-1.11,-26.89,462976
crowd_z,xs,6,30,-0.00084,-0.23,-27.77,462976
top_z,raw,6,30,-0.0037,-0.84,-27.16,383873
top_z,xs,6,30,-0.00333,-0.7,-27.3,383873
disagree,raw,6,30,0.00248,0.18,-27.82,383860
disagree,xs,6,30,-0.00097,-0.31,-27.69,383860
dcrowd_15m,raw,6,30,-0.0072,-2.35,-25.65,463207
dcrowd_15m,xs,6,30,-0.00127,-0.88,-27.12,463207
dcrowd_1h,raw,6,30,-0.00459,-1.72,-26.28,463146
dcrowd_1h,xs,6,30,0.00239,-0.18,-27.82,463146
dcrowd_6h,raw,6,30,-0.00334,-0.92,-27.08,463024
dcrowd_6h,xs,6,30,0.00147,-0.15,-27.85,463024
doi_1h,raw,6,30,-0.01219,-1.03,-26.97,468214
doi_1h,xs,6,30,-0.00386,0.08,-27.92,468214
doi_z,raw,6,30,-0.00773,-0.81,-27.19,468078
doi_z,xs,6,30,-0.00153,-0.14,-27.86,468078
oi_price,raw,6,30,0.0055,0.59,-27.41,468214
oi_price,xs,6,30,0.00436,0.55,-27.45,468214
premium_z,raw,6,30,-0.01918,-2.75,-25.25,467214
premium_z,xs,6,30,-0.01345,-2.03,-25.97,467214
imb,raw,12,60,-0.00549,-1.07,-26.93,468539
imb,xs,12,60,-0.00223,-0.47,-27.53,468539
imb_z,raw,12,60,-0.00784,-1.9,-26.1,468407
imb_z,xs,12,60,-0.00268,-0.53,-27.47,468407
taker_ratio_z,raw,12,60,0.00161,0.25,-27.75,434247
taker_ratio_z,xs,12,60,-0.00031,-0.28,-27.72,434247
