symbol,tf,crit,trades,pf,pf_2x,tpd,total_r_2x,max_dd_r,K,r_per_day,days_est
AUDUSD,15min,K,2615,0.953,0.81,4.105,-44.63,-64.59,,-0.0701,
AUDUSD,15min,pf,2642,0.95,0.806,4.148,-47.22,-69.28,,-0.0741,
AUDUSD,5min,K,2303,0.867,0.72,3.615,-66.07,-71.3,,-0.1037,
AUDUSD,5min,pf,2546,0.879,0.73,3.997,-63.44,-68.76,,-0.0996,
EURUSD,15min,K,2627,1.067,0.897,4.124,-18.35,-24.94,,-0.0288,
EURUSD,15min,pf,2762,1.026,0.855,4.336,-30.73,-37.45,,-0.0482,
EURUSD,5min,K,2823,0.957,0.803,4.432,-43.75,-54.83,,-0.0687,
EURUSD,5min,pf,3132,0.969,0.817,4.917,-42.2,-58.71,,-0.0663,
GBPUSD,15min,K,2774,0.818,0.688,4.355,-60.12,-68.01,,-0.0944,
GBPUSD,15min,pf,2725,0.863,0.718,4.278,-55.73,-66.79,,-0.0875,
GBPUSD,5min,K,2611,0.878,0.728,4.099,-64.66,-64.88,,-0.1015,
GBPUSD,5min,pf,2794,0.881,0.732,4.386,-63.29,-63.51,,-0.0994,
NAS100,15min,K,2783,0.773,0.656,4.369,-89.55,-102.95,,-0.1406,
NAS100,15min,pf,2522,0.77,0.656,3.959,-82.92,-97.4,,-0.1302,
NAS100,5min,K,2478,0.76,0.648,3.89,-83.07,-86.57,,-0.1304,
NAS100,5min,pf,2398,0.769,0.648,3.765,-85.01,-92.01,,-0.1335,
NZDUSD,15min,K,2273,0.871,0.718,3.568,-63.13,-68.91,,-0.0991,
NZDUSD,15min,pf,2706,0.86,0.708,4.248,-65.95,-73.59,,-0.1035,
NZDUSD,5min,K,1617,0.888,0.707,2.538,-85.11,-111.65,,-0.1336,
NZDUSD,5min,pf,3054,0.856,0.68,4.794,-105.1,-108.03,,-0.165,
SPX500,15min,K,2452,0.744,0.623,3.849,-80.79,-81.1,,-0.1268,
SPX500,15min,pf,2774,0.656,0.547,4.355,-106.47,-106.8,,-0.1671,
SPX500,5min,K,2598,0.772,0.65,4.078,-73.47,-75.7,,-0.1153,
SPX500,5min,pf,2537,0.791,0.666,3.983,-68.18,-70.39,,-0.107,
US30,15min,K,2435,0.921,0.771,3.823,-47.47,-53.5,,-0.0745,
US30,15min,pf,2311,0.9,0.752,3.628,-52.14,-58.15,,-0.0818,
US30,5min,K,1980,0.802,0.672,3.118,-75.76,-81.8,,-0.1193,
US30,5min,pf,2654,0.793,0.664,4.18,-80.4,-86.29,,-0.1266,
USDCAD,15min,K,218,0.734,0.582,0.402,-70.5,-86.67,,-0.1301,
USDCAD,15min,pf,2507,0.794,0.616,3.936,-94.36,-101.16,,-0.1481,
USDCAD,5min,K,250,0.958,0.757,0.393,-47.41,-62.09,,-0.0745,
USDCAD,5min,pf,3223,0.725,0.561,5.068,-156.36,-169.67,,-0.2458,
USDCHF,15min,K,2209,0.679,0.547,3.468,-91.91,-91.91,,-0.1443,
USDCHF,15min,pf,2721,0.715,0.571,4.272,-82.76,-82.76,,-0.1299,
USDCHF,5min,K,1167,0.777,0.637,2.57,-53.22,-59.82,,-0.1172,
USDCHF,5min,pf,2751,0.71,0.575,4.325,-105.51,-106.05,,-0.1659,
USDJPY,15min,K,3906,0.792,0.659,6.132,-58.28,-62.31,,-0.0915,
USDJPY,15min,pf,3256,0.77,0.642,5.111,-71.5,-75.09,,-0.1122,
USDJPY,5min,K,3386,0.804,0.674,5.316,-93.78,-98.72,,-0.1472,
USDJPY,5min,pf,2892,0.875,0.728,4.54,-68.54,-74.55,,-0.1076,
WTI,15min,K,2568,1.015,0.865,4.031,-23.11,-34.29,,-0.0363,
WTI,15min,pf,2438,1.032,0.872,3.827,-23.21,-33.62,,-0.0364,
WTI,5min,K,2208,1.055,0.9,3.466,-18.12,-32.59,,-0.0284,
WTI,5min,pf,2221,1.061,0.899,3.487,-17.59,-29.92,,-0.0276,
XAGUSD,15min,K,2402,1.032,0.926,3.771,-13.89,-31.79,,-0.0218,
XAGUSD,15min,pf,2197,1.057,0.949,3.449,-9.6,-26.27,,-0.0151,
XAGUSD,5min,K,2511,1.117,0.994,3.973,-1.25,-34.29,,-0.002,
XAGUSD,5min,pf,2249,1.234,1.103,3.531,21.02,-26.84,0.00123,0.033,1321.7
XAUUSD,15min,K,2761,1.396,1.235,4.362,44.59,-18.61,0.00378,0.0704,429.3
XAUUSD,15min,pf,2622,1.449,1.279,4.142,56.65,-18.84,0.00475,0.0895,342.1
XAUUSD,5min,K,2615,1.564,1.403,4.112,64.69,-12.91,0.00788,0.1017,206.2
XAUUSD,5min,pf,2447,1.614,1.434,3.847,74.04,-16.46,0.00707,0.1164,229.8
