gates,n_gates,trades,pf_2x,total_r,maxdd_r,r_per_day,ret_dd,K,tpd,risk,pass_rate,median_days,expected_days,control_ret_dd
H-009 baseline,1.0,3581.0,1.767,1769.46,-59.03,1.0596,29.97,0.01795,2.144,0.0025,0.8378,48.0,57.3,
sys,2.0,2435.0,1.918,1336.86,-39.76,0.8005,33.62,0.02013,1.458,0.0025,0.8594,77.0,89.6,21.39
oi,2.0,2103.0,1.887,1135.49,-37.33,0.6803,30.42,0.01822,1.26,0.0025,0.8521,87.0,102.1,29.15
premium,2.0,1868.0,1.655,768.8,-43.01,0.4604,17.87,0.0107,1.119,0.0025,0.7822,101.0,129.1,33.16
flowgap,2.0,2250.0,1.834,1137.0,-35.67,0.6808,31.88,0.01909,1.347,0.0025,0.9013,91.0,101.0,30.14
sys+oi,3.0,1572.0,1.992,877.16,-25.62,0.5256,34.24,0.02052,0.942,0.0025,0.8497,125.0,147.1,
sys+premium,3.0,1269.0,1.899,641.92,-37.68,0.3844,17.04,0.0102,0.76,0.0025,0.751,134.0,178.4,
sys+flowgap,3.0,1699.0,2.116,1048.79,-30.0,0.628,34.95,0.02093,1.017,0.0025,0.8929,108.0,121.0,
oi+premium,3.0,1141.0,1.823,554.02,-38.1,0.3319,14.54,0.00871,0.684,0.0025,0.7796,151.0,193.7,
oi+flowgap,3.0,1489.0,2.017,854.65,-27.0,0.5121,31.65,0.01897,0.892,0.0025,0.8162,117.0,143.3,
premium+flowgap,3.0,1230.0,1.726,521.44,-36.25,0.3122,14.38,0.00861,0.737,0.0025,0.5739,133.0,231.7,
sys+oi+premium,4.0,868.0,1.995,462.32,-28.78,0.277,16.06,0.00962,0.52,0.0025,0.6126,167.0,272.6,
sys+oi+flowgap,4.0,1236.0,2.234,790.55,-28.43,0.4788,27.81,0.01684,0.749,0.0025,0.7241,111.0,153.3,
sys+premium+flowgap,4.0,936.0,2.128,545.8,-27.29,0.3268,20.0,0.01197,0.56,0.0025,0.5536,134.0,242.1,
oi+premium+flowgap,4.0,866.0,1.914,428.85,-36.32,0.2579,11.81,0.0071,0.521,0.0025,0.5664,158.0,279.0,
sys+oi+premium+flowgap,5.0,733.0,2.152,423.15,-33.74,0.2563,12.54,0.0076,0.444,0.0025,0.5154,143.5,278.4,
sys+flowgap [first half],3.0,903.0,2.617,732.36,-25.81,0.8802,28.37,0.0341,1.085,,,,,
sys+flowgap [second half],3.0,796.0,1.65,316.44,-23.17,0.3781,13.66,0.01632,0.951,,,,,
sys+flowgap [null mean],,,,,,,18.92,,,,,,,
