book,n_gates,trades,pf_2x,total_r,maxdd_r,r_per_day,ret_dd,K,tpd,risk,pass_rate,killed,median_days,expected_days
H-002 ungated,0.0,4993.0,1.486,1684.21,-92.28,1.0079,18.25,0.01092,2.988,0.015,0.8272,0.0,196.0,236.9
H-009 (crowd gate),1.0,3581.0,1.767,1769.46,-59.03,1.0596,29.97,0.01795,2.144,0.02,0.927,0.0269,98.0,105.7
sys,2.0,2885.0,1.724,1323.32,-34.15,0.7924,38.74,0.0232,1.728,0.01,0.8737,0.0,142.0,162.5
oi,2.0,1679.0,1.653,688.65,-29.84,0.4139,23.08,0.01387,1.009,0.0175,0.8169,0.0,145.0,177.5
premium,2.0,1680.0,1.718,770.92,-29.06,0.4619,26.53,0.0159,1.007,0.0125,0.8557,0.0,163.0,190.5
flowgap,2.0,2156.0,1.666,961.47,-46.64,0.5761,20.61,0.01235,1.292,0.0175,0.9096,0.0401,148.0,162.7
sys+oi,3.0,1344.0,1.64,533.87,-28.59,0.3208,18.67,0.01122,0.808,0.015,0.6879,0.0,196.0,284.9
sys+premium,3.0,1309.0,1.685,568.1,-28.59,0.3416,19.87,0.01195,0.787,0.01,0.6791,0.0,220.0,324.0
sys+flowgap,3.0,1696.0,1.684,768.54,-33.36,0.4616,23.04,0.01384,1.019,0.0125,0.7307,0.0,166.0,227.2
oi+premium,3.0,871.0,1.541,301.74,-23.42,0.1821,12.89,0.00778,0.526,0.0075,0.2141,0.0,340.0,1588.0
oi+flowgap,3.0,1056.0,1.571,398.14,-36.24,0.2393,10.99,0.0066,0.635,0.0175,0.6519,0.0,217.0,332.9
premium+flowgap,3.0,1080.0,1.665,484.33,-33.52,0.2914,14.45,0.00869,0.65,0.015,0.7571,0.0,224.0,295.9
sys+oi+premium,4.0,655.0,1.507,213.41,-28.59,0.13,7.46,0.00455,0.399,0.0125,0.2228,0.0,298.5,1339.8
sys+oi+flowgap,4.0,815.0,1.577,306.88,-28.59,0.1844,10.73,0.00645,0.49,0.0125,0.5204,0.0,257.0,493.9
sys+premium+flowgap,4.0,818.0,1.646,360.77,-30.48,0.2179,11.84,0.00715,0.494,0.0175,0.6989,0.0,240.0,343.4
oi+premium+flowgap,4.0,594.0,1.476,192.66,-20.91,0.1163,9.21,0.00556,0.358,0.0025,0.0,0.0,,
sys+oi+premium+flowgap,5.0,431.0,1.475,141.5,-28.59,0.0862,4.95,0.00302,0.263,0.0125,0.0116,0.0,378.0,32586.2
H-009 [first half],1.0,1761.0,2.072,1182.46,-44.1,1.4212,26.82,0.03223,2.117,0.02,0.9604,0.018,61.0,63.5
sys [first half],2.0,1488.0,2.032,934.98,-33.23,1.1238,28.14,0.03382,1.788,0.0175,0.946,0.012,62.0,65.5
H-009 [second half],1.0,1820.0,1.488,587.01,-52.78,0.7013,11.12,0.01329,2.174,0.015,0.852,0.0477,154.0,180.8
sys [second half],2.0,1397.0,1.422,388.34,-34.28,0.464,11.33,0.01354,1.669,0.01,0.7482,0.0,239.0,319.4
sys [null mean],,,,,,,,0.01656,,,,,,140.8
