risk,deploy,n_accounts,k_needed,median_days
0.005,pooled,1,1,293.0
0.005,pooled,3,1,293.0
0.005,pooled,5,1,293.0
0.005,pooled,10,1,293.0
0.005,pooled,20,1,297.5
0.005,split,1,1,
0.005,split,3,1,
0.005,split,5,1,310.5
0.005,split,10,1,310.5
0.005,split,20,1,311.0
0.01,pooled,1,1,240.0
0.01,pooled,3,1,242.0
0.01,pooled,5,1,245.5
0.01,pooled,10,1,247.5
0.01,pooled,20,1,248.0
0.01,split,1,1,
0.01,split,3,1,232.0
0.01,split,5,1,190.0
0.01,split,10,1,184.0
0.01,split,20,1,184.0
0.015,pooled,1,1,185.0
0.015,pooled,3,1,185.5
0.015,pooled,5,1,185.5
0.015,pooled,10,1,186.5
0.015,pooled,20,1,186.5
0.015,split,1,1,324.0
0.015,split,3,1,201.0
0.015,split,5,1,163.0
0.015,split,10,1,141.0
0.015,split,20,1,141.0
0.02,pooled,1,1,147.0
0.02,pooled,3,1,145.0
0.02,pooled,5,1,143.0
0.02,pooled,10,1,142.0
0.02,pooled,20,1,140.0
0.02,split,1,1,332.0
0.02,split,3,1,187.0
0.02,split,5,1,128.0
0.02,split,10,1,110.0
0.02,split,20,1,109.0
0.03,pooled,1,1,105.0
0.03,pooled,3,1,101.0
0.03,pooled,5,1,101.0
0.03,pooled,10,1,98.0
0.03,pooled,20,1,98.0
0.03,split,1,1,242.0
0.03,split,3,1,175.0
0.03,split,5,1,100.0
0.03,split,10,1,94.0
0.03,split,20,1,94.0
0.04,pooled,1,1,83.5
0.04,pooled,3,1,79.0
0.04,pooled,5,1,77.0
0.04,pooled,10,1,75.5
0.04,pooled,20,1,70.0
0.04,split,1,1,206.0
0.04,split,3,1,171.0
0.04,split,5,1,89.0
0.04,split,10,1,80.0
0.04,split,20,1,81.0
0.005,pooled,1,3,
0.005,pooled,3,3,300.0
0.005,pooled,5,3,300.0
0.005,pooled,10,3,300.0
0.005,pooled,20,3,305.0
0.005,split,1,3,
0.005,split,3,3,
0.005,split,5,3,
0.005,split,10,3,
0.005,split,20,3,
0.01,pooled,1,3,
0.01,pooled,3,3,239.5
0.01,pooled,5,3,245.5
0.01,pooled,10,3,249.0
0.01,pooled,20,3,249.0
0.01,split,1,3,
0.01,split,3,3,
0.01,split,5,3,
0.01,split,10,3,273.5
0.01,split,20,3,274.0
0.015,pooled,1,3,
0.015,pooled,3,3,188.5
0.015,pooled,5,3,188.0
0.015,pooled,10,3,189.0
0.015,pooled,20,3,189.0
0.015,split,1,3,
0.015,split,3,3,
0.015,split,5,3,329.5
0.015,split,10,3,252.0
0.015,split,20,3,228.5
0.02,pooled,1,3,
0.02,pooled,3,3,154.0
0.02,pooled,5,3,153.0
0.02,pooled,10,3,149.0
0.02,pooled,20,3,147.0
0.02,split,1,3,
0.02,split,3,3,
0.02,split,5,3,309.0
0.02,split,10,3,276.5
0.02,split,20,3,187.0
0.03,pooled,1,3,
0.03,pooled,3,3,113.5
0.03,pooled,5,3,112.0
0.03,pooled,10,3,106.0
0.03,pooled,20,3,105.0
0.03,split,1,3,
0.03,split,3,3,
0.03,split,5,3,226.0
0.03,split,10,3,215.0
0.03,split,20,3,142.0
0.04,pooled,1,3,
0.04,pooled,3,3,87.0
0.04,pooled,5,3,87.0
0.04,pooled,10,3,85.0
0.04,pooled,20,3,85.0
0.04,split,1,3,
0.04,split,3,3,
0.04,split,5,3,295.0
0.04,split,10,3,183.0
0.04,split,20,3,130.5
