sharpe,trades_per_day,seed,risk,pass_rate,median_days,expected_days,K,book
0.5,0.3,0.0,0.02,0.0135,374.0,27764.7,0.00086,
0.5,1.0,1.0,0.02,0.0002,397.0,1738860.0,0.00063,
1.0,0.3,1.0,0.02,0.1304,316.0,2424.0,0.00131,
1.0,1.0,0.0,0.02,0.0023,394.5,172791.0,0.00131,
1.0,3.0,0.0,0.02,0.0171,362.0,21140.8,0.00153,
1.0,3.0,2.0,0.02,0.1098,307.0,2795.6,0.00165,
1.5,0.3,0.0,0.02,0.2126,286.0,1345.5,0.00299,
1.5,0.3,1.0,0.02,0.0539,359.0,6662.8,0.00171,
1.5,0.3,2.0,0.02,0.2068,359.0,1735.6,0.00262,
1.5,1.0,0.0,0.02,0.3587,284.0,791.8,0.00289,
1.5,1.0,1.0,0.02,0.4475,304.0,679.3,0.00371,
1.5,1.0,2.0,0.02,0.0861,338.0,3926.9,0.00192,
1.5,3.0,1.0,0.02,0.2701,335.0,1240.3,0.00292,
1.5,3.0,2.0,0.02,0.1484,323.5,2179.9,0.00208,
2.0,0.3,0.0,0.02,0.6242,279.0,447.0,0.00457,
2.0,0.3,1.0,0.02,0.6913,226.0,326.9,0.00618,
2.0,0.3,2.0,0.02,0.0559,374.0,6686.2,0.002,
2.0,1.0,0.0,0.02,0.7279,203.0,278.9,0.00691,
2.0,1.0,1.0,0.02,0.3237,332.0,1025.5,0.00295,
2.0,1.0,2.0,0.02,0.6758,249.0,368.5,0.00516,
2.0,3.0,0.0,0.02,0.2267,313.0,1380.6,0.00271,
2.0,3.0,1.0,0.02,0.2993,314.0,1049.1,0.0031,
2.0,3.0,2.0,0.02,0.4406,286.0,649.1,0.00403,
3.0,0.3,0.0,0.02,0.8763,109.0,124.4,0.01436,
3.0,0.3,1.0,0.02,0.7893,270.0,342.1,0.0053,
3.0,0.3,2.0,0.02,0.9457,187.0,197.7,0.00833,
3.0,1.0,0.0,0.02,0.7774,217.0,279.1,0.00611,
3.0,1.0,1.0,0.02,0.6694,296.0,442.2,0.00442,
3.0,1.0,2.0,0.02,0.7902,163.0,206.3,0.00855,
3.0,3.0,0.0,0.02,0.9438,191.0,202.4,0.00818,
3.0,3.0,1.0,0.02,0.9384,155.0,165.2,0.00989,
3.0,3.0,2.0,0.02,0.7527,194.0,257.7,0.00693,
4.0,0.3,0.0,0.02,0.9772,79.0,80.8,0.0214,
4.0,0.3,1.0,0.02,0.9788,79.0,80.7,0.02187,
4.0,0.3,2.0,0.02,0.9333,174.0,186.4,0.00892,
4.0,1.0,0.0,0.02,0.939,101.0,107.6,0.01539,
4.0,1.0,1.0,0.02,0.9249,168.0,181.6,0.0093,
4.0,1.0,2.0,0.02,0.9733,101.0,103.8,0.01529,
4.0,3.0,0.0,0.02,0.9071,224.0,246.9,0.00686,
4.0,3.0,1.0,0.02,0.8751,93.0,106.3,0.01536,
4.0,3.0,2.0,0.02,0.8797,156.0,177.3,0.00925,
5.0,0.3,0.0,0.02,0.8548,78.0,91.2,0.02131,
5.0,0.3,1.0,0.02,0.8779,79.0,90.0,0.02104,
5.0,0.3,2.0,0.02,0.9537,118.0,123.7,0.01378,
5.0,1.0,0.0,0.02,0.9696,92.0,94.9,0.01679,
5.0,1.0,1.0,0.02,0.9443,81.0,85.8,0.02033,
5.0,1.0,2.0,0.02,0.9674,113.0,116.8,0.014,
5.0,3.0,0.0,0.02,0.9126,193.0,211.5,0.00778,
5.0,3.0,1.0,0.02,0.9637,93.0,96.5,0.01677,
5.0,3.0,2.0,0.02,0.9473,86.0,90.8,0.01786,
7.0,0.3,0.0,0.02,0.9753,74.0,75.9,0.02334,
7.0,0.3,1.0,0.02,0.8728,42.0,48.1,0.04595,
7.0,0.3,2.0,0.02,0.94,78.0,83.0,0.02169,
7.0,1.0,0.0,0.02,0.958,53.0,55.3,0.0305,
7.0,1.0,1.0,0.02,0.9502,44.0,46.3,0.03735,
7.0,1.0,2.0,0.02,0.9616,40.0,41.6,0.04122,
7.0,3.0,0.0,0.02,0.9788,54.0,55.2,0.02976,
7.0,3.0,1.0,0.02,0.9687,62.0,64.0,0.02558,
7.0,3.0,2.0,0.02,0.926,36.0,38.9,0.04477,
10.0,0.3,0.0,0.02,0.9626,41.0,42.6,0.04845,
10.0,0.3,1.0,0.02,0.953,39.0,40.9,0.05466,
10.0,0.3,2.0,0.02,0.9463,129.0,136.3,0.01259,
10.0,1.0,0.0,0.02,0.9511,25.0,26.3,0.06826,
10.0,1.0,1.0,0.02,0.9511,31.0,32.6,0.05449,
10.0,1.0,2.0,0.02,0.9427,29.0,30.8,0.05742,
10.0,3.0,0.0,0.02,0.9429,29.0,30.8,0.05656,
10.0,3.0,1.0,0.02,0.9767,32.0,32.8,0.051,
10.0,3.0,2.0,0.02,0.961,31.0,32.3,0.05279,
15.0,0.3,0.0,0.02,0.9596,34.0,35.4,0.07907,
15.0,0.3,1.0,0.02,0.9742,35.0,35.9,0.08342,
15.0,0.3,2.0,0.02,0.9628,34.0,35.3,0.09837,
15.0,1.0,0.0,0.02,0.9737,24.0,24.6,0.07254,
15.0,1.0,1.0,0.02,0.9765,19.0,19.5,0.09312,
15.0,1.0,2.0,0.02,0.9689,24.0,24.8,0.07099,
15.0,3.0,0.0,0.02,0.9726,16.0,16.5,0.10777,
15.0,3.0,1.0,0.02,0.9913,25.0,25.2,0.06834,
15.0,3.0,2.0,0.02,0.9783,18.0,18.4,0.09877,
1.802,2.891,,,,,269.9,,H-003
3.727,1.288,,,,,48.7,,H-009
0.362,0.169,,,,,535000.0,,H-001
0.614,0.674,,,,,,,H-006
0.044,1.085,,,,,,,H-011
-0.753,0.509,,,,,,,H-008
2.688,0.631,,,,,126.8,,H-016
0.895,0.288,,,,,,,H-005
3.668,1.659,,,,,53.4,,H-002
0.131,1.203,,,,,,,H-010
0.488,0.266,,,,,,,H-007
