signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,1h,3,1,spread,1,null0,52942,2206,23.99909338168631,0.5949302273685361,0.9957671014007864,0.3582681577374044,0.21873144305437553,0.4061992369007593,-0.15316718089675305,-8108.9768910359,8111.897703691534,1.0,-17.674277837839487,-3.675873477350816,inf
mom,1h,3,1,spread,4,null0,13235,2206,5.999546690843155,0.785848367758524,1.0233170723537814,0.6036863854394614,0.4639745938853463,0.45757461276917266,-0.06949381337236456,-919.7506199832449,921.9782671070216,4.0,-4.344949255507349,-0.41693137805224156,inf
mom,1h,3,1,spread,12,null0,4411,2205,2.000453514739229,0.8596002827783706,1.001232521229084,0.7379501715780524,0.633422208473156,0.4756291090455679,-0.04362123579868721,-192.41327110800927,198.488637910866,12.0,-1.5954069135833013,-0.0872622544707525,inf
mom,1h,3,1,longonly,1,null0,52942,2206,23.99909338168631,0.7252551048009073,1.016543799784601,0.5193791566823133,0.37455504230934356,0.4393298326470477,-0.14478163476352982,-7665.029307650795,7682.736453740412,1.0,-10.662658378428768,-3.4746279726431526,inf
mom,1h,3,1,longonly,4,null0,13235,2206,5.999546690843155,0.8687872799810111,1.0454842833545048,0.7219900583802139,0.6003278951162853,0.4788061956932376,-0.05781074809804785,-765.1252510776633,768.4614562766384,4.0,-2.470372412890767,-0.3468382824468102,inf
mom,1h,3,1,longonly,12,null0,4411,2205,2.000453514739229,0.9540119041231245,1.0615526775034918,0.8573824473606959,0.7705961337372321,0.49059170256177737,-0.01934510581778711,-85.33126176225895,122.84277756503896,12.0,-0.4898568109710981,-0.038698984926194537,inf
mom,1h,3,2,spread,1,null0,52942,2206,23.99909338168631,0.47667787560618174,0.9935232198014685,0.231174706505685,0.11406010727795282,0.3740508480979185,-0.1604716657227924,-8495.690926696076,8498.245545834683,1.0,-26.024826222758026,-3.851174490796045,inf
mom,1h,3,2,spread,4,null0,13235,2206,5.999546690843155,0.6930982521372095,1.0142219038804434,0.47400158355501076,0.32410988658633133,0.4351341140914243,-0.07665216205436608,-1014.4913647895349,1017.7448277869769,4.0,-6.690569707052081,-0.4598782251992452,inf
mom,1h,3,2,spread,12,null0,4411,2205,2.000453514739229,0.7877860759816627,0.9809464099779461,0.6324040223479673,0.5074954818385436,0.46542734073906145,-0.05000782267732178,-220.58450582966637,221.98761854267616,12.0,-2.5446097350329397,-0.10003832463930448,inf
mom,1h,3,2,longonly,1,null0,52942,2206,23.99909338168631,0.6545781652256005,1.01216715583412,0.4253368918260653,0.27884382418534,0.42367118733708586,-0.154927984877375,-8202.197375377988,8208.162947610625,1.0,-14.34367977094255,-3.7181311765086074,inf
mom,1h,3,2,longonly,4,null0,13235,2206,5.999546690843155,0.7936900983832886,1.0241686733371862,0.6152699269165806,0.4772500999640254,0.46157914620324897,-0.07213710566691732,-954.7345935016508,958.2784997044257,4.0,-4.103662014315186,-0.43278993359095685,inf
mom,1h,3,2,longonly,12,null0,4411,2205,2.000453514739229,0.874727830005952,1.0184679785559119,0.7513822740758429,0.6455449970302805,0.47404216730900023,-0.04039752109778837,-178.1934655623445,183.24317289592452,12.0,-1.416987247318881,-0.08081336306682291,inf
mom,1h,6,1,spread,1,null0,52942,2206,23.99909338168631,0.6040278617958152,1.0135305433780328,0.36291211496472664,0.22098855721830363,0.4083525367383174,-0.14728226213788975,-7797.417522104159,7801.8359386722,1.0,-17.236626744069184,-3.534640762513218,inf
mom,1h,6,1,spread,4,null0,13235,2206,5.999546690843155,0.7594207307684688,0.9880647936386028,0.5840790657757182,0.4498134130967227,0.451681148469966,-0.07905533357261614,-1046.2973398335746,1048.5570386477268,4.0,-4.919007411413161,-0.47429616492909094,inf
mom,1h,6,1,spread,12,null0,4411,2205,2.000453514739229,0.8563383163447181,0.9988954949920231,0.734133685945112,0.6295126871571699,0.4751756971208343,-0.04405599387278679,-194.3309889728625,207.83922829032238,12.0,-1.6338377422353259,-0.08813196778814626,inf
mom,1h,6,1,longonly,1,null0,52942,2206,23.99909338168631,0.7280712736237112,1.0216221399871492,0.520801727143647,0.37511803796577087,0.43883872917532396,-0.14187418505443064,-7511.1031051516675,7522.156319378568,1.0,-10.570197869695779,-3.4048518155719254,inf
mom,1h,6,1,longonly,4,null0,13235,2206,5.999546690843155,0.8381973187002775,1.0066397424871785,0.698068270518673,0.5816419276147766,0.46973932754061204,-0.07291079035981848,-964.9743104121976,971.1955050534905,4.0,-3.0840363415732726,-0.437431691030008,inf
mom,1h,6,1,longonly,12,null0,4411,2205,2.000453514739229,0.9333372927253712,1.039102956656934,0.8383125208146205,0.7529661234032042,0.49172523237361143,-0.028203792072834123,-124.40692683327131,147.48933595800116,12.0,-0.7151936582637509,-0.056420374981075425,inf
mom,1h,6,2,spread,1,null0,52942,2206,23.99909338168631,0.48386612599492745,1.010994036882087,0.2343536760532876,0.11568710871889575,0.37397529371765326,-0.15653750175417744,-8287.408417869661,8290.753958813877,1.0,-25.611068011095735,-3.7567581223343884,inf
mom,1h,6,2,spread,4,null0,13235,2206,5.999546690843155,0.6974916322834073,1.0190483114135858,0.4774654866936265,0.3267465843179339,0.4378541745372119,-0.07548862979193166,-999.0920152962155,1001.3895256266364,4.0,-6.563199277293267,-0.4528975590644676,inf
mom,1h,6,2,spread,12,null0,4411,2205,2.000453514739229,0.8047883505719277,1.0060938245811306,0.6438260315026493,0.514915098710078,0.46066651552935844,-0.044607795358014256,-196.7649853242009,199.8626994122571,12.0,-2.3244113269579123,-0.08923582100870789,inf
mom,1h,6,2,longonly,1,null0,52942,2206,23.99909338168631,0.6581523571898136,1.0160501303662945,0.42835680845890794,0.28106985188684447,0.42336896981602506,-0.15326590636354503,-8114.203614698801,8120.972641995803,1.0,-14.183054788444881,-3.6782427990475073,inf
mom,1h,6,2,longonly,4,null0,13235,2206,5.999546690843155,0.8022949493733554,1.033356210904433,0.6231069606083581,0.4842266861501049,0.46112580279561766,-0.06918088424068723,-915.6090029254955,921.6888940698905,4.0,-3.913415358416444,-0.41505394511581845,inf
mom,1h,6,2,longonly,12,null0,4411,2205,2.000453514739229,0.9029323887931799,1.0533416670144564,0.7739230376360227,0.6634107163714799,0.48515075946497394,-0.03041766658230211,-134.1723272945346,142.9735077063801,12.0,-1.077265265981126,-0.060849128024732246,inf
mom,1h,12,1,spread,1,null0,52942,2206,23.99909338168631,0.6035283492960847,1.008414601841527,0.363513579970261,0.22187698711582082,0.40908919194590304,-0.14799222968129103,-7835.00462378691,7841.459742502205,1.0,-17.224451173508285,-3.551679339885272,inf
mom,1h,12,1,spread,4,null0,13235,2206,5.999546690843155,0.8072792748697167,1.0487055776551777,0.6216822044873384,0.4793129070771138,0.464072534945221,-0.06156490716503226,-814.811546329202,824.446556341008,4.0,-3.82379309191068,-0.36936153505403535,inf
mom,1h,12,1,spread,12,null0,4411,2205,2.000453514739229,0.8566337864632199,0.9952195065031166,0.7373543211351291,0.6347455139365271,0.47268193153479937,-0.04480438980084246,-197.6321634115161,208.71528115954374,12.0,-1.6328924417158497,-0.08962909905284178,inf
mom,1h,12,1,longonly,1,null0,52942,2206,23.99909338168631,0.7412930939690059,1.0373124861299836,0.5315417651737717,0.3836795605306963,0.4411998035586113,-0.13423544291156086,-7106.692818623856,7115.497798068709,1.0,-9.87720589579672,-3.221528929566571,inf
mom,1h,12,1,longonly,4,null0,13235,2206,5.999546690843155,0.9098863385967807,1.0937763556129785,0.7569736552338291,0.6299836550096144,0.4838685304117869,-0.03864189693138525,-511.4255058868838,544.9283892673112,4.0,-1.6499076500561698,-0.23183386486259466,inf
mom,1h,12,1,longonly,12,null0,4411,2205,2.000453514739229,0.9689284032494072,1.0778090842500934,0.8711079769721335,0.7832540044967117,0.4930854681478123,-0.0128525198384738,-56.692465007507934,104.90823361319309,12.0,-0.32686113406940154,-0.02571086848413058,inf
mom,1h,12,2,spread,1,null0,52942,2206,23.99909338168631,0.47947593436285885,1.0003489359538575,0.2321970281029758,0.1142084799816292,0.3730686411544709,-0.15868363255138937,-8401.028874535656,8406.624911993815,1.0,-25.884809155823866,-3.808263315745991,inf
mom,1h,12,2,spread,4,null0,13235,2206,5.999546690843155,0.6896776144321934,1.0089805803670258,0.47124867696648975,0.3220004737771988,0.44080090668681526,-0.07747743814820778,-1025.4138938915298,1029.0554654296063,4.0,-6.749638420108562,-0.46482950765708514,inf
mom,1h,12,2,spread,12,null0,4411,2205,2.000453514739229,0.7702605735304568,0.9644882026501861,0.6149969991993415,0.4908314317542874,0.4559056903196554,-0.053143355614685604,-234.4153416163782,239.1841342294293,12.0,-2.7697930788703853,-0.10631081252443457,inf
mom,1h,12,2,longonly,1,null0,52942,2206,23.99909338168631,0.6541325416053791,1.012575911640857,0.4245378609517006,0.27787088418161376,0.42302897510483173,-0.15439961385619616,-8174.224356774736,8183.110842220022,1.0,-14.320879760147726,-3.705450751031159,inf
mom,1h,12,2,longonly,4,null0,13235,2206,5.999546690843155,0.810466877010259,1.0453539281450734,0.628543836085655,0.4876750534576665,0.4618058179070646,-0.06563561563455972,-868.6873729233979,873.6772679002751,4.0,-3.726888987752891,-0.393783940581776,inf
mom,1h,12,2,longonly,12,null0,4411,2205,2.000453514739229,0.9003640288539992,1.0507398914207267,0.7716101880060285,0.6612484948429806,0.4801632282929041,-0.031156135375079667,-137.4297131394764,141.9324066854874,12.0,-1.1051684371558834,-0.06232640051676935,inf
mom,1h,24,1,spread,1,null0,52942,2206,23.99909338168631,0.6073417189293375,1.0130392824801755,0.366995272247582,0.2250681404659481,0.40918363492123455,-0.1462505076141884,-7742.794374110363,7746.1497855192265,1.0,-16.9425174392828,-3.5098795893519323,inf
