signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,1h,3,1,spread,1,real,52942,2206,23.99909338168631,0.27727442287697235,0.9932513203178638,0.10403876581392503,0.049044093194894514,0.24781836726984247,-0.21989939758708438,-11641.913907055421,11643.024010567247,1.0,-42.40021798711389,-5.277386177269003,inf
mom,1h,3,1,spread,4,real,13235,2206,5.999546690843155,0.5101493123479057,0.9937531842840573,0.27951429354407364,0.16505016886655363,0.34741216471477143,-0.11010203450304287,-1457.2004266477725,1457.3942586823223,4.0,-10.873629509100157,-0.6605622967578297,inf
mom,1h,3,1,spread,12,real,4411,2205,2.000453514739229,0.7094280861062341,1.046274816130462,0.4887250408155223,0.34460118766338244,0.41419179324416233,-0.05566420241229423,-245.53479684062984,248.3290345524048,12.0,-3.1692085789028632,-0.11135364936082986,inf
mom,1h,3,1,longonly,1,real,52942,2206,23.99909338168631,0.5834889726136849,1.018785100467276,0.34760319342432866,0.2185503694853436,0.38778285671111784,-0.2133224981250523,-11293.71969573652,11295.925843889196,1.0,-17.06926078241159,-5.1195465529177335,inf
mom,1h,3,1,longonly,4,real,13235,2206,5.999546690843155,0.7717384084927653,1.0217086256349355,0.5867362073312782,0.45059512002126156,0.4398942198715527,-0.10189932777454587,-1348.6376030961146,1404.6683577246597,4.0,-4.101663411467493,-0.6113497747489187,inf
mom,1h,3,1,longonly,12,real,4411,2205,2.000453514739229,0.8877598492225948,1.040719105930869,0.7580278579619634,0.6486449276668778,0.4763092269326683,-0.047858520170772134,-211.10393247327588,299.9496937426732,12.0,-1.1022969740520168,-0.0957387448858394,inf
mom,1h,3,2,spread,1,real,52942,2206,23.99909338168631,0.14355630219728108,0.9769339289876035,0.038259676175673905,0.014340583668896482,0.17286842204676817,-0.23348487002995505,-12361.15598912588,12361.787999706603,1.0,-65.49193545430771,-5.6034251990597825,inf
mom,1h,3,2,spread,4,real,13235,2206,5.999546690843155,0.35457639671663727,0.9858646892309457,0.146857116604462,0.07043806605544545,0.3001133358519078,-0.11701066665920115,-1548.6361732345272,1548.7879061683752,4.0,-16.492697234208034,-0.7020109579485617,inf
mom,1h,3,2,spread,12,real,4411,2205,2.000453514739229,0.5946516333564759,1.0706360945969762,0.34236345242288635,0.20690857925179718,0.3922013148945817,-0.05912973165157296,-260.82124631508833,262.6198163127413,12.0,-4.228364508353226,-0.11828627950797657,inf
mom,1h,3,2,longonly,1,real,52942,2206,23.99909338168631,0.5195253855239279,1.0060420845172469,0.28044056126571754,0.16078088265895152,0.3792074345510181,-0.2301685467291585,-12185.58320093511,12187.009370618232,1.0,-20.588922841818153,-5.523836446480105,inf
mom,1h,3,2,longonly,4,real,13235,2206,5.999546690843155,0.7331623001134893,1.0185472179368051,0.5307927001812107,0.38866320895332995,0.4462410275783906,-0.10979594834297744,-1453.1493763193064,1478.9928319677433,4.0,-4.874825445673792,-0.6587259185490962,inf
mom,1h,3,2,longonly,12,real,4411,2205,2.000453514739229,0.8846202733469161,1.0615967166660483,0.7377555498021441,0.6168325353665572,0.487417819088642,-0.04535979576981034,-200.08205914063342,269.6138424595308,12.0,-1.0661364077466948,-0.09074016287557071,inf
mom,1h,6,1,spread,1,real,52942,2206,23.99909338168631,0.28129071770406516,1.009019249948813,0.10499314672679591,0.04888690217572321,0.25112387140644477,-0.2167219961004403,-11473.69591754951,11474.241085726668,1.0,-41.76829914928563,-5.201131422279923,inf
mom,1h,6,1,spread,4,real,13235,2206,5.999546690843155,0.5295206958471633,1.0280881975809928,0.29040295231694757,0.17130580808920048,0.35700793350963356,-0.10446834258058359,-1382.6385140540237,1382.638514054027,4.0,-10.348667385321297,-0.6267626990272093,inf
mom,1h,6,1,spread,12,real,4411,2205,2.000453514739229,0.7906383102182366,1.1613119277405646,0.5473845587047012,0.3870989932221776,0.42144638403990026,-0.038593967422069164,-170.2379902987471,201.18704897502653,12.0,-2.2041438747226736,-0.07720543777720956,inf
mom,1h,6,1,longonly,1,real,52942,2206,23.99909338168631,0.5861282701257731,1.019230456365627,0.3503666333979828,0.2205030883968429,0.38957727324241626,-0.2124663774499425,-11248.394954954856,11249.82349041962,1.0,-16.996516931683885,-5.09900043288978,inf
mom,1h,6,1,longonly,4,real,13235,2206,5.999546690843155,0.7917703467495543,1.0460629959978016,0.6029231117114057,0.46368870019899094,0.44571212693615414,-0.0920431971664844,-1218.191714498421,1283.8866167171907,4.0,-3.7248713656815253,-0.5522174589748056,inf
mom,1h,6,1,longonly,12,real,4411,2205,2.000453514739229,0.9482228279975085,1.1078707262091783,0.8125617543438218,0.6977726032743945,0.4781228746316028,-0.02168412454151712,-95.648673352632,244.36514841181634,12.0,-0.49908248249923526,-0.04337808315312109,inf
mom,1h,6,2,spread,1,real,52942,2206,23.99909338168631,0.1441039949736187,0.991789718719474,0.037356120585747075,0.013561170570762022,0.17708057874655284,-0.23166199995373446,-12264.649601550609,12264.649601550613,1.0,-64.80164353413275,-5.559677969877883,inf
mom,1h,6,2,spread,4,real,13235,2206,5.999546690843155,0.36252576255133473,1.005089643166068,0.15019823859166917,0.0725002702792237,0.3057045712126936,-0.11476504539989027,-1518.9153758675477,1518.9153758675407,4.0,-16.91872641685949,-0.6885382483533761,inf
mom,1h,6,2,spread,12,real,4411,2205,2.000453514739229,0.6258382741380472,1.1188222430892525,0.36336258115539755,0.22056580113537813,0.3917479029698481,-0.05394433432852643,-237.9484587231301,245.14234620178834,12.0,-4.4269314338413706,-0.10791313320776875,inf
mom,1h,6,2,longonly,1,real,52942,2206,23.99909338168631,0.5211216481194818,1.0090008373503236,0.2812160536306117,0.1609659102252733,0.38190850364549883,-0.2293148776122347,-12140.38825054693,12140.456485699591,1.0,-20.790070885409023,-5.503349161625988,inf
mom,1h,6,2,longonly,4,real,13235,2206,5.999546690843155,0.7387999458250044,1.0251392119033265,0.535437940910801,0.3923379472458799,0.4486588590857575,-0.10738457511679167,-1421.2348516707377,1460.6765016220158,4.0,-4.8558776877055045,-0.6442587722895456,inf
mom,1h,6,2,longonly,12,real,4411,2205,2.000453514739229,0.8985633919467152,1.0764358759629071,0.7505361683556474,0.6282528757771233,0.4894581727499433,-0.03984408779295129,-175.75227125470812,272.1900294353976,12.0,-1.0057673500360484,-0.0797062454669878,inf
mom,1h,12,1,spread,1,real,52942,2206,23.99909338168631,0.28689665059021746,1.022915286871589,0.107478606526992,0.05030896166358597,0.25499603339503607,-0.21405712345182135,-11332.612229786326,11332.612229786251,1.0,-39.817167685094056,-5.137176894735415,inf
mom,1h,12,1,spread,4,real,13235,2206,5.999546690843155,0.5532202152049266,1.072630375891359,0.30441291481038946,0.17986339161315296,0.36116358141292026,-0.09762070004308782,-1292.0099650702673,1294.015479723638,4.0,-9.272268153573682,-0.5856799479012997,inf
mom,1h,12,1,spread,12,real,4411,2205,2.000453514739229,0.825511794476415,1.222444600296592,0.5662292286224311,0.3977523121808839,0.4423033325776468,-0.03110827065373459,-137.21858185362328,203.61615616741219,12.0,-1.5608257359005997,-0.062230649366722575,inf
mom,1h,12,1,longonly,1,real,52942,2206,23.99909338168631,0.598768338460487,1.0375778988263626,0.35896301060182434,0.2264001826464237,0.39241056250236106,-0.20512670258262614,-10859.817888129393,10859.817888129388,1.0,-16.383135641049485,-4.922854890357839,inf
mom,1h,12,1,longonly,4,real,13235,2206,5.999546690843155,0.8190623817061315,1.0778824645440614,0.6260637159912078,0.48341036875026944,0.45243672081601816,-0.07992343518425729,-1057.7866646636453,1232.2343684797286,4.0,-3.1957189877021626,-0.47950438108052823,inf
mom,1h,12,1,longonly,12,real,4411,2205,2.000453514739229,0.9900148469882988,1.1560819247611496,0.8486988093181225,0.7289392974571837,0.4912718204488778,-0.004135436038926829,-18.241408367706242,195.9055915236009,12.0,-0.09434789083768401,-0.00827274755905045,inf
mom,1h,12,2,spread,1,real,52942,2206,23.99909338168631,0.15174046398483843,1.0264826812949917,0.04028139954940335,0.015027128443806811,0.1796683162706358,-0.22795296932767323,-12068.286102145676,12068.286102145747,1.0,-62.236122900361075,-5.470664597527505,inf
mom,1h,12,2,spread,4,real,13235,2206,5.999546690843155,0.39149901054448366,1.0840849404235986,0.1635743959880547,0.07895564158177096,0.30804684548545525,-0.10663572889339981,-1411.3238719041465,1411.6424291977062,4.0,-15.083952161774226,-0.6397660344080447,inf
mom,1h,12,2,spread,12,real,4411,2205,2.000453514739229,0.6843837349015434,1.2233205459595495,0.39549402407515377,0.2383866146443178,0.4089775561097257,-0.04390891401407878,-193.6822197161015,218.21400405224952,12.0,-3.2632111334633085,-0.08783774136784649,inf
mom,1h,12,2,longonly,1,real,52942,2206,23.99909338168631,0.5308061097996146,1.0245800045731899,0.2871229954535976,0.16479706662705473,0.3852140077821012,-0.2241787818929947,-11868.473070978926,11868.740882762098,1.0,-20.146831965726843,-5.380087520842668,inf
mom,1h,12,2,longonly,4,real,13235,2206,5.999546690843155,0.7605206109452194,1.0525073428071974,0.5526607908626321,0.4063016831462482,0.45334340763128067,-0.09798497518475528,-1296.8311465702361,1355.798935039207,4.0,-4.383571156026047,-0.5878654336220472,inf
mom,1h,12,2,longonly,12,real,4411,2205,2.000453514739229,0.9388899838898415,1.1227104297022665,0.7855851726262426,0.658529357453097,0.4935388800725459,-0.02373161867084029,-104.68016995707652,226.28075924478082,12.0,-0.5956515927641399,-0.04747399998053357,inf
mom,1h,24,1,spread,1,real,52942,2206,23.99909338168631,0.2962219505700482,1.065928847628679,0.1104962609418025,0.05169032174066207,0.2583770919119036,-0.2068645285524071,-10951.821870621538,10951.821870621525,1.0,-38.72660712242089,-4.964561138087732,inf
mom,1h,24,1,spread,4,real,13235,2206,5.999546690843155,0.5820367690763116,1.1349305612251996,0.3186896830143454,0.18822036041567117,0.36766150358896865,-0.08851059908602564,-1171.4377789035493,1173.6283898299323,4.0,-8.805574848447481,-0.5310234718511103,inf
mom,1h,24,1,spread,12,real,4411,2205,2.000453514739229,0.8382308864513854,1.2434506336203877,0.5738900217556883,0.4021716119779305,0.43640897755610975,-0.028330182341662184,-124.96443430907189,154.9848838063706,12.0,-1.6327274233153255,-0.05667321283858136,inf
mom,1h,24,1,longonly,1,real,52942,2206,23.99909338168631,0.6060012244426223,1.0484130071078792,0.3636189792596162,0.2294965674975869,0.39658494201201316,-0.20003875118312997,-10590.451565137268,10590.451565137346,1.0,-15.470843855507121,-4.800748669599849,inf
mom,1h,24,1,longonly,4,real,13235,2206,5.999546690843155,0.8234791983581531,1.08438552364696,0.6290250140177214,0.4855544357580269,0.4488099735549679,-0.07740639380185281,-1024.473621967522,1163.9724091250837,4.0,-3.1224110447339197,-0.46440327378400814,inf
mom,1h,24,1,longonly,12,real,4411,2205,2.000453514739229,0.9649530539034303,1.126187736876838,0.8275063447904514,0.7109208552478226,0.4808433461800045,-0.014631470847771812,-64.53941790952146,192.56236976302648,12.0,-0.33415794422671513,-0.029269577283229688,inf
mom,1h,24,2,spread,1,real,52942,2206,23.99909338168631,0.1564254134061509,1.07474185813724,0.04060838689249805,0.015284949541993626,0.18669487363529902,-0.22288843632114338,-11800.159595713973,11800.159595713834,1.0,-61.90921423658069,-5.3491203969691625,inf
mom,1h,24,2,spread,4,real,13235,2206,5.999546690843155,0.4289782737153143,1.1902956917386653,0.1784192734245221,0.08605344014975645,0.31794484321873817,-0.09643842705049142,-1276.362582013254,1276.5652840211335,4.0,-13.544058900678051,-0.5785868458808948,inf
mom,1h,24,2,spread,12,real,4411,2205,2.000453514739229,0.7248301586061044,1.2989084484020852,0.41867481886882213,0.2544248898736713,0.40761732033552484,-0.03717639658372202,-163.98508533079783,177.03660611163357,12.0,-2.6118422829168835,-0.07436965321124618,inf
mom,1h,24,2,longonly,1,real,52942,2206,23.99909338168631,0.5359115124923617,1.033346892622504,0.28981593221338015,0.1663937972978842,0.3874617505949907,-0.2206900434104572,-11683.772278236425,11684.038006196459,1.0,-19.568215177520322,-5.296360960215968,inf
mom,1h,24,2,longonly,4,real,13235,2206,5.999546690843155,0.7797978598029729,1.0787202784443521,0.5661968103119448,0.41571217191824406,0.45810351341140915,-0.08903585362075586,-1178.3895226707039,1249.48749103515,4.0,-3.909562547076851,-0.5341747609568014,inf
mom,1h,24,2,longonly,12,real,4411,2205,2.000453514739229,0.9431255488693169,1.1274629169699404,0.789330668805815,0.6618718889193039,0.4901382906370437,-0.022087723347545777,-97.42894768602443,192.32126970812615,12.0,-0.5102479302855842,-0.04418546380318568,inf
mom,1h,48,1,spread,1,real,52942,2206,23.99909338168631,0.29030305836862896,1.0584904840280056,0.1059314499271466,0.048478295825902684,0.260738166295191,-0.20621364149704446,-10917.362608136527,10917.690809586296,1.0,-40.232646051156856,-4.948940438865153,inf
mom,1h,48,1,spread,4,real,13235,2206,5.999546690843155,0.5732295702572613,1.112334751477805,0.3134363027785772,0.18403705047848187,0.37332829618435964,-0.09062954895864277,-1199.482080467637,1202.0064235502487,4.0,-8.524787338552459,-0.5437362105474329,inf
mom,1h,48,1,spread,12,real,4411,2205,2.000453514739229,0.7770060912372073,1.138901200606993,0.5359481208704123,0.37717710756200434,0.4400362729539787,-0.041097937680426425,-181.28300310836096,197.53076354092204,12.0,-1.976050222910622,-0.08221451388134283,inf
mom,1h,48,1,longonly,1,real,52942,2206,23.99909338168631,0.6016375026921443,1.0393209409930086,0.36076182118185374,0.2272438146267238,0.40004155490914584,-0.19789606345228433,-10477.013391290837,10479.269563569944,1.0,-16.104852390339172,-4.749326106659491,inf
mom,1h,48,1,longonly,4,real,13235,2206,5.999546690843155,0.8238774838138238,1.0833646685401201,0.6298181502270828,0.486137996697354,0.4528145069890442,-0.07530819831312317,-996.7040046741852,1092.950591135594,4.0,-3.1074759767010667,-0.4518150519828582,inf
mom,1h,48,1,longonly,12,real,4411,2205,2.000453514739229,0.9440781345399465,1.1030281354181828,0.8084362952370453,0.6935000642399138,0.48696440716390843,-0.02273616763955202,-100.28923545806396,192.6641068522884,12.0,-0.5379715023221744,-0.04548264646624216,inf
mom,1h,48,2,spread,1,real,52942,2206,23.99909338168631,0.15017934459704255,1.056088803373268,0.03768215651169695,0.013456873065360447,0.18399380454081826,-0.22419059560243748,-11869.098512384246,11869.098512384311,1.0,-62.57585835249141,-5.38037103915877,inf
mom,1h,48,2,spread,4,real,13235,2206,5.999546690843155,0.4058561071125779,1.1225138974573896,0.16668789393747452,0.07896897214224338,0.3220249338874197,-0.102406077081955,-1355.3444301796744,1356.861517507841,4.0,-14.72375153932176,-0.6143900408792722,inf
mom,1h,48,2,spread,12,real,4411,2205,2.000453514739229,0.6694265468170807,1.211241294530672,0.3807515776641424,0.22600163625777023,0.406257084561324,-0.045286347780233605,-199.75808005861043,210.7299193275611,12.0,-3.61820629692472,-0.0905932335866714,inf
mom,1h,48,2,longonly,1,real,52942,2206,23.99909338168631,0.5334924136418506,1.0289778438096295,0.28822372636611887,0.1650365966245403,0.38948283026708475,-0.21901056735621466,-11594.857456972717,11597.75316119877,1.0,-19.938492388937743,-5.256055057557895,inf
mom,1h,48,2,longonly,4,real,13235,2206,5.999546690843155,0.7695664379900365,1.0649782460109214,0.5587409419394925,0.4100521924211541,0.45810351341140915,-0.09234308051446666,-1222.1606706089663,1285.5359408124018,4.0,-4.190966720216662,-0.5540166231228315,inf
mom,1h,48,2,longonly,12,real,4411,2205,2.000453514739229,0.9281080622471108,1.1116053815615548,0.7751673303267753,0.6485214093542575,0.4939922919972795,-0.02743538073473163,-121.01746442090122,214.10606274250503,12.0,-0.7009867154667764,-0.05488320381900282,inf
mom,4h,3,1,spread,1,real,13164,2193,6.002735978112175,0.57690950710032,1.091626571854489,0.3246475369480865,0.19651173683469358,0.3623518687329079,-0.08963820831028622,-1179.9973741966078,1184.7765426798424,4.0,-8.559202051513296,-0.5380744980376688,inf
mom,4h,3,1,spread,3,real,4388,2193,2.0009119927040584,0.8208506133448847,1.1848702707277294,0.5800538808476808,0.41992441174973855,0.4049680948040109,-0.032486088683851375,-142.54895714473983,179.91910522277817,12.0,-1.6706047822343228,-0.06500180444356582,inf
mom,4h,3,1,spread,6,real,2194,2193,1.0004559963520292,0.9078107851500101,1.1785309347219017,0.7038219601522463,0.5502938646030515,0.443482224247949,-0.015744287779774744,-34.54296738882579,65.35555012798221,24.0,-0.6253970201940717,-0.015751467117567617,inf
mom,4h,3,1,longonly,1,real,13164,2193,6.002735978112175,0.8341743247676461,1.0844472430439611,0.6450664683251167,0.5033957118972048,0.45274992403524766,-0.07286461755084987,-959.1898254393877,1142.7375833185756,4.0,-2.883104252432799,-0.4373870613038704,inf
mom,4h,3,1,longonly,3,real,4388,2193,2.0009119927040584,0.9900802417400545,1.1448886765011304,0.8574645506978518,0.7442167164967564,0.47037374658158615,-0.00418468563624488,-18.362400571842535,170.73219405690156,12.0,-0.08680183566629802,-0.008373187675258794,inf
mom,4h,3,1,longonly,6,real,2194,2193,1.0004559963520292,0.9897328964380818,1.0973893489627382,0.8928952148318778,0.8060048551695641,0.48495897903372837,-0.0042833491875247124,-9.39766811742922,93.81417264961122,24.0,-0.06949909670020409,-0.0042853023791286915,inf
mom,4h,3,2,spread,1,real,13164,2193,6.002735978112175,0.40758407772466987,1.0860898574244802,0.17580991582233632,0.08737509621535748,0.31251899118808874,-0.10015981554304287,-1318.5038118086163,1318.503811808613,4.0,-14.75358554074843,-0.6012329283213025,inf
