Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2026-08-13 14:00,Close position,63621.9,0.4,25547.6,88.64,0.35,10.2,111.69,0.44,0,0.00,88.64,0.89,12
1,Entry short,2026-08-13 11:00,Sell limit order,63869,0.4,25547.6,88.64,0.35,10.2,111.69,0.44,0,0.00,88.64,0.89,12
2,Exit short,2026-08-14 16:30,Close position,62713.5,0.4,25133.6,38.16,0.15,10.04,90.49,0.36,-47.39,-0.19,126.8,1.27,20
2,Entry short,2026-08-14 11:30,Sell limit order,62834,0.4,25133.6,38.16,0.15,10.04,90.49,0.36,-47.39,-0.19,126.8,1.27,20
3,Exit long,2026-08-14 19:45,Bracket Stop Loss,63109.1,0.4,25183.08,50.47,0.20,10.09,99.44,0.39,-1.92,-0.01,177.27,1.77,4
3,Entry long,2026-08-14 18:45,Buy limit order,62957.7,0.4,25183.08,50.47,0.20,10.09,99.44,0.39,-1.92,-0.01,177.27,1.77,4
4,Exit short,2026-08-16 15:45,Bracket Stop Loss,62999.7,0.4,25204.96,-5,-0.02,10.08,6.32,0.03,-6.52,-0.03,172.27,1.72,3
4,Entry short,2026-08-16 15:00,Sell limit order,63012.4,0.4,25204.96,-5,-0.02,10.08,6.32,0.03,-6.52,-0.03,172.27,1.72,3
5,Exit short,2026-08-17 16:30,Close position,63654.6,0.4,25388.28,-83.73,-0.33,10.17,6.28,0.02,-138.84,-0.55,88.54,0.89,12
5,Entry short,2026-08-17 13:30,Sell limit order,63470.7,0.4,25388.28,-83.73,-0.33,10.17,6.28,0.02,-138.84,-0.55,88.54,0.89,12
6,Exit long,2026-08-17 22:00,Bracket Stop Loss,64379.2,0.4,25605.04,136.37,0.53,10.27,241.84,0.94,-20.16,-0.08,224.91,2.25,14
6,Entry long,2026-08-17 18:30,Buy limit order,64012.6,0.4,25605.04,136.37,0.53,10.27,241.84,0.94,-20.16,-0.08,224.91,2.25,14
7,Exit short,2026-08-18 13:30,Bracket Stop Loss,64207.8,0.4,25688.32,-5.07,-0.02,10.27,32.58,0.13,-53.46,-0.21,219.83,2.20,9
7,Entry short,2026-08-18 11:15,Sell limit order,64220.8,0.4,25688.32,-5.07,-0.02,10.27,32.58,0.13,-53.46,-0.21,219.83,2.20,9
8,Exit long,2026-08-19 16:30,Close position,65038.8,0.4,25792,213.16,0.83,10.36,293.12,1.14,-14.24,-0.06,432.99,4.33,9
8,Entry long,2026-08-19 14:15,Buy limit order,64480,0.4,25792,213.16,0.83,10.36,293.12,1.14,-14.24,-0.06,432.99,4.33,9
9,Exit long,2026-08-19 19:30,Close position,68585.9,0.4,26163,1260.64,4.82,10.72,1723.85,6.59,-36.67,-0.14,1693.63,16.94,10
9,Entry long,2026-08-19 17:00,Buy market order,65407.5,0.4,26163,1260.64,4.82,10.72,1723.85,6.59,-36.67,-0.14,1693.63,16.94,10
