n,side,entry_utc,entry_local,exit_utc,exit_local,entry_price,exit_price,qty,net_pnl,fees,bars_held,exit_reason
1,short,2026-05-04 08:00,2026-05-04 04:00,2026-05-04 20:00,2026-05-04 16:00,79663.4,80018.3,0.012553,-5.36,0.9,48,end_session
2,short,2026-05-05 08:00,2026-05-05 04:00,2026-05-05 20:00,2026-05-05 16:00,80815.8,81554.3,0.012367,-10.04,0.9,48,end_session
3,short,2026-05-06 07:45,2026-05-06 03:45,2026-05-06 20:00,2026-05-06 16:00,81378.1,81416.5,0.012269,-1.37,0.9,49,end_session
4,short,2026-06-01 08:30,2026-06-01 04:30,2026-06-01 20:00,2026-06-01 16:00,72706.0,71571.0,0.013731,14.69,0.89,46,end_session
5,short,2026-06-02 09:15,2026-06-02 05:15,2026-06-02 20:00,2026-06-02 16:00,69533.0,67286.7,0.014379,31.41,0.89,43,end_session
6,short,2026-06-03 09:30,2026-06-03 05:30,2026-06-03 20:00,2026-06-03 16:00,66801.2,65428.5,0.015014,19.72,0.89,42,end_session
7,short,2026-06-04 08:15,2026-06-04 04:15,2026-06-04 20:00,2026-06-04 16:00,63319.3,63600.2,0.01587,-5.36,0.91,47,end_session
8,long,2026-06-05 07:45,2026-06-05 03:45,2026-06-05 20:00,2026-06-05 16:00,62850.6,60267.4,0.01598,-42.17,0.89,49,end_session
9,long,2026-06-06 08:30,2026-06-06 04:30,2026-06-06 20:00,2026-06-06 16:00,61374.7,60563.9,0.016296,-14.11,0.89,46,end_session
10,long,2026-06-07 08:00,2026-06-07 04:00,2026-06-07 20:00,2026-06-07 16:00,62366.0,61303.7,0.016014,-17.9,0.89,48,end_session
11,long,2026-06-08 08:00,2026-06-08 04:00,2026-06-08 20:00,2026-06-08 16:00,63259.9,63348.3,0.01576,0.5,0.9,48,end_session
12,short,2026-06-09 08:15,2026-06-09 04:15,2026-06-09 20:00,2026-06-09 16:00,62893.9,62068.9,0.015852,12.19,0.89,47,end_session
13,long,2026-06-10 07:45,2026-06-10 03:45,2026-06-10 20:00,2026-06-10 16:00,61724.0,61908.7,0.016172,2.09,0.9,49,end_session
14,long,2026-06-11 08:15,2026-06-11 04:15,2026-06-11 20:00,2026-06-11 16:00,62799.9,63567.7,0.015899,11.3,0.9,47,end_session
15,short,2026-06-15 08:00,2026-06-15 04:00,2026-06-15 20:00,2026-06-15 16:00,65642.4,66579.1,0.015227,-15.17,0.91,48,end_session
16,long,2026-06-22 08:15,2026-06-22 04:15,2026-06-22 20:00,2026-06-22 16:00,64295.5,64450.6,0.015523,1.51,0.9,47,end_session
17,short,2026-06-26 08:15,2026-06-26 04:15,2026-06-26 20:00,2026-06-26 16:00,60243.0,59719.9,0.016569,7.77,0.89,47,end_session
18,long,2026-06-27 08:00,2026-06-27 04:00,2026-06-27 20:00,2026-06-27 16:00,60522.4,60149.9,0.016506,-7.04,0.9,48,end_session
19,short,2026-06-29 08:30,2026-06-29 04:30,2026-06-29 20:00,2026-06-29 16:00,59802.8,60409.3,0.016693,-11.03,0.9,46,end_session
20,short,2026-06-30 08:15,2026-06-30 04:15,2026-06-30 20:00,2026-06-30 16:00,59405.0,58794.0,0.016786,9.36,0.89,47,end_session
21,long,2026-07-01 09:00,2026-07-01 05:00,2026-07-01 20:00,2026-07-01 16:00,58950.8,60000.0,0.016931,16.86,0.91,44,end_session
22,short,2026-07-02 07:45,2026-07-02 03:45,2026-07-02 20:00,2026-07-02 16:00,60111.4,61452.4,0.016632,-23.21,0.91,49,end_session
23,long,2026-07-03 07:45,2026-07-03 03:45,2026-07-03 20:00,2026-07-03 16:00,61800.3,62178.4,0.01614,5.2,0.9,49,end_session
24,long,2026-07-04 14:15,2026-07-04 10:15,2026-07-04 20:00,2026-07-04 16:00,62640.8,63268.0,0.015932,9.09,0.9,23,end_session
25,long,2026-07-05 07:45,2026-07-05 03:45,2026-07-05 20:00,2026-07-05 16:00,62895.1,62744.1,0.015882,-3.3,0.9,49,end_session
26,long,2026-07-06 14:30,2026-07-06 10:30,2026-07-06 20:00,2026-07-06 16:00,62053.9,63709.9,0.016092,25.74,0.91,22,end_session
27,short,2026-07-07 07:45,2026-07-07 03:45,2026-07-07 20:00,2026-07-07 16:00,63126.8,63794.9,0.015859,-11.5,0.91,49,end_session
28,long,2026-07-08 08:00,2026-07-08 04:00,2026-07-08 20:00,2026-07-08 16:00,62854.1,62251.9,0.01591,-10.48,0.9,48,end_session
29,long,2026-07-13 08:15,2026-07-13 04:15,2026-07-13 20:00,2026-07-13 16:00,63009.3,62257.9,0.015854,-12.81,0.89,47,end_session
30,short,2026-08-17 08:00,2026-08-17 04:00,2026-08-17 20:00,2026-08-17 16:00,63493.5,64280.4,0.015713,-13.27,0.9,48,end_session
31,long,2026-08-19 15:15,2026-08-19 11:15,2026-08-19 20:00,2026-08-19 16:00,66621.2,68404.1,0.014955,25.75,0.91,19,end_session
32,long,2026-08-20 08:15,2026-08-20 04:15,2026-08-20 12:15,2026-08-20 08:15,71287.8,71835.0,0.014012,6.77,0.9,16,end_of_test
